ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,S, 0,NaN
1,040_KAN_langevents_01_PL2017,W, 0,NaN
1,040_KAN_langevents_01_PL2017,N, 0,NaN
1,057_KAN_langevents_02_PL2017,S, 0,NaN
1,057_KAN_langevents_02_PL2017,W, 0,NaN
1,057_KAN_langevents_02_PL2017,N, 0,NaN
1,059_KAN_langevents_04_PL2017,S, 0,NaN
1,059_KAN_langevents_04_PL2017,W, 0,NaN
1,059_KAN_langevents_04_PL2017,N, 0,NaN
1,056_KAN_langevents_05_PL2017,S, 0,NaN
1,056_KAN_langevents_05_PL2017,W, 0,NaN
1,056_KAN_langevents_05_PL2017,N, 0,NaN
1,067_KAN_langevents_06_PL2017,S, 0,NaN
1,067_KAN_langevents_06_PL2017,W, 0,NaN
1,067_KAN_langevents_06_PL2017,N, 0,NaN
1,068_KAN_langevents_07_PL2017,S, 0,NaN
1,068_KAN_langevents_07_PL2017,W, 0,NaN
1,068_KAN_langevents_07_PL2017,N, 0,NaN
1,019_KAN_langevents_08_PL2017,S, 0,NaN
1,019_KAN_langevents_08_PL2017,W, 0,NaN
1,019_KAN_langevents_08_PL2017,N, 0,NaN
1,070_KAN_langevents_11_PL2017,S, 0,NaN
1,070_KAN_langevents_11_PL2017,W, 0,NaN
1,070_KAN_langevents_11_PL2017,N, 0,NaN
1,087_KAN_langevents_12_PL2017,S, 0,NaN
1,087_KAN_langevents_12_PL2017,W, 0,NaN
1,087_KAN_langevents_12_PL2017,N, 0,NaN
1,078_KAN_langevents_13_PL2017,S, 0,NaN
1,078_KAN_langevents_13_PL2017,W, 0,NaN
1,078_KAN_langevents_13_PL2017,N, 0,NaN
1,089_KAN_langevents_15_PL2017,S, 0,NaN
1,089_KAN_langevents_15_PL2017,W, 0,NaN
1,089_KAN_langevents_15_PL2017,N, 0,NaN
1,076_KAN_langevents_16_PL2017,S, 0,NaN
1,076_KAN_langevents_16_PL2017,W, 0,NaN
1,076_KAN_langevents_16_PL2017,N, 0,NaN
2,040_KAN_langevents_01_PL2017,S, 178,1.684582
2,040_KAN_langevents_01_PL2017,W, 178,1.700843
2,040_KAN_langevents_01_PL2017,N, 178,1.646162
2,057_KAN_langevents_02_PL2017,S, 178,1.706369
2,057_KAN_langevents_02_PL2017,W, 178,4.459334
2,057_KAN_langevents_02_PL2017,N, 178,2.024736
2,059_KAN_langevents_04_PL2017,S, 178,1.715636
2,059_KAN_langevents_04_PL2017,W, 178,1.325442
2,059_KAN_langevents_04_PL2017,N, 178,0.868365
2,056_KAN_langevents_05_PL2017,S, 178,0.978303
2,056_KAN_langevents_05_PL2017,W, 178,1.422896
2,056_KAN_langevents_05_PL2017,N, 178,1.259733
2,067_KAN_langevents_06_PL2017,S, 178,-0.092323
2,067_KAN_langevents_06_PL2017,W, 178,-1.033792
2,067_KAN_langevents_06_PL2017,N, 178,-0.085668
2,068_KAN_langevents_07_PL2017,S, 178,1.135417
2,068_KAN_langevents_07_PL2017,W, 178,1.410923
2,068_KAN_langevents_07_PL2017,N, 178,1.163569
2,019_KAN_langevents_08_PL2017,S, 178,0.264000
2,019_KAN_langevents_08_PL2017,W, 178,0.311181
2,019_KAN_langevents_08_PL2017,N, 178,0.459232
2,070_KAN_langevents_11_PL2017,S, 178,1.449119
2,070_KAN_langevents_11_PL2017,W, 178,1.324142
2,070_KAN_langevents_11_PL2017,N, 178,1.245982
2,087_KAN_langevents_12_PL2017,S, 178,0.888332
2,087_KAN_langevents_12_PL2017,W, 178,0.853832
2,087_KAN_langevents_12_PL2017,N, 178,1.171875
2,078_KAN_langevents_13_PL2017,S, 178,0.956252
2,078_KAN_langevents_13_PL2017,W, 178,1.015653
2,078_KAN_langevents_13_PL2017,N, 178,0.985051
2,089_KAN_langevents_15_PL2017,S, 178,0.193089
2,089_KAN_langevents_15_PL2017,W, 178,0.101020
2,089_KAN_langevents_15_PL2017,N, 178,0.073908
2,076_KAN_langevents_16_PL2017,S, 178,0.963312
2,076_KAN_langevents_16_PL2017,W, 178,0.569210
2,076_KAN_langevents_16_PL2017,N, 178,0.943868
3,040_KAN_langevents_01_PL2017,S, 0,NaN
3,040_KAN_langevents_01_PL2017,W, 0,NaN
3,040_KAN_langevents_01_PL2017,N, 0,NaN
3,057_KAN_langevents_02_PL2017,S, 0,NaN
3,057_KAN_langevents_02_PL2017,W, 0,NaN
3,057_KAN_langevents_02_PL2017,N, 0,NaN
3,059_KAN_langevents_04_PL2017,S, 0,NaN
3,059_KAN_langevents_04_PL2017,W, 0,NaN
3,059_KAN_langevents_04_PL2017,N, 0,NaN
3,056_KAN_langevents_05_PL2017,S, 0,NaN
3,056_KAN_langevents_05_PL2017,W, 0,NaN
3,056_KAN_langevents_05_PL2017,N, 0,NaN
3,067_KAN_langevents_06_PL2017,S, 0,NaN
3,067_KAN_langevents_06_PL2017,W, 0,NaN
3,067_KAN_langevents_06_PL2017,N, 0,NaN
3,068_KAN_langevents_07_PL2017,S, 0,NaN
3,068_KAN_langevents_07_PL2017,W, 0,NaN
3,068_KAN_langevents_07_PL2017,N, 0,NaN
3,019_KAN_langevents_08_PL2017,S, 0,NaN
3,019_KAN_langevents_08_PL2017,W, 0,NaN
3,019_KAN_langevents_08_PL2017,N, 0,NaN
3,070_KAN_langevents_11_PL2017,S, 0,NaN
3,070_KAN_langevents_11_PL2017,W, 0,NaN
3,070_KAN_langevents_11_PL2017,N, 0,NaN
3,087_KAN_langevents_12_PL2017,S, 0,NaN
3,087_KAN_langevents_12_PL2017,W, 0,NaN
3,087_KAN_langevents_12_PL2017,N, 0,NaN
3,078_KAN_langevents_13_PL2017,S, 0,NaN
3,078_KAN_langevents_13_PL2017,W, 0,NaN
3,078_KAN_langevents_13_PL2017,N, 0,NaN
3,089_KAN_langevents_15_PL2017,S, 0,NaN
3,089_KAN_langevents_15_PL2017,W, 0,NaN
3,089_KAN_langevents_15_PL2017,N, 0,NaN
3,076_KAN_langevents_16_PL2017,S, 0,NaN
3,076_KAN_langevents_16_PL2017,W, 0,NaN
3,076_KAN_langevents_16_PL2017,N, 0,NaN
4,040_KAN_langevents_01_PL2017,S, 116,1.879431
4,040_KAN_langevents_01_PL2017,W, 116,1.721605
4,040_KAN_langevents_01_PL2017,N, 116,1.981134
4,057_KAN_langevents_02_PL2017,S, 116,3.503669
4,057_KAN_langevents_02_PL2017,W, 116,3.860125
4,057_KAN_langevents_02_PL2017,N, 116,0.688998
4,059_KAN_langevents_04_PL2017,S, 116,0.968227
4,059_KAN_langevents_04_PL2017,W, 116,0.747053
4,059_KAN_langevents_04_PL2017,N, 116,0.508664
4,056_KAN_langevents_05_PL2017,S, 116,0.377580
4,056_KAN_langevents_05_PL2017,W, 116,0.737368
4,056_KAN_langevents_05_PL2017,N, 116,0.543441
4,067_KAN_langevents_06_PL2017,S, 116,-0.734510
4,067_KAN_langevents_06_PL2017,W, 116,-1.494879
4,067_KAN_langevents_06_PL2017,N, 116,-0.613819
4,068_KAN_langevents_07_PL2017,S, 116,0.048747
4,068_KAN_langevents_07_PL2017,W, 116,0.187832
4,068_KAN_langevents_07_PL2017,N, 116,-0.007889
4,019_KAN_langevents_08_PL2017,S, 116,-0.491799
4,019_KAN_langevents_08_PL2017,W, 116,0.036181
4,019_KAN_langevents_08_PL2017,N, 116,-0.096948
4,070_KAN_langevents_11_PL2017,S, 116,2.075889
4,070_KAN_langevents_11_PL2017,W, 116,1.685585
4,070_KAN_langevents_11_PL2017,N, 116,1.845985
4,087_KAN_langevents_12_PL2017,S, 116,-0.329973
4,087_KAN_langevents_12_PL2017,W, 116,-0.318349
4,087_KAN_langevents_12_PL2017,N, 116,-0.583638
4,078_KAN_langevents_13_PL2017,S, 116,0.571913
4,078_KAN_langevents_13_PL2017,W, 116,0.592137
4,078_KAN_langevents_13_PL2017,N, 116,0.874424
4,089_KAN_langevents_15_PL2017,S, 116,-0.096334
4,089_KAN_langevents_15_PL2017,W, 116,0.047063
4,089_KAN_langevents_15_PL2017,N, 116,0.197357
4,076_KAN_langevents_16_PL2017,S, 116,2.746318
4,076_KAN_langevents_16_PL2017,W, 116,2.238687
4,076_KAN_langevents_16_PL2017,N, 116,3.507211
5,040_KAN_langevents_01_PL2017,S, 0,NaN
5,040_KAN_langevents_01_PL2017,W, 0,NaN
5,040_KAN_langevents_01_PL2017,N, 0,NaN
5,057_KAN_langevents_02_PL2017,S, 0,NaN
5,057_KAN_langevents_02_PL2017,W, 0,NaN
5,057_KAN_langevents_02_PL2017,N, 0,NaN
5,059_KAN_langevents_04_PL2017,S, 0,NaN
5,059_KAN_langevents_04_PL2017,W, 0,NaN
5,059_KAN_langevents_04_PL2017,N, 0,NaN
5,056_KAN_langevents_05_PL2017,S, 0,NaN
5,056_KAN_langevents_05_PL2017,W, 0,NaN
5,056_KAN_langevents_05_PL2017,N, 0,NaN
5,067_KAN_langevents_06_PL2017,S, 0,NaN
5,067_KAN_langevents_06_PL2017,W, 0,NaN
5,067_KAN_langevents_06_PL2017,N, 0,NaN
5,068_KAN_langevents_07_PL2017,S, 0,NaN
5,068_KAN_langevents_07_PL2017,W, 0,NaN
5,068_KAN_langevents_07_PL2017,N, 0,NaN
5,019_KAN_langevents_08_PL2017,S, 0,NaN
5,019_KAN_langevents_08_PL2017,W, 0,NaN
5,019_KAN_langevents_08_PL2017,N, 0,NaN
5,070_KAN_langevents_11_PL2017,S, 0,NaN
5,070_KAN_langevents_11_PL2017,W, 0,NaN
5,070_KAN_langevents_11_PL2017,N, 0,NaN
5,087_KAN_langevents_12_PL2017,S, 0,NaN
5,087_KAN_langevents_12_PL2017,W, 0,NaN
5,087_KAN_langevents_12_PL2017,N, 0,NaN
5,078_KAN_langevents_13_PL2017,S, 0,NaN
5,078_KAN_langevents_13_PL2017,W, 0,NaN
5,078_KAN_langevents_13_PL2017,N, 0,NaN
