ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Sem-photo, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Perc-photo, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Sem-sent, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Perc-sent, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Sem-photo, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Perc-photo, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Sem-sent, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Perc-sent, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Sem-photo, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Perc-photo, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Sem-sent, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Perc-sent, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Sem-photo, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Perc-photo, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Sem-sent, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Perc-sent, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Sem-photo, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Perc-photo, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Sem-sent, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Perc-sent, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Sem-photo, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Perc-photo, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Sem-sent, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Perc-sent, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Sem-photo, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Perc-photo, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Sem-sent, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Perc-sent, 0,NaN
2,291_FED_20160803c_3T1_PL2017,Sem-photo, 178,4.763149
2,291_FED_20160803c_3T1_PL2017,Perc-photo, 178,3.446869
2,291_FED_20160803c_3T1_PL2017,Sem-sent, 178,4.224869
2,291_FED_20160803c_3T1_PL2017,Perc-sent, 178,3.206282
2,400_FED_20160520a_3T1_PL2017,Sem-photo, 178,1.176723
2,400_FED_20160520a_3T1_PL2017,Perc-photo, 178,-0.341091
2,400_FED_20160520a_3T1_PL2017,Sem-sent, 178,0.752966
2,400_FED_20160520a_3T1_PL2017,Perc-sent, 178,-0.215185
2,419_FED_20160805a_3T1_PL2017,Sem-photo, 178,1.752026
2,419_FED_20160805a_3T1_PL2017,Perc-photo, 178,1.229512
2,419_FED_20160805a_3T1_PL2017,Sem-sent, 178,1.962256
2,419_FED_20160805a_3T1_PL2017,Perc-sent, 178,1.840586
2,773_FED_20190605c_3T2_PL2017,Sem-photo, 178,2.719719
2,773_FED_20190605c_3T2_PL2017,Perc-photo, 178,2.487125
2,773_FED_20190605c_3T2_PL2017,Sem-sent, 178,1.690943
2,773_FED_20190605c_3T2_PL2017,Perc-sent, 178,1.924426
2,774_FED_20190605b_3T2_PL2017,Sem-photo, 178,2.331970
2,774_FED_20190605b_3T2_PL2017,Perc-photo, 178,1.317986
2,774_FED_20190605b_3T2_PL2017,Sem-sent, 178,1.933520
2,774_FED_20190605b_3T2_PL2017,Perc-sent, 178,0.824185
2,775_FED_20190611a_3T2_PL2017,Sem-photo, 178,3.996336
2,775_FED_20190611a_3T2_PL2017,Perc-photo, 178,3.724063
2,775_FED_20190611a_3T2_PL2017,Sem-sent, 178,3.850921
2,775_FED_20190611a_3T2_PL2017,Perc-sent, 178,3.962432
2,778_FED_20190614b_3T2_PL2017,Sem-photo, 178,4.386074
2,778_FED_20190614b_3T2_PL2017,Perc-photo, 178,0.970880
2,778_FED_20190614b_3T2_PL2017,Sem-sent, 178,4.752454
2,778_FED_20190614b_3T2_PL2017,Perc-sent, 178,0.241775
3,291_FED_20160803c_3T1_PL2017,Sem-photo, 0,NaN
3,291_FED_20160803c_3T1_PL2017,Perc-photo, 0,NaN
3,291_FED_20160803c_3T1_PL2017,Sem-sent, 0,NaN
3,291_FED_20160803c_3T1_PL2017,Perc-sent, 0,NaN
3,400_FED_20160520a_3T1_PL2017,Sem-photo, 0,NaN
3,400_FED_20160520a_3T1_PL2017,Perc-photo, 0,NaN
3,400_FED_20160520a_3T1_PL2017,Sem-sent, 0,NaN
3,400_FED_20160520a_3T1_PL2017,Perc-sent, 0,NaN
3,419_FED_20160805a_3T1_PL2017,Sem-photo, 0,NaN
3,419_FED_20160805a_3T1_PL2017,Perc-photo, 0,NaN
3,419_FED_20160805a_3T1_PL2017,Sem-sent, 0,NaN
3,419_FED_20160805a_3T1_PL2017,Perc-sent, 0,NaN
3,773_FED_20190605c_3T2_PL2017,Sem-photo, 0,NaN
3,773_FED_20190605c_3T2_PL2017,Perc-photo, 0,NaN
3,773_FED_20190605c_3T2_PL2017,Sem-sent, 0,NaN
3,773_FED_20190605c_3T2_PL2017,Perc-sent, 0,NaN
3,774_FED_20190605b_3T2_PL2017,Sem-photo, 0,NaN
3,774_FED_20190605b_3T2_PL2017,Perc-photo, 0,NaN
3,774_FED_20190605b_3T2_PL2017,Sem-sent, 0,NaN
3,774_FED_20190605b_3T2_PL2017,Perc-sent, 0,NaN
3,775_FED_20190611a_3T2_PL2017,Sem-photo, 0,NaN
3,775_FED_20190611a_3T2_PL2017,Perc-photo, 0,NaN
3,775_FED_20190611a_3T2_PL2017,Sem-sent, 0,NaN
3,775_FED_20190611a_3T2_PL2017,Perc-sent, 0,NaN
3,778_FED_20190614b_3T2_PL2017,Sem-photo, 0,NaN
3,778_FED_20190614b_3T2_PL2017,Perc-photo, 0,NaN
3,778_FED_20190614b_3T2_PL2017,Sem-sent, 0,NaN
3,778_FED_20190614b_3T2_PL2017,Perc-sent, 0,NaN
4,291_FED_20160803c_3T1_PL2017,Sem-photo, 116,3.885520
4,291_FED_20160803c_3T1_PL2017,Perc-photo, 116,2.096472
4,291_FED_20160803c_3T1_PL2017,Sem-sent, 116,3.554377
4,291_FED_20160803c_3T1_PL2017,Perc-sent, 116,1.887065
4,400_FED_20160520a_3T1_PL2017,Sem-photo, 116,1.269587
4,400_FED_20160520a_3T1_PL2017,Perc-photo, 116,-1.292302
4,400_FED_20160520a_3T1_PL2017,Sem-sent, 116,1.567966
4,400_FED_20160520a_3T1_PL2017,Perc-sent, 116,-1.323931
4,419_FED_20160805a_3T1_PL2017,Sem-photo, 116,1.172564
4,419_FED_20160805a_3T1_PL2017,Perc-photo, 116,0.333807
4,419_FED_20160805a_3T1_PL2017,Sem-sent, 116,1.309017
4,419_FED_20160805a_3T1_PL2017,Perc-sent, 116,0.885516
4,773_FED_20190605c_3T2_PL2017,Sem-photo, 116,0.425382
4,773_FED_20190605c_3T2_PL2017,Perc-photo, 116,-0.313212
4,773_FED_20190605c_3T2_PL2017,Sem-sent, 116,0.435148
4,773_FED_20190605c_3T2_PL2017,Perc-sent, 116,-0.316816
4,774_FED_20190605b_3T2_PL2017,Sem-photo, 116,2.427377
4,774_FED_20190605b_3T2_PL2017,Perc-photo, 116,1.064639
4,774_FED_20190605b_3T2_PL2017,Sem-sent, 116,1.722571
4,774_FED_20190605b_3T2_PL2017,Perc-sent, 116,0.110117
4,775_FED_20190611a_3T2_PL2017,Sem-photo, 116,1.150654
4,775_FED_20190611a_3T2_PL2017,Perc-photo, 116,0.902848
4,775_FED_20190611a_3T2_PL2017,Sem-sent, 116,1.508835
4,775_FED_20190611a_3T2_PL2017,Perc-sent, 116,1.571950
4,778_FED_20190614b_3T2_PL2017,Sem-photo, 116,1.894636
4,778_FED_20190614b_3T2_PL2017,Perc-photo, 116,-2.239297
4,778_FED_20190614b_3T2_PL2017,Sem-sent, 116,2.422539
4,778_FED_20190614b_3T2_PL2017,Perc-sent, 116,-1.741679
5,291_FED_20160803c_3T1_PL2017,Sem-photo, 0,NaN
5,291_FED_20160803c_3T1_PL2017,Perc-photo, 0,NaN
5,291_FED_20160803c_3T1_PL2017,Sem-sent, 0,NaN
5,291_FED_20160803c_3T1_PL2017,Perc-sent, 0,NaN
5,400_FED_20160520a_3T1_PL2017,Sem-photo, 0,NaN
5,400_FED_20160520a_3T1_PL2017,Perc-photo, 0,NaN
5,400_FED_20160520a_3T1_PL2017,Sem-sent, 0,NaN
5,400_FED_20160520a_3T1_PL2017,Perc-sent, 0,NaN
5,419_FED_20160805a_3T1_PL2017,Sem-photo, 0,NaN
5,419_FED_20160805a_3T1_PL2017,Perc-photo, 0,NaN
5,419_FED_20160805a_3T1_PL2017,Sem-sent, 0,NaN
5,419_FED_20160805a_3T1_PL2017,Perc-sent, 0,NaN
5,773_FED_20190605c_3T2_PL2017,Sem-photo, 0,NaN
5,773_FED_20190605c_3T2_PL2017,Perc-photo, 0,NaN
5,773_FED_20190605c_3T2_PL2017,Sem-sent, 0,NaN
