ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_KAN_parametric_20_PL2017,S, 0,NaN
1,199_KAN_parametric_20_PL2017,N, 0,NaN
1,261_FED_20160523c_3T2_PL2017,S, 0,NaN
1,261_FED_20160523c_3T2_PL2017,N, 0,NaN
1,407_FED_20160804a_3T1_PL2017,S, 0,NaN
1,407_FED_20160804a_3T1_PL2017,N, 0,NaN
1,408_FED_20160711a2_3T1_PL2017,S, 0,NaN
1,408_FED_20160711a2_3T1_PL2017,N, 0,NaN
1,409_FED_20160622a_3T1_PL2017,S, 0,NaN
1,409_FED_20160622a_3T1_PL2017,N, 0,NaN
1,410_FED_20160623b_3T2_PL2017,S, 0,NaN
1,410_FED_20160623b_3T2_PL2017,N, 0,NaN
1,730_FED_20190306a_3T2_PL2017,S, 0,NaN
1,730_FED_20190306a_3T2_PL2017,N, 0,NaN
1,776_FED_20190611b_3T2_PL2017,S, 0,NaN
1,776_FED_20190611b_3T2_PL2017,N, 0,NaN
1,291_FED_20160803c_3T1_PL2017,S, 0,NaN
1,291_FED_20160803c_3T1_PL2017,N, 0,NaN
1,400_FED_20160520a_3T1_PL2017,S, 0,NaN
1,400_FED_20160520a_3T1_PL2017,N, 0,NaN
1,419_FED_20160805a_3T1_PL2017,S, 0,NaN
1,419_FED_20160805a_3T1_PL2017,N, 0,NaN
1,773_FED_20190605c_3T2_PL2017,S, 0,NaN
1,773_FED_20190605c_3T2_PL2017,N, 0,NaN
1,774_FED_20190605b_3T2_PL2017,S, 0,NaN
1,774_FED_20190605b_3T2_PL2017,N, 0,NaN
1,775_FED_20190611a_3T2_PL2017,S, 0,NaN
1,775_FED_20190611a_3T2_PL2017,N, 0,NaN
1,778_FED_20190614b_3T2_PL2017,S, 0,NaN
1,778_FED_20190614b_3T2_PL2017,N, 0,NaN
2,199_KAN_parametric_20_PL2017,S, 178,2.314894
2,199_KAN_parametric_20_PL2017,N, 178,1.551159
2,261_FED_20160523c_3T2_PL2017,S, 178,0.371910
2,261_FED_20160523c_3T2_PL2017,N, 178,1.062518
2,407_FED_20160804a_3T1_PL2017,S, 178,0.448405
2,407_FED_20160804a_3T1_PL2017,N, 178,0.303725
2,408_FED_20160711a2_3T1_PL2017,S, 178,1.175954
2,408_FED_20160711a2_3T1_PL2017,N, 178,0.825262
2,409_FED_20160622a_3T1_PL2017,S, 178,-0.570684
2,409_FED_20160622a_3T1_PL2017,N, 178,-0.428608
2,410_FED_20160623b_3T2_PL2017,S, 178,0.473729
2,410_FED_20160623b_3T2_PL2017,N, 178,0.151921
2,730_FED_20190306a_3T2_PL2017,S, 178,1.369896
2,730_FED_20190306a_3T2_PL2017,N, 178,2.320553
2,776_FED_20190611b_3T2_PL2017,S, 178,0.128239
2,776_FED_20190611b_3T2_PL2017,N, 178,0.110381
2,291_FED_20160803c_3T1_PL2017,S, 178,2.205359
2,291_FED_20160803c_3T1_PL2017,N, 178,1.445869
2,400_FED_20160520a_3T1_PL2017,S, 178,2.506459
2,400_FED_20160520a_3T1_PL2017,N, 178,2.061016
2,419_FED_20160805a_3T1_PL2017,S, 178,0.669422
2,419_FED_20160805a_3T1_PL2017,N, 178,1.031051
2,773_FED_20190605c_3T2_PL2017,S, 178,0.761845
2,773_FED_20190605c_3T2_PL2017,N, 178,0.807809
2,774_FED_20190605b_3T2_PL2017,S, 178,0.542562
2,774_FED_20190605b_3T2_PL2017,N, 178,0.166076
2,775_FED_20190611a_3T2_PL2017,S, 178,0.939155
2,775_FED_20190611a_3T2_PL2017,N, 178,0.024828
2,778_FED_20190614b_3T2_PL2017,S, 178,0.636151
2,778_FED_20190614b_3T2_PL2017,N, 178,1.011371
3,199_KAN_parametric_20_PL2017,S, 0,NaN
3,199_KAN_parametric_20_PL2017,N, 0,NaN
3,261_FED_20160523c_3T2_PL2017,S, 0,NaN
3,261_FED_20160523c_3T2_PL2017,N, 0,NaN
3,407_FED_20160804a_3T1_PL2017,S, 0,NaN
3,407_FED_20160804a_3T1_PL2017,N, 0,NaN
