ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,Sem_photo, 0,NaN
1,040_KAN_langevents_01_PL2017,Perc_photo, 0,NaN
1,040_KAN_langevents_01_PL2017,Sem_sent, 0,NaN
1,040_KAN_langevents_01_PL2017,Perc_sent, 0,NaN
1,057_KAN_langevents_02_PL2017,Sem_photo, 0,NaN
1,057_KAN_langevents_02_PL2017,Perc_photo, 0,NaN
1,057_KAN_langevents_02_PL2017,Sem_sent, 0,NaN
1,057_KAN_langevents_02_PL2017,Perc_sent, 0,NaN
1,059_KAN_langevents_04_PL2017,Sem_photo, 0,NaN
1,059_KAN_langevents_04_PL2017,Perc_photo, 0,NaN
1,059_KAN_langevents_04_PL2017,Sem_sent, 0,NaN
1,059_KAN_langevents_04_PL2017,Perc_sent, 0,NaN
1,056_KAN_langevents_05_PL2017,Sem_photo, 0,NaN
1,056_KAN_langevents_05_PL2017,Perc_photo, 0,NaN
1,056_KAN_langevents_05_PL2017,Sem_sent, 0,NaN
1,056_KAN_langevents_05_PL2017,Perc_sent, 0,NaN
1,067_KAN_langevents_06_PL2017,Sem_photo, 0,NaN
1,067_KAN_langevents_06_PL2017,Perc_photo, 0,NaN
1,067_KAN_langevents_06_PL2017,Sem_sent, 0,NaN
1,067_KAN_langevents_06_PL2017,Perc_sent, 0,NaN
1,068_KAN_langevents_07_PL2017,Sem_photo, 0,NaN
1,068_KAN_langevents_07_PL2017,Perc_photo, 0,NaN
1,068_KAN_langevents_07_PL2017,Sem_sent, 0,NaN
1,068_KAN_langevents_07_PL2017,Perc_sent, 0,NaN
1,019_KAN_langevents_08_PL2017,Sem_photo, 0,NaN
1,019_KAN_langevents_08_PL2017,Perc_photo, 0,NaN
1,019_KAN_langevents_08_PL2017,Sem_sent, 0,NaN
1,019_KAN_langevents_08_PL2017,Perc_sent, 0,NaN
1,070_KAN_langevents_11_PL2017,Sem_photo, 0,NaN
1,070_KAN_langevents_11_PL2017,Perc_photo, 0,NaN
1,070_KAN_langevents_11_PL2017,Sem_sent, 0,NaN
1,070_KAN_langevents_11_PL2017,Perc_sent, 0,NaN
1,087_KAN_langevents_12_PL2017,Sem_photo, 0,NaN
1,087_KAN_langevents_12_PL2017,Perc_photo, 0,NaN
1,087_KAN_langevents_12_PL2017,Sem_sent, 0,NaN
1,087_KAN_langevents_12_PL2017,Perc_sent, 0,NaN
1,078_KAN_langevents_13_PL2017,Sem_photo, 0,NaN
1,078_KAN_langevents_13_PL2017,Perc_photo, 0,NaN
1,078_KAN_langevents_13_PL2017,Sem_sent, 0,NaN
1,078_KAN_langevents_13_PL2017,Perc_sent, 0,NaN
1,089_KAN_langevents_15_PL2017,Sem_photo, 0,NaN
1,089_KAN_langevents_15_PL2017,Perc_photo, 0,NaN
1,089_KAN_langevents_15_PL2017,Sem_sent, 0,NaN
1,089_KAN_langevents_15_PL2017,Perc_sent, 0,NaN
1,076_KAN_langevents_16_PL2017,Sem_photo, 0,NaN
1,076_KAN_langevents_16_PL2017,Perc_photo, 0,NaN
1,076_KAN_langevents_16_PL2017,Sem_sent, 0,NaN
1,076_KAN_langevents_16_PL2017,Perc_sent, 0,NaN
2,040_KAN_langevents_01_PL2017,Sem_photo, 178,2.514335
2,040_KAN_langevents_01_PL2017,Perc_photo, 178,1.843260
2,040_KAN_langevents_01_PL2017,Sem_sent, 178,3.334472
2,040_KAN_langevents_01_PL2017,Perc_sent, 178,1.083984
2,057_KAN_langevents_02_PL2017,Sem_photo, 178,2.524468
2,057_KAN_langevents_02_PL2017,Perc_photo, 178,0.255421
2,057_KAN_langevents_02_PL2017,Sem_sent, 178,2.991209
2,057_KAN_langevents_02_PL2017,Perc_sent, 178,0.498723
2,059_KAN_langevents_04_PL2017,Sem_photo, 178,1.860346
2,059_KAN_langevents_04_PL2017,Perc_photo, 178,0.215355
2,059_KAN_langevents_04_PL2017,Sem_sent, 178,1.927667
2,059_KAN_langevents_04_PL2017,Perc_sent, 178,0.685584
2,056_KAN_langevents_05_PL2017,Sem_photo, 178,2.056675
2,056_KAN_langevents_05_PL2017,Perc_photo, 178,0.440818
2,056_KAN_langevents_05_PL2017,Sem_sent, 178,3.101707
2,056_KAN_langevents_05_PL2017,Perc_sent, 178,0.861427
2,067_KAN_langevents_06_PL2017,Sem_photo, 178,2.566800
2,067_KAN_langevents_06_PL2017,Perc_photo, 178,1.670357
2,067_KAN_langevents_06_PL2017,Sem_sent, 178,3.261352
2,067_KAN_langevents_06_PL2017,Perc_sent, 178,0.891028
2,068_KAN_langevents_07_PL2017,Sem_photo, 178,3.039958
2,068_KAN_langevents_07_PL2017,Perc_photo, 178,2.463849
2,068_KAN_langevents_07_PL2017,Sem_sent, 178,4.723332
2,068_KAN_langevents_07_PL2017,Perc_sent, 178,1.989547
2,019_KAN_langevents_08_PL2017,Sem_photo, 178,-0.384952
2,019_KAN_langevents_08_PL2017,Perc_photo, 178,-0.153551
2,019_KAN_langevents_08_PL2017,Sem_sent, 178,-0.165499
2,019_KAN_langevents_08_PL2017,Perc_sent, 178,-0.474057
2,070_KAN_langevents_11_PL2017,Sem_photo, 178,3.379439
2,070_KAN_langevents_11_PL2017,Perc_photo, 178,0.338513
2,070_KAN_langevents_11_PL2017,Sem_sent, 178,4.150086
2,070_KAN_langevents_11_PL2017,Perc_sent, 178,0.317046
