ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,S, 0,NaN
1,040_KAN_langevents_01_PL2017,W, 0,NaN
1,040_KAN_langevents_01_PL2017,N, 0,NaN
1,057_KAN_langevents_02_PL2017,S, 0,NaN
1,057_KAN_langevents_02_PL2017,W, 0,NaN
1,057_KAN_langevents_02_PL2017,N, 0,NaN
1,059_KAN_langevents_04_PL2017,S, 0,NaN
1,059_KAN_langevents_04_PL2017,W, 0,NaN
1,059_KAN_langevents_04_PL2017,N, 0,NaN
1,056_KAN_langevents_05_PL2017,S, 0,NaN
1,056_KAN_langevents_05_PL2017,W, 0,NaN
1,056_KAN_langevents_05_PL2017,N, 0,NaN
1,067_KAN_langevents_06_PL2017,S, 0,NaN
1,067_KAN_langevents_06_PL2017,W, 0,NaN
1,067_KAN_langevents_06_PL2017,N, 0,NaN
1,068_KAN_langevents_07_PL2017,S, 0,NaN
1,068_KAN_langevents_07_PL2017,W, 0,NaN
1,068_KAN_langevents_07_PL2017,N, 0,NaN
1,019_KAN_langevents_08_PL2017,S, 0,NaN
1,019_KAN_langevents_08_PL2017,W, 0,NaN
1,019_KAN_langevents_08_PL2017,N, 0,NaN
1,070_KAN_langevents_11_PL2017,S, 0,NaN
1,070_KAN_langevents_11_PL2017,W, 0,NaN
1,070_KAN_langevents_11_PL2017,N, 0,NaN
1,087_KAN_langevents_12_PL2017,S, 0,NaN
1,087_KAN_langevents_12_PL2017,W, 0,NaN
1,087_KAN_langevents_12_PL2017,N, 0,NaN
1,078_KAN_langevents_13_PL2017,S, 0,NaN
1,078_KAN_langevents_13_PL2017,W, 0,NaN
1,078_KAN_langevents_13_PL2017,N, 0,NaN
1,089_KAN_langevents_15_PL2017,S, 0,NaN
1,089_KAN_langevents_15_PL2017,W, 0,NaN
1,089_KAN_langevents_15_PL2017,N, 0,NaN
1,076_KAN_langevents_16_PL2017,S, 0,NaN
1,076_KAN_langevents_16_PL2017,W, 0,NaN
1,076_KAN_langevents_16_PL2017,N, 0,NaN
2,040_KAN_langevents_01_PL2017,S, 178,3.101306
2,040_KAN_langevents_01_PL2017,W, 178,2.910941
2,040_KAN_langevents_01_PL2017,N, 178,2.888531
2,057_KAN_langevents_02_PL2017,S, 178,1.925119
2,057_KAN_langevents_02_PL2017,W, 178,4.692549
2,057_KAN_langevents_02_PL2017,N, 178,2.223599
2,059_KAN_langevents_04_PL2017,S, 178,1.321578
2,059_KAN_langevents_04_PL2017,W, 178,1.123216
2,059_KAN_langevents_04_PL2017,N, 178,0.880488
2,056_KAN_langevents_05_PL2017,S, 178,1.021865
2,056_KAN_langevents_05_PL2017,W, 178,1.351127
2,056_KAN_langevents_05_PL2017,N, 178,0.947115
2,067_KAN_langevents_06_PL2017,S, 178,1.610220
2,067_KAN_langevents_06_PL2017,W, 178,0.525056
2,067_KAN_langevents_06_PL2017,N, 178,1.072943
2,068_KAN_langevents_07_PL2017,S, 178,2.226830
2,068_KAN_langevents_07_PL2017,W, 178,2.669852
2,068_KAN_langevents_07_PL2017,N, 178,2.848310
2,019_KAN_langevents_08_PL2017,S, 178,-0.218374
2,019_KAN_langevents_08_PL2017,W, 178,-0.200511
2,019_KAN_langevents_08_PL2017,N, 178,0.136092
2,070_KAN_langevents_11_PL2017,S, 178,2.504975
2,070_KAN_langevents_11_PL2017,W, 178,2.366151
2,070_KAN_langevents_11_PL2017,N, 178,2.041471
2,087_KAN_langevents_12_PL2017,S, 178,2.175664
2,087_KAN_langevents_12_PL2017,W, 178,2.114770
2,087_KAN_langevents_12_PL2017,N, 178,2.133807
2,078_KAN_langevents_13_PL2017,S, 178,1.357888
2,078_KAN_langevents_13_PL2017,W, 178,1.381777
2,078_KAN_langevents_13_PL2017,N, 178,1.321844
2,089_KAN_langevents_15_PL2017,S, 178,0.589346
2,089_KAN_langevents_15_PL2017,W, 178,0.522845
2,089_KAN_langevents_15_PL2017,N, 178,0.611196
2,076_KAN_langevents_16_PL2017,S, 178,1.275858
2,076_KAN_langevents_16_PL2017,W, 178,0.759850
2,076_KAN_langevents_16_PL2017,N, 178,0.885122
3,040_KAN_langevents_01_PL2017,S, 0,NaN
3,040_KAN_langevents_01_PL2017,W, 0,NaN
3,040_KAN_langevents_01_PL2017,N, 0,NaN
3,057_KAN_langevents_02_PL2017,S, 0,NaN
3,057_KAN_langevents_02_PL2017,W, 0,NaN
3,057_KAN_langevents_02_PL2017,N, 0,NaN
3,059_KAN_langevents_04_PL2017,S, 0,NaN
3,059_KAN_langevents_04_PL2017,W, 0,NaN
3,059_KAN_langevents_04_PL2017,N, 0,NaN
3,056_KAN_langevents_05_PL2017,S, 0,NaN
3,056_KAN_langevents_05_PL2017,W, 0,NaN
3,056_KAN_langevents_05_PL2017,N, 0,NaN
3,067_KAN_langevents_06_PL2017,S, 0,NaN
3,067_KAN_langevents_06_PL2017,W, 0,NaN
3,067_KAN_langevents_06_PL2017,N, 0,NaN
3,068_KAN_langevents_07_PL2017,S, 0,NaN
3,068_KAN_langevents_07_PL2017,W, 0,NaN
3,068_KAN_langevents_07_PL2017,N, 0,NaN
3,019_KAN_langevents_08_PL2017,S, 0,NaN
3,019_KAN_langevents_08_PL2017,W, 0,NaN
3,019_KAN_langevents_08_PL2017,N, 0,NaN
3,070_KAN_langevents_11_PL2017,S, 0,NaN
3,070_KAN_langevents_11_PL2017,W, 0,NaN
3,070_KAN_langevents_11_PL2017,N, 0,NaN
3,087_KAN_langevents_12_PL2017,S, 0,NaN
3,087_KAN_langevents_12_PL2017,W, 0,NaN
3,087_KAN_langevents_12_PL2017,N, 0,NaN
3,078_KAN_langevents_13_PL2017,S, 0,NaN
3,078_KAN_langevents_13_PL2017,W, 0,NaN
3,078_KAN_langevents_13_PL2017,N, 0,NaN
3,089_KAN_langevents_15_PL2017,S, 0,NaN
3,089_KAN_langevents_15_PL2017,W, 0,NaN
3,089_KAN_langevents_15_PL2017,N, 0,NaN
3,076_KAN_langevents_16_PL2017,S, 0,NaN
3,076_KAN_langevents_16_PL2017,W, 0,NaN
3,076_KAN_langevents_16_PL2017,N, 0,NaN
4,040_KAN_langevents_01_PL2017,S, 116,1.216682
4,040_KAN_langevents_01_PL2017,W, 116,1.198119
4,040_KAN_langevents_01_PL2017,N, 116,1.612802
4,057_KAN_langevents_02_PL2017,S, 116,2.317973
4,057_KAN_langevents_02_PL2017,W, 116,3.430883
4,057_KAN_langevents_02_PL2017,N, 116,0.942116
4,059_KAN_langevents_04_PL2017,S, 116,0.782173
4,059_KAN_langevents_04_PL2017,W, 116,0.831707
4,059_KAN_langevents_04_PL2017,N, 116,0.470561
4,056_KAN_langevents_05_PL2017,S, 116,0.338604
4,056_KAN_langevents_05_PL2017,W, 116,0.345291
4,056_KAN_langevents_05_PL2017,N, 116,0.293618
4,067_KAN_langevents_06_PL2017,S, 116,-0.436650
4,067_KAN_langevents_06_PL2017,W, 116,-0.778794
4,067_KAN_langevents_06_PL2017,N, 116,-0.487623
4,068_KAN_langevents_07_PL2017,S, 116,0.430535
4,068_KAN_langevents_07_PL2017,W, 116,0.644406
4,068_KAN_langevents_07_PL2017,N, 116,0.238536
4,019_KAN_langevents_08_PL2017,S, 116,0.104600
4,019_KAN_langevents_08_PL2017,W, 116,0.315749
4,019_KAN_langevents_08_PL2017,N, 116,0.639355
4,070_KAN_langevents_11_PL2017,S, 116,1.990141
4,070_KAN_langevents_11_PL2017,W, 116,1.539874
4,070_KAN_langevents_11_PL2017,N, 116,1.765311
4,087_KAN_langevents_12_PL2017,S, 116,-0.330732
4,087_KAN_langevents_12_PL2017,W, 116,-0.288865
4,087_KAN_langevents_12_PL2017,N, 116,-0.695166
4,078_KAN_langevents_13_PL2017,S, 116,0.737859
4,078_KAN_langevents_13_PL2017,W, 116,0.690738
4,078_KAN_langevents_13_PL2017,N, 116,0.926259
4,089_KAN_langevents_15_PL2017,S, 116,0.191362
4,089_KAN_langevents_15_PL2017,W, 116,0.331627
4,089_KAN_langevents_15_PL2017,N, 116,0.502194
4,076_KAN_langevents_16_PL2017,S, 116,3.143205
4,076_KAN_langevents_16_PL2017,W, 116,2.600439
4,076_KAN_langevents_16_PL2017,N, 116,3.668547
5,040_KAN_langevents_01_PL2017,S, 0,NaN
5,040_KAN_langevents_01_PL2017,W, 0,NaN
5,040_KAN_langevents_01_PL2017,N, 0,NaN
5,057_KAN_langevents_02_PL2017,S, 0,NaN
5,057_KAN_langevents_02_PL2017,W, 0,NaN
5,057_KAN_langevents_02_PL2017,N, 0,NaN
5,059_KAN_langevents_04_PL2017,S, 0,NaN
5,059_KAN_langevents_04_PL2017,W, 0,NaN
5,059_KAN_langevents_04_PL2017,N, 0,NaN
5,056_KAN_langevents_05_PL2017,S, 0,NaN
5,056_KAN_langevents_05_PL2017,W, 0,NaN
5,056_KAN_langevents_05_PL2017,N, 0,NaN
5,067_KAN_langevents_06_PL2017,S, 0,NaN
5,067_KAN_langevents_06_PL2017,W, 0,NaN
5,067_KAN_langevents_06_PL2017,N, 0,NaN
5,068_KAN_langevents_07_PL2017,S, 0,NaN
5,068_KAN_langevents_07_PL2017,W, 0,NaN
5,068_KAN_langevents_07_PL2017,N, 0,NaN
5,019_KAN_langevents_08_PL2017,S, 0,NaN
5,019_KAN_langevents_08_PL2017,W, 0,NaN
5,019_KAN_langevents_08_PL2017,N, 0,NaN
5,070_KAN_langevents_11_PL2017,S, 0,NaN
5,070_KAN_langevents_11_PL2017,W, 0,NaN
5,070_KAN_langevents_11_PL2017,N, 0,NaN
5,087_KAN_langevents_12_PL2017,S, 0,NaN
5,087_KAN_langevents_12_PL2017,W, 0,NaN
5,087_KAN_langevents_12_PL2017,N, 0,NaN
5,078_KAN_langevents_13_PL2017,S, 0,NaN
5,078_KAN_langevents_13_PL2017,W, 0,NaN
5,078_KAN_langevents_13_PL2017,N, 0,NaN
