ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,Sem_photo, 202,0.341279
1,040_KAN_langevents_01_PL2017,Perc_photo, 202,-0.233979
1,040_KAN_langevents_01_PL2017,Sem_sent, 202,0.071969
1,040_KAN_langevents_01_PL2017,Perc_sent, 202,-0.310036
1,057_KAN_langevents_02_PL2017,Sem_photo, 202,0.330065
1,057_KAN_langevents_02_PL2017,Perc_photo, 202,-0.678191
1,057_KAN_langevents_02_PL2017,Sem_sent, 202,0.232368
1,057_KAN_langevents_02_PL2017,Perc_sent, 202,-0.603400
1,059_KAN_langevents_04_PL2017,Sem_photo, 202,0.249705
1,059_KAN_langevents_04_PL2017,Perc_photo, 202,-0.086261
1,059_KAN_langevents_04_PL2017,Sem_sent, 202,0.297100
1,059_KAN_langevents_04_PL2017,Perc_sent, 202,0.025454
1,056_KAN_langevents_05_PL2017,Sem_photo, 202,0.032377
1,056_KAN_langevents_05_PL2017,Perc_photo, 202,-0.242107
1,056_KAN_langevents_05_PL2017,Sem_sent, 202,-0.110679
1,056_KAN_langevents_05_PL2017,Perc_sent, 202,-0.211679
1,067_KAN_langevents_06_PL2017,Sem_photo, 202,0.559246
1,067_KAN_langevents_06_PL2017,Perc_photo, 202,0.435951
1,067_KAN_langevents_06_PL2017,Sem_sent, 202,0.082851
1,067_KAN_langevents_06_PL2017,Perc_sent, 202,0.141320
1,068_KAN_langevents_07_PL2017,Sem_photo, 202,0.574491
1,068_KAN_langevents_07_PL2017,Perc_photo, 202,0.497575
1,068_KAN_langevents_07_PL2017,Sem_sent, 202,0.611870
1,068_KAN_langevents_07_PL2017,Perc_sent, 202,0.060878
1,019_KAN_langevents_08_PL2017,Sem_photo, 202,-0.020911
1,019_KAN_langevents_08_PL2017,Perc_photo, 202,-0.003100
1,019_KAN_langevents_08_PL2017,Sem_sent, 202,-0.057603
1,019_KAN_langevents_08_PL2017,Perc_sent, 202,0.176110
1,070_KAN_langevents_11_PL2017,Sem_photo, 202,0.488342
1,070_KAN_langevents_11_PL2017,Perc_photo, 202,-0.096191
1,070_KAN_langevents_11_PL2017,Sem_sent, 202,0.442336
1,070_KAN_langevents_11_PL2017,Perc_sent, 202,-0.032685
1,087_KAN_langevents_12_PL2017,Sem_photo, 202,0.427998
1,087_KAN_langevents_12_PL2017,Perc_photo, 202,0.605561
1,087_KAN_langevents_12_PL2017,Sem_sent, 202,0.525152
1,087_KAN_langevents_12_PL2017,Perc_sent, 202,0.182222
1,078_KAN_langevents_13_PL2017,Sem_photo, 202,0.172382
1,078_KAN_langevents_13_PL2017,Perc_photo, 202,-0.027016
1,078_KAN_langevents_13_PL2017,Sem_sent, 202,0.164557
1,078_KAN_langevents_13_PL2017,Perc_sent, 202,-0.082794
1,089_KAN_langevents_15_PL2017,Sem_photo, 202,0.144676
1,089_KAN_langevents_15_PL2017,Perc_photo, 202,0.103947
1,089_KAN_langevents_15_PL2017,Sem_sent, 202,0.140807
1,089_KAN_langevents_15_PL2017,Perc_sent, 202,0.124935
1,076_KAN_langevents_16_PL2017,Sem_photo, 202,0.151846
1,076_KAN_langevents_16_PL2017,Perc_photo, 202,0.070877
1,076_KAN_langevents_16_PL2017,Sem_sent, 202,-0.092539
1,076_KAN_langevents_16_PL2017,Perc_sent, 202,-0.018700
