ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Sem-photo, 202,0.874780
1,291_FED_20160803c_3T1_PL2017,Perc-photo, 202,0.494107
1,291_FED_20160803c_3T1_PL2017,Sem-sent, 202,0.659600
1,291_FED_20160803c_3T1_PL2017,Perc-sent, 202,0.335913
1,400_FED_20160520a_3T1_PL2017,Sem-photo, 202,0.078311
1,400_FED_20160520a_3T1_PL2017,Perc-photo, 202,-0.001056
1,400_FED_20160520a_3T1_PL2017,Sem-sent, 202,-0.000399
1,400_FED_20160520a_3T1_PL2017,Perc-sent, 202,0.065107
1,419_FED_20160805a_3T1_PL2017,Sem-photo, 202,0.210162
1,419_FED_20160805a_3T1_PL2017,Perc-photo, 202,0.012136
1,419_FED_20160805a_3T1_PL2017,Sem-sent, 202,-0.103899
1,419_FED_20160805a_3T1_PL2017,Perc-sent, 202,0.007666
1,773_FED_20190605c_3T2_PL2017,Sem-photo, 202,0.040322
1,773_FED_20190605c_3T2_PL2017,Perc-photo, 202,-0.131192
1,773_FED_20190605c_3T2_PL2017,Sem-sent, 202,0.125713
1,773_FED_20190605c_3T2_PL2017,Perc-sent, 202,-0.114367
1,774_FED_20190605b_3T2_PL2017,Sem-photo, 202,0.103545
1,774_FED_20190605b_3T2_PL2017,Perc-photo, 202,-0.129494
1,774_FED_20190605b_3T2_PL2017,Sem-sent, 202,-0.218118
1,774_FED_20190605b_3T2_PL2017,Perc-sent, 202,-0.330218
1,775_FED_20190611a_3T2_PL2017,Sem-photo, 202,0.503815
1,775_FED_20190611a_3T2_PL2017,Perc-photo, 202,0.338912
1,775_FED_20190611a_3T2_PL2017,Sem-sent, 202,0.483499
1,775_FED_20190611a_3T2_PL2017,Perc-sent, 202,0.270886
1,778_FED_20190614b_3T2_PL2017,Sem-photo, 202,0.466712
1,778_FED_20190614b_3T2_PL2017,Perc-photo, 202,-0.195488
1,778_FED_20190614b_3T2_PL2017,Sem-sent, 202,0.292236
1,778_FED_20190614b_3T2_PL2017,Perc-sent, 202,0.038750
