ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,S, 202,0.354363
1,249_FED_20160519a_3T1_PL2017,N, 202,0.118019
1,252_FED_20160907b_3T2_PL2017,S, 202,0.304319
1,252_FED_20160907b_3T2_PL2017,N, 202,0.202731
1,291_FED_20160803c_3T1_PL2017,S, 202,0.018401
1,291_FED_20160803c_3T1_PL2017,N, 202,-0.374262
1,301_FED_20160908b_3T1_PL2017,S, 202,0.226980
1,301_FED_20160908b_3T1_PL2017,N, 202,-0.159137
1,376_FED_20160519b_3T1_PL2017,S, 202,0.300754
1,376_FED_20160519b_3T1_PL2017,N, 202,0.101111
1,399_FED_20160519d_3T1_PL2017,S, 202,0.144672
1,399_FED_20160519d_3T1_PL2017,N, 202,0.012662
1,400_FED_20160520a_3T1_PL2017,S, 202,0.220940
1,400_FED_20160520a_3T1_PL2017,N, 202,0.008798
1,401_FED_20160520d_3T1_PL2017,S, 202,0.138416
1,401_FED_20160520d_3T1_PL2017,N, 202,0.126443
1,419_FED_20160805a_3T1_PL2017,S, 202,0.244280
1,419_FED_20160805a_3T1_PL2017,N, 202,0.204670
1,420_FED_20160805b_3T1_PL2017,S, 202,0.024457
1,420_FED_20160805b_3T1_PL2017,N, 202,0.011103
1,426_FED_20160908d_3T1_PL2017,S, 202,0.442205
1,426_FED_20160908d_3T1_PL2017,N, 202,0.056537
1,682_FED_20190426a_3T2_PL2017,S, 202,0.018912
1,682_FED_20190426a_3T2_PL2017,N, 202,0.003390
1,767_FED_20190418b_3T2_PL2017,S, 202,0.140893
1,767_FED_20190418b_3T2_PL2017,N, 202,0.069149
1,768_FED_20190517a_3T2_PL2017,S, 202,0.174282
1,768_FED_20190517a_3T2_PL2017,N, 202,0.149764
1,769_FED_20190522a_3T2_PL2017,S, 202,0.614631
1,769_FED_20190522a_3T2_PL2017,N, 202,0.493088
1,770_FED_20190523b_3T2_PL2017,S, 202,0.092947
1,770_FED_20190523b_3T2_PL2017,N, 202,-0.102707
1,773_FED_20190605c_3T2_PL2017,S, 202,-0.072342
1,773_FED_20190605c_3T2_PL2017,N, 202,-0.075680
1,774_FED_20190605b_3T2_PL2017,S, 202,-0.276061
1,774_FED_20190605b_3T2_PL2017,N, 202,-0.248807
1,775_FED_20190611a_3T2_PL2017,S, 202,-0.142291
1,775_FED_20190611a_3T2_PL2017,N, 202,-0.233894
1,778_FED_20190614b_3T2_PL2017,S, 202,0.224833
1,778_FED_20190614b_3T2_PL2017,N, 202,-0.020451
1,863_FED_20211124a_3T1_PL2017,S, 202,-0.069055
1,863_FED_20211124a_3T1_PL2017,N, 202,-0.115331
