ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_KAN_parametric_20_PL2017,S, 202,0.000291
1,199_KAN_parametric_20_PL2017,N, 202,-0.035454
1,261_FED_20160523c_3T2_PL2017,S, 202,0.536341
1,261_FED_20160523c_3T2_PL2017,N, 202,0.022408
1,407_FED_20160804a_3T1_PL2017,S, 202,0.401334
1,407_FED_20160804a_3T1_PL2017,N, 202,0.200835
1,408_FED_20160711a2_3T1_PL2017,S, 202,0.292976
1,408_FED_20160711a2_3T1_PL2017,N, 202,0.217381
1,409_FED_20160622a_3T1_PL2017,S, 202,0.523912
1,409_FED_20160622a_3T1_PL2017,N, 202,0.222587
1,410_FED_20160623b_3T2_PL2017,S, 202,-0.084698
1,410_FED_20160623b_3T2_PL2017,N, 202,-0.176655
1,730_FED_20190306a_3T2_PL2017,S, 202,0.233221
1,730_FED_20190306a_3T2_PL2017,N, 202,0.197909
1,776_FED_20190611b_3T2_PL2017,S, 202,0.118914
1,776_FED_20190611b_3T2_PL2017,N, 202,0.022563
1,291_FED_20160803c_3T1_PL2017,S, 202,0.081055
1,291_FED_20160803c_3T1_PL2017,N, 202,-0.287607
1,400_FED_20160520a_3T1_PL2017,S, 202,0.218380
1,400_FED_20160520a_3T1_PL2017,N, 202,0.004835
1,419_FED_20160805a_3T1_PL2017,S, 202,0.511281
1,419_FED_20160805a_3T1_PL2017,N, 202,0.232240
1,773_FED_20190605c_3T2_PL2017,S, 202,-0.164222
1,773_FED_20190605c_3T2_PL2017,N, 202,-0.234906
1,774_FED_20190605b_3T2_PL2017,S, 202,-0.141398
1,774_FED_20190605b_3T2_PL2017,N, 202,-0.118595
1,775_FED_20190611a_3T2_PL2017,S, 202,-0.099830
1,775_FED_20190611a_3T2_PL2017,N, 202,-0.148780
1,778_FED_20190614b_3T2_PL2017,S, 202,0.169602
1,778_FED_20190614b_3T2_PL2017,N, 202,-0.126044
