froi,size,subject,effect
LH_ATL,0.11199925924708501,199,Sem_sent
RH_ATL,0.01183619034739427,199,Sem_sent
LH_ATL,0.017624636532559655,199,Perc_sent
RH_ATL,0.02698642738251483,199,Perc_sent
LH_ATL,0.06967492785166057,199,Sem_photo
RH_ATL,-0.06607544928699463,199,Sem_photo
LH_ATL,0.0586759177437217,199,Perc_photo
RH_ATL,0.022507421094659266,199,Perc_photo
LH_ATL,0.3803071993334333,261,Sem_sent
RH_ATL,0.42679113977285077,261,Sem_sent
LH_ATL,0.0826028196199514,261,Perc_sent
RH_ATL,0.2925720425095836,261,Perc_sent
LH_ATL,0.18670509976883826,261,Sem_photo
RH_ATL,0.3850441736498922,261,Sem_photo
LH_ATL,-0.008477397672023133,261,Perc_photo
RH_ATL,0.22231327981817722,261,Perc_photo
LH_ATL,0.19888691481463527,407,Sem_sent
RH_ATL,0.22173666157829508,407,Sem_sent
LH_ATL,-0.14801167450908823,407,Perc_sent
RH_ATL,-0.01759398865213589,407,Perc_sent
LH_ATL,0.10011999609277211,407,Sem_photo
RH_ATL,0.18673093052645343,407,Sem_photo
LH_ATL,-0.11126060924969557,407,Perc_photo
RH_ATL,0.004105938239524043,407,Perc_photo
LH_ATL,0.06634010932741535,408,Sem_sent
RH_ATL,0.005722219425112099,408,Sem_sent
LH_ATL,-0.19074321626339277,408,Perc_sent
RH_ATL,-0.09209007462518048,408,Perc_sent
LH_ATL,0.03415427066202373,408,Sem_photo
RH_ATL,0.006098297470138438,408,Sem_photo
LH_ATL,-0.02888202898236245,408,Perc_photo
RH_ATL,0.007381007914140644,408,Perc_photo
LH_ATL,0.11061144594633447,409,Sem_sent
RH_ATL,-0.1348137289014989,409,Sem_sent
LH_ATL,0.020913252701196774,409,Perc_sent
RH_ATL,-0.00291777907702348,409,Perc_sent
LH_ATL,0.12706136645058147,409,Sem_photo
RH_ATL,-0.06422131787770509,409,Sem_photo
LH_ATL,-0.06098912283535814,409,Perc_photo
RH_ATL,-0.07647413478859197,409,Perc_photo
LH_ATL,0.16810822184458796,410,Sem_sent
RH_ATL,0.055925949191903475,410,Sem_sent
LH_ATL,-0.005642663167337778,410,Perc_sent
RH_ATL,-0.11271012576032602,410,Perc_sent
LH_ATL,-0.03815650136598397,410,Sem_photo
RH_ATL,-0.09633799544345269,410,Sem_photo
LH_ATL,-0.11852072537002292,410,Perc_photo
RH_ATL,-0.09300951384262679,410,Perc_photo
LH_ATL,0.28724713516074596,730,Sem_sent
RH_ATL,0.17372336717058146,730,Sem_sent
LH_ATL,-0.06451765511844948,730,Perc_sent
RH_ATL,-0.044054150667323176,730,Perc_sent
LH_ATL,0.21984788986184522,730,Sem_photo
RH_ATL,0.1409699701103813,730,Sem_photo
LH_ATL,0.01259688418166612,730,Perc_photo
