froi,size,subject,effect
LH_ATL_InfPole,-0.026831986398042743,199,S
RH_ATL_InfPole,-0.07735352515859666,199,S
LH_ATL_InfPole,-0.03387822249549532,199,N
RH_ATL_InfPole,-0.041109991036538514,199,N
LH_ATL_InfPole,0.08548790554484166,261,S
RH_ATL_InfPole,0.032578706945214,261,S
LH_ATL_InfPole,-0.01881061061369188,261,N
RH_ATL_InfPole,0.014828357762369796,261,N
LH_ATL_InfPole,0.05962087084438516,407,S
RH_ATL_InfPole,0.06704309126003155,407,S
LH_ATL_InfPole,0.0317593419076754,407,N
RH_ATL_InfPole,0.01568304660334898,407,N
LH_ATL_InfPole,0.02928336377976178,408,S
RH_ATL_InfPole,0.08649316657662989,408,S
LH_ATL_InfPole,-0.014475710308569948,408,N
RH_ATL_InfPole,0.06899323286881667,408,N
LH_ATL_InfPole,0.20799286561844155,409,S
RH_ATL_InfPole,0.05164458687690332,409,S
LH_ATL_InfPole,0.10391409801585147,409,N
RH_ATL_InfPole,0.046998795984701754,409,N
LH_ATL_InfPole,-0.10805446338914632,410,S
RH_ATL_InfPole,-0.025305311022554663,410,S
LH_ATL_InfPole,-0.08278784625020331,410,N
RH_ATL_InfPole,-0.011021061892327303,410,N
LH_ATL_InfPole,0.07935575587189336,730,S
RH_ATL_InfPole,0.013577945863436088,730,S
LH_ATL_InfPole,0.09216020804787742,730,N
RH_ATL_InfPole,0.012017640068089959,730,N
LH_ATL_InfPole,0.07184760267756543,776,S
RH_ATL_InfPole,-0.01847319876679354,776,S
LH_ATL_InfPole,0.007910390735303401,776,N
RH_ATL_InfPole,-0.002507033491805066,776,N
LH_ATL_InfPole,-0.0023678209118699156,291,S
RH_ATL_InfPole,0.020053467001127912,291,S
LH_ATL_InfPole,-0.08037043171115456,291,N
RH_ATL_InfPole,-0.02399970395778964,291,N
LH_ATL_InfPole,0.10553198603754553,400,S
RH_ATL_InfPole,-0.010480024228252801,400,S
LH_ATL_InfPole,0.10938985929388952,400,N
RH_ATL_InfPole,-0.01519036687024677,400,N
LH_ATL_InfPole,0.13468877398393972,419,S
RH_ATL_InfPole,0.0039498491015706955,419,S
LH_ATL_InfPole,0.09255462485114636,419,N
RH_ATL_InfPole,0.006323276894699888,419,N
LH_ATL_InfPole,-0.03840726742456518,773,S
RH_ATL_InfPole,-0.006022398715409125,773,S
LH_ATL_InfPole,-0.02994473895888057,773,N
RH_ATL_InfPole,-0.02513565102750438,773,N
LH_ATL_InfPole,-0.00608471527795443,774,S
RH_ATL_InfPole,-0.06693305951772623,774,S
LH_ATL_InfPole,-0.01636900804352086,774,N
RH_ATL_InfPole,-0.06859283704846715,774,N
LH_ATL_InfPole,-0.07944958770864506,775,S
RH_ATL_InfPole,-0.10362056860190409,775,S
LH_ATL_InfPole,-0.09532281863072915,775,N
RH_ATL_InfPole,-0.14063434977896824,775,N
LH_ATL_InfPole,0.08459871771010995,778,S
RH_ATL_InfPole,-0.03225399752789832,778,S
LH_ATL_InfPole,0.01130981709708515,778,N
RH_ATL_InfPole,-0.07982163392954321,778,N
