froi,size,subject,effect
RH_F2,0.11769775062130387,199,S
RH_F1,0.011689141509849628,199,S
RH_TP2,0.07894392490654399,199,S
RH_TP3,-0.1302994911579906,199,S
RH_TP1,0.3952610140744331,199,S
RH_TP4,-0.11055163183451484,199,S
RH_O1,0.46991843775553327,199,S
LH_Cer1,0.06344522576607288,199,S
RH_MID_O3,-0.039665384144911865,199,S
RH_MID3,0.11481920966633141,199,S
LH_MID_O4,0.05600169732330329,199,S
RH_F4,-0.45489151692666113,199,S
LH_Cer2,0.07433482415879855,199,S
RH_F3,-0.3777569833681283,199,S
LH_O2,0.7467715202227725,199,S
RH_F5,-0.07708595064633783,199,S
RH_MID2,-0.05507817866085016,199,S
MID1_LH_flipped,-0.09639828159279377,199,S
MID1_RH_flipped,-0.12108058880637662,199,S
RH_F2,0.11527319607345927,199,N
RH_F1,0.12239236561022364,199,N
RH_TP2,0.018034419193038893,199,N
RH_TP3,-0.014533421210777095,199,N
RH_TP1,0.3900477756275458,199,N
RH_TP4,0.09261256322893446,199,N
RH_O1,0.4560880772529373,199,N
LH_Cer1,0.06365693428161695,199,N
RH_MID_O3,-0.10271162175642645,199,N
RH_MID3,0.2402923471500256,199,N
LH_MID_O4,0.019319183814576348,199,N
RH_F4,0.02867683871008987,199,N
LH_Cer2,0.0689795430743611,199,N
RH_F3,-0.1345438248032445,199,N
LH_O2,0.7419201359754417,199,N
RH_F5,0.012822829002534565,199,N
RH_MID2,-0.08045852293204528,199,N
MID1_LH_flipped,-0.0629358860128627,199,N
MID1_RH_flipped,-0.07967726741607437,199,N
RH_F2,0.45284798862604764,261,S
RH_F1,0.2248588531293507,261,S
RH_TP2,0.2678217855204639,261,S
RH_TP3,0.14131272154612742,261,S
RH_TP1,0.16380822837609518,261,S
RH_TP4,0.3762910836219881,261,S
RH_O1,0.6564350471583958,261,S
LH_Cer1,0.21200395721081036,261,S
RH_MID_O3,-0.03199433413501837,261,S
RH_MID3,0.2752559973764606,261,S
LH_MID_O4,-0.036608072712585,261,S
RH_F4,0.43042406705328545,261,S
LH_Cer2,0.060407752802195645,261,S
