froi,size,subject,effect
LH_FrontalMed,0.12463685370630036,199,S
LH_PostCing,0.012152899076966664,199,S
LH_TPJ,0.0399771413137374,199,S
LH_MidCing,0.08959457691975252,199,S
LH_STGorInsula,-0.008212578456667226,199,S
LH_AntTemp,0.06274150447346162,199,S
RH_FrontalMed,0.039568549988969054,199,S
RH_PostCing,-0.1204630656427479,199,S
RH_TPJ,-0.11370062960208381,199,S
RH_MidCing,-0.0758626974339118,199,S
RH_STGorInsula,-0.26115311030817834,199,S
RH_AntTemp,-0.010256122048295872,199,S
LH_FrontalMed,-0.0070899169284978514,199,N
LH_PostCing,-0.01101672068426749,199,N
LH_TPJ,-0.008388576260290537,199,N
LH_MidCing,-0.025630709040593364,199,N
LH_STGorInsula,-0.13693135508787166,199,N
LH_AntTemp,-0.004701779134190776,199,N
RH_FrontalMed,-0.0024197329427400618,199,N
RH_PostCing,-0.09195786326318196,199,N
RH_TPJ,-0.034333012110720915,199,N
RH_MidCing,-0.19029954234456994,199,N
RH_STGorInsula,-0.3205803323289621,199,N
RH_AntTemp,-0.06642105602477334,199,N
LH_FrontalMed,-0.0016649245428103144,261,S
LH_PostCing,0.054831912763421246,261,S
LH_TPJ,0.7070897394851315,261,S
LH_MidCing,0.1304481958163232,261,S
LH_STGorInsula,0.039890372757202315,261,S
LH_AntTemp,0.6998535136386962,261,S
RH_FrontalMed,0.09700696266384085,261,S
RH_PostCing,0.06865842034345955,261,S
RH_TPJ,0.2909346323379123,261,S
RH_MidCing,0.1388048925384124,261,S
RH_STGorInsula,-0.038672088565988846,261,S
RH_AntTemp,0.23193544673351452,261,S
LH_FrontalMed,-0.0827900633594812,261,N
LH_PostCing,-0.08295925766011314,261,N
LH_TPJ,0.04866670223454058,261,N
LH_MidCing,0.06875120189058981,261,N
LH_STGorInsula,-0.009647834116574482,261,N
LH_AntTemp,0.1230499492346615,261,N
RH_FrontalMed,-0.053514829257509895,261,N
RH_PostCing,-0.03306021801053656,261,N
RH_TPJ,0.24338530324850707,261,N
RH_MidCing,-0.008759008215362026,261,N
RH_STGorInsula,-0.16345925027689076,261,N
RH_AntTemp,0.019680127090828024,261,N
LH_FrontalMed,0.33735777587699545,407,S
LH_PostCing,0.05538322958113846,407,S
LH_TPJ,-0.2424945843954362,407,S
LH_MidCing,0.1767513275041923,407,S
LH_STGorInsula,0.17021254709091427,407,S
LH_AntTemp,0.469788452411675,407,S
RH_FrontalMed,0.23009309509938233,407,S
RH_PostCing,0.1501616533678014,407,S
RH_TPJ,-0.01962114374098099,407,S
RH_MidCing,0.24571819961241267,407,S
RH_STGorInsula,0.17030582342951067,407,S
RH_AntTemp,0.1704645338903865,407,S
LH_FrontalMed,0.19023665535379475,407,N
LH_PostCing,-0.0048252470755524406,407,N
LH_TPJ,-0.28479988488245755,407,N
LH_MidCing,0.15062725868912252,407,N
LH_STGorInsula,0.1340962934150777,407,N
LH_AntTemp,0.18669373547357623,407,N
RH_FrontalMed,0.13860227859121008,407,N
RH_PostCing,0.041970786903215346,407,N
RH_TPJ,-0.0009011904337715689,407,N
RH_MidCing,0.18787710722545065,407,N
RH_STGorInsula,0.16540327567447707,407,N
RH_AntTemp,0.012786498229788763,407,N
LH_FrontalMed,-0.4074706309140663,408,S
LH_PostCing,-0.05691612629826786,408,S
LH_TPJ,-0.09068630306098427,408,S
LH_MidCing,-0.05642007091751375,408,S
LH_STGorInsula,0.060827203254864994,408,S
LH_AntTemp,-0.01093023977362127,408,S
RH_FrontalMed,-0.2751029410996759,408,S
RH_PostCing,-0.20340803272229768,408,S
RH_TPJ,-0.172409555174032,408,S
RH_MidCing,-0.076925406246207,408,S
RH_STGorInsula,-0.11241138258812976,408,S
RH_AntTemp,0.061130289033428785,408,S
LH_FrontalMed,-0.2624263027620081,408,N
LH_PostCing,-0.0785436588059707,408,N
LH_TPJ,-0.18405817094277585,408,N
LH_MidCing,-0.11067835933521838,408,N
LH_STGorInsula,-0.00795857146115104,408,N
LH_AntTemp,-0.035513269869989546,408,N
RH_FrontalMed,-0.2429428706897026,408,N
RH_PostCing,-0.15467679569210135,408,N
RH_TPJ,-0.14321127017857274,408,N
RH_MidCing,-0.07673549009933218,408,N
RH_STGorInsula,-0.16490034188501784,408,N
RH_AntTemp,0.16572832024062442,408,N
LH_FrontalMed,0.25009597357078767,409,S
LH_PostCing,0.1135493557892139,409,S
LH_TPJ,0.20886907531920196,409,S
LH_MidCing,0.16668006787587922,409,S
LH_STGorInsula,0.027312682646314857,409,S
LH_AntTemp,0.33254640697911175,409,S
RH_FrontalMed,0.23016671456303334,409,S
RH_PostCing,0.10790086773436534,409,S
RH_TPJ,0.23819447160313906,409,S
RH_MidCing,0.20052588225831708,409,S
RH_STGorInsula,-0.16093650225470282,409,S
RH_AntTemp,0.44200148022090574,409,S
LH_FrontalMed,0.08709902138197384,409,N
LH_PostCing,0.08868861784780059,409,N
LH_TPJ,-0.021917825178541767,409,N
LH_MidCing,0.14532446806148355,409,N
LH_STGorInsula,-0.013427259750867317,409,N
LH_AntTemp,0.08035000945996172,409,N
RH_FrontalMed,0.11074918287873106,409,N
RH_PostCing,0.16436443868607958,409,N
RH_TPJ,0.15585677803793146,409,N
RH_MidCing,0.16970577837060336,409,N
RH_STGorInsula,-0.23110972091840867,409,N
RH_AntTemp,0.10745690969739015,409,N
