froi,size,subject,effect
LH_IFGorb,1.019967860045409,199,Sem_sent
LH_IFG,0.46224812482426836,199,Sem_sent
LH_MFG,0.9453701453629648,199,Sem_sent
LH_AntTemp,-0.008679407392216338,199,Sem_sent
LH_PostTemp,0.4941795192913078,199,Sem_sent
LH_AngG,0.5028737454350556,199,Sem_sent
RH_IFGorb,0.276269652611072,199,Sem_sent
RH_IFG,0.5311177409420793,199,Sem_sent
RH_MFG,0.31313072646247897,199,Sem_sent
RH_AntTemp,0.13819642809344315,199,Sem_sent
RH_PostTemp,0.1460183237794531,199,Sem_sent
RH_AngG,0.12858523428516397,199,Sem_sent
LH_IFGorb,0.05005197521847826,199,Perc_sent
LH_IFG,0.15973667217750945,199,Perc_sent
LH_MFG,0.8563615933540915,199,Perc_sent
LH_AntTemp,-0.0897231265642903,199,Perc_sent
LH_PostTemp,0.3014136083169915,199,Perc_sent
LH_AngG,0.3527280799735338,199,Perc_sent
RH_IFGorb,0.27358412631047324,199,Perc_sent
RH_IFG,0.8500562960960298,199,Perc_sent
RH_MFG,0.4551627467352546,199,Perc_sent
RH_AntTemp,0.16274879672192763,199,Perc_sent
RH_PostTemp,0.10037771645820882,199,Perc_sent
RH_AngG,0.1799484932780521,199,Perc_sent
LH_IFGorb,0.41586653320960915,199,Sem_photo
LH_IFG,0.30614970536011493,199,Sem_photo
LH_MFG,0.7048003997450591,199,Sem_photo
LH_AntTemp,-0.19624200794385996,199,Sem_photo
LH_PostTemp,0.1397420547337359,199,Sem_photo
LH_AngG,0.5667661094591432,199,Sem_photo
RH_IFGorb,0.010145259516136873,199,Sem_photo
RH_IFG,0.6002927645321381,199,Sem_photo
RH_MFG,0.21879358103454752,199,Sem_photo
RH_AntTemp,-0.052760192459295994,199,Sem_photo
RH_PostTemp,0.013944218291452936,199,Sem_photo
RH_AngG,0.37193493644271697,199,Sem_photo
LH_IFGorb,0.11089551750469084,199,Perc_photo
LH_IFG,0.0969877720029502,199,Perc_photo
LH_MFG,0.710942184325645,199,Perc_photo
LH_AntTemp,-0.06539565692700167,199,Perc_photo
LH_PostTemp,0.14829680603813997,199,Perc_photo
LH_AngG,0.43002486483336566,199,Perc_photo
RH_IFGorb,0.2376097480516433,199,Perc_photo
RH_IFG,0.7249628347366442,199,Perc_photo
RH_MFG,0.3830430512819342,199,Perc_photo
RH_AntTemp,0.10616097123422619,199,Perc_photo
RH_PostTemp,0.06197734065256077,199,Perc_photo
RH_AngG,0.35968509893217443,199,Perc_photo
LH_IFGorb,1.6494910279225514,261,Sem_sent
LH_IFG,1.076233554518523,261,Sem_sent
LH_MFG,1.0814550126295484,261,Sem_sent
LH_AntTemp,0.3943907109715217,261,Sem_sent
LH_PostTemp,1.0624337752213389,261,Sem_sent
LH_AngG,1.0376406398259204,261,Sem_sent
RH_IFGorb,0.5697321796457084,261,Sem_sent
RH_IFG,0.0810591752396966,261,Sem_sent
RH_MFG,0.33872571809055657,261,Sem_sent
RH_AntTemp,0.5515899739442673,261,Sem_sent
RH_PostTemp,0.051416701669851635,261,Sem_sent
RH_AngG,0.22509132721818081,261,Sem_sent
LH_IFGorb,0.37836791482346316,261,Perc_sent
LH_IFG,0.0711807757081548,261,Perc_sent
LH_MFG,0.5111720529992125,261,Perc_sent
LH_AntTemp,0.14716334196992914,261,Perc_sent
LH_PostTemp,0.3649474274494109,261,Perc_sent
LH_AngG,-0.24669510472722367,261,Perc_sent
RH_IFGorb,0.25564070431781427,261,Perc_sent
RH_IFG,0.1923558086583379,261,Perc_sent
RH_MFG,1.0440232362855246,261,Perc_sent
RH_AntTemp,0.36620908552261233,261,Perc_sent
RH_PostTemp,0.1091751403050997,261,Perc_sent
RH_AngG,0.08443375118864915,261,Perc_sent
LH_IFGorb,0.3754355586986671,261,Sem_photo
LH_IFG,0.3314014489293684,261,Sem_photo
LH_MFG,0.4160837162280174,261,Sem_photo
LH_AntTemp,0.05520789414355685,261,Sem_photo
LH_PostTemp,0.6502257296077494,261,Sem_photo
LH_AngG,0.368344134862069,261,Sem_photo
RH_IFGorb,0.09029638455527841,261,Sem_photo
RH_IFG,-0.05534801384813132,261,Sem_photo
RH_MFG,0.678031516567057,261,Sem_photo
RH_AntTemp,0.3308736344817702,261,Sem_photo
RH_PostTemp,-0.02920710926338445,261,Sem_photo
RH_AngG,0.7325137408088496,261,Sem_photo
LH_IFGorb,-0.35818959574586096,261,Perc_photo
LH_IFG,-0.4875306230322744,261,Perc_photo
LH_MFG,0.13897514486946574,261,Perc_photo
LH_AntTemp,-0.08752558200041269,261,Perc_photo
LH_PostTemp,0.08348113153671224,261,Perc_photo
LH_AngG,-0.49585813563675796,261,Perc_photo
RH_IFGorb,0.03050428092209989,261,Perc_photo
RH_IFG,-0.026512912216667232,261,Perc_photo
RH_MFG,1.1060296419740976,261,Perc_photo
RH_AntTemp,0.10760216457148386,261,Perc_photo
RH_PostTemp,-0.05272733946905663,261,Perc_photo
RH_AngG,0.4974624847127512,261,Perc_photo
LH_IFGorb,0.296192147240455,407,Sem_sent
LH_IFG,0.4810907335743996,407,Sem_sent
LH_MFG,0.8371731350950617,407,Sem_sent
LH_AntTemp,0.3710856803571075,407,Sem_sent
LH_PostTemp,0.8110621760226946,407,Sem_sent
LH_AngG,0.31856386340029574,407,Sem_sent
RH_IFGorb,0.40083683977827844,407,Sem_sent
RH_IFG,0.5894239803202286,407,Sem_sent
RH_MFG,0.6148877267980165,407,Sem_sent
RH_AntTemp,0.3812655232271718,407,Sem_sent
RH_PostTemp,0.7222543213006464,407,Sem_sent
RH_AngG,0.16903242552165856,407,Sem_sent
LH_IFGorb,-0.4602668961105248,407,Perc_sent
LH_IFG,0.11119961183033877,407,Perc_sent
LH_MFG,1.0323801329586169,407,Perc_sent
LH_AntTemp,-0.07990495978200463,407,Perc_sent
LH_PostTemp,0.20438535682858347,407,Perc_sent
LH_AngG,-0.11484594325997705,407,Perc_sent
RH_IFGorb,0.2774680808919145,407,Perc_sent
RH_IFG,0.5246935342242257,407,Perc_sent
RH_MFG,0.8832550104564231,407,Perc_sent
RH_AntTemp,-0.05793169629365654,407,Perc_sent
RH_PostTemp,0.3599992933919864,407,Perc_sent
RH_AngG,-0.058589460242614744,407,Perc_sent
LH_IFGorb,0.07415182007715967,407,Sem_photo
LH_IFG,0.21533921719973267,407,Sem_photo
LH_MFG,0.47186184554687505,407,Sem_photo
LH_AntTemp,0.15095610894843547,407,Sem_photo
LH_PostTemp,0.3059827959169961,407,Sem_photo
LH_AngG,0.4615594720959715,407,Sem_photo
RH_IFGorb,0.42240325719315797,407,Sem_photo
RH_IFG,0.4736865160707694,407,Sem_photo
RH_MFG,0.6235654021141811,407,Sem_photo
RH_AntTemp,0.15909711339650046,407,Sem_photo
RH_PostTemp,0.24969069955563158,407,Sem_photo
RH_AngG,0.33147548600428195,407,Sem_photo
LH_IFGorb,-0.39782323779099,407,Perc_photo
LH_IFG,0.12216198131974264,407,Perc_photo
LH_MFG,1.0579342312916942,407,Perc_photo
LH_AntTemp,-0.014544403478445492,407,Perc_photo
LH_PostTemp,0.2058701842505424,407,Perc_photo
LH_AngG,0.04555189862914422,407,Perc_photo
RH_IFGorb,0.3260730911459153,407,Perc_photo
RH_IFG,0.613861596788296,407,Perc_photo
RH_MFG,0.9786743112484779,407,Perc_photo
RH_AntTemp,-0.037957324051682624,407,Perc_photo
RH_PostTemp,0.3388659180223563,407,Perc_photo
RH_AngG,-0.04050519300361595,407,Perc_photo
LH_IFGorb,0.16073868114545892,408,Sem_sent
LH_IFG,0.7937850495989235,408,Sem_sent
LH_MFG,1.2423657105268098,408,Sem_sent
LH_AntTemp,0.5235615685246119,408,Sem_sent
LH_PostTemp,0.621841572988283,408,Sem_sent
LH_AngG,0.3241918107655499,408,Sem_sent
RH_IFGorb,0.31552057686982654,408,Sem_sent
RH_IFG,0.4034749031502895,408,Sem_sent
RH_MFG,0.8799548028022478,408,Sem_sent
RH_AntTemp,0.3085895234608407,408,Sem_sent
RH_PostTemp,0.20208156397137378,408,Sem_sent
RH_AngG,0.09955215164368982,408,Sem_sent
LH_IFGorb,-0.48486208172197703,408,Perc_sent
LH_IFG,0.33110419856415313,408,Perc_sent
LH_MFG,0.9697223168424982,408,Perc_sent
LH_AntTemp,0.05240942710594162,408,Perc_sent
LH_PostTemp,0.04979650173251707,408,Perc_sent
LH_AngG,-0.43304042989188557,408,Perc_sent
RH_IFGorb,0.2568966589327726,408,Perc_sent
RH_IFG,0.3862799888680072,408,Perc_sent
RH_MFG,1.0862930306932301,408,Perc_sent
RH_AntTemp,0.0854150081499797,408,Perc_sent
RH_PostTemp,0.1233922175299517,408,Perc_sent
RH_AngG,0.11874530133512394,408,Perc_sent
LH_IFGorb,-0.023109162095441747,408,Sem_photo
LH_IFG,0.46334238151195695,408,Sem_photo
LH_MFG,0.7279416918160642,408,Sem_photo
LH_AntTemp,-0.03870070153123667,408,Sem_photo
LH_PostTemp,0.16942561530949202,408,Sem_photo
LH_AngG,-0.00793846072019977,408,Sem_photo
RH_IFGorb,0.5577014610418135,408,Sem_photo
RH_IFG,0.3840205509899325,408,Sem_photo
RH_MFG,0.9830146916608596,408,Sem_photo
RH_AntTemp,0.14530576986248642,408,Sem_photo
RH_PostTemp,0.1713756412322769,408,Sem_photo
RH_AngG,0.3197252142864305,408,Sem_photo
LH_IFGorb,-0.10138275055605271,408,Perc_photo
LH_IFG,0.47052141896195687,408,Perc_photo
LH_MFG,0.9941423484017755,408,Perc_photo
LH_AntTemp,0.09007630334636497,408,Perc_photo
LH_PostTemp,-0.0472459121037294,408,Perc_photo
LH_AngG,-0.36653961232435694,408,Perc_photo
RH_IFGorb,0.7240229385075637,408,Perc_photo
RH_IFG,0.6426815727484974,408,Perc_photo
RH_MFG,1.2083703999458146,408,Perc_photo
RH_AntTemp,0.1833288932884447,408,Perc_photo
RH_PostTemp,0.2937742168327467,408,Perc_photo
RH_AngG,0.26396799511653823,408,Perc_photo
LH_IFGorb,0.5228336220476977,409,Sem_sent
LH_IFG,0.4433661721510712,409,Sem_sent
LH_MFG,0.733607822225022,409,Sem_sent
LH_AntTemp,0.020745911222117462,409,Sem_sent
LH_PostTemp,0.5305776875722075,409,Sem_sent
LH_AngG,0.6055149042810873,409,Sem_sent
RH_IFGorb,0.027895008367621488,409,Sem_sent
RH_IFG,-0.06882634907429772,409,Sem_sent
RH_MFG,0.09686492295501009,409,Sem_sent
RH_AntTemp,-0.15967055943015612,409,Sem_sent
RH_PostTemp,0.22623602006377425,409,Sem_sent
RH_AngG,-0.008853243187730996,409,Sem_sent
LH_IFGorb,0.0491925687000678,409,Perc_sent
LH_IFG,0.06810004848022803,409,Perc_sent
LH_MFG,0.876579916149302,409,Perc_sent
LH_AntTemp,-0.11426387130079538,409,Perc_sent
LH_PostTemp,0.22228796241059567,409,Perc_sent
LH_AngG,-0.0933017007821633,409,Perc_sent
RH_IFGorb,0.11128593321315927,409,Perc_sent
