froi,size,subject,effect
LH_postParietal,0.7817478717464624,199,Sem_sent
LH_midParietal,0.3355294660872407,199,Sem_sent
LH_antParietal,0.4556175745033588,199,Sem_sent
LH_supFrontal,0.44938932755153466,199,Sem_sent
LH_Precentral_A_precG,0.7815105239946998,199,Sem_sent
LH_Precentral_B_IFGop,0.7485669467961218,199,Sem_sent
LH_midFrontal,0.7615885097984262,199,Sem_sent
LH_midFrontalOrb,0.40467401042090095,199,Sem_sent
LH_insula,0.7543572549374139,199,Sem_sent
LH_medialFrontal,0.4604656853347631,199,Sem_sent
RH_postParietal,0.33274405724682476,199,Sem_sent
RH_midParietal,0.37535179481463676,199,Sem_sent
RH_antParietal,0.33195582874367907,199,Sem_sent
RH_supFrontal,0.23225163122469697,199,Sem_sent
RH_Precentral_A_precG,0.600668183405258,199,Sem_sent
RH_Precentral_B_IFGop,0.5541954112720606,199,Sem_sent
RH_midFrontal,0.3310098737321835,199,Sem_sent
RH_midFrontalOrb,0.5969982639858974,199,Sem_sent
RH_insula,0.22122238677072226,199,Sem_sent
RH_medialFrontal,0.8032299746119335,199,Sem_sent
LH_postParietal,0.5457863078499191,199,Perc_sent
LH_midParietal,0.044254574881213316,199,Perc_sent
LH_antParietal,0.2200643399723101,199,Perc_sent
LH_supFrontal,0.2269394032760038,199,Perc_sent
LH_Precentral_A_precG,0.5527900304034357,199,Perc_sent
LH_Precentral_B_IFGop,0.4237336407699292,199,Perc_sent
LH_midFrontal,0.3624438783093793,199,Perc_sent
LH_midFrontalOrb,-0.24457622292045664,199,Perc_sent
LH_insula,0.5169686916424651,199,Perc_sent
LH_medialFrontal,0.0701057511482351,199,Perc_sent
RH_postParietal,0.37877162124727887,199,Perc_sent
RH_midParietal,0.24919818178870987,199,Perc_sent
RH_antParietal,0.472736647302828,199,Perc_sent
RH_supFrontal,0.17879084019869876,199,Perc_sent
RH_Precentral_A_precG,0.625719327628773,199,Perc_sent
RH_Precentral_B_IFGop,0.719739301679897,199,Perc_sent
RH_midFrontal,0.03179844989980666,199,Perc_sent
RH_midFrontalOrb,0.1603758959297128,199,Perc_sent
RH_insula,0.13288239873929328,199,Perc_sent
RH_medialFrontal,0.3382443895270805,199,Perc_sent
LH_postParietal,0.9299541013107874,199,Sem_photo
LH_midParietal,0.3842161324416271,199,Sem_photo
LH_antParietal,0.47832295685249965,199,Sem_photo
LH_supFrontal,0.4304713674805339,199,Sem_photo
LH_Precentral_A_precG,0.930587459610876,199,Sem_photo
