froi,size,subject,effect
LH_ATL,-0.07605952331008108,040,S
RH_ATL,0.25586560373198436,040,S
LH_ATL,-0.15530143644809574,040,N
RH_ATL,0.13300565862856734,040,N
LH_ATL,0.04206207804413772,019,S
RH_ATL,-0.0027194192360637196,019,S
LH_ATL,-0.026431663498583054,019,N
RH_ATL,-0.06565161024794554,019,N
LH_ATL,0.17859402154839082,059,S
RH_ATL,0.15591886323814322,059,S
LH_ATL,0.07562205673430358,059,N
RH_ATL,0.06974485946705199,059,N
LH_ATL,0.058447338843101306,056,S
RH_ATL,-0.19521192502604467,056,S
LH_ATL,-0.04910815516342692,056,N
RH_ATL,-0.22186175999743324,056,N
LH_ATL,0.016480357970433537,067,S
RH_ATL,-0.07000616064337072,067,S
LH_ATL,-0.024198834349351037,067,N
RH_ATL,-0.2027880561098726,067,N
LH_ATL,0.05791240781100239,068,S
RH_ATL,-0.038705916065307856,068,S
LH_ATL,-0.13627306573868916,068,N
RH_ATL,-0.1842286373067535,068,N
LH_ATL,0.514682669307744,070,S
RH_ATL,0.3307975096416974,070,S
LH_ATL,0.3541421742662486,070,N
RH_ATL,0.4214959294539747,070,N
LH_ATL,0.11750819431115876,087,S
RH_ATL,-0.030425372969763553,087,S
LH_ATL,0.03204183626813881,087,N
RH_ATL,-0.09178784766872451,087,N
LH_ATL,0.05258282050925632,078,S
RH_ATL,0.028473297942913683,078,S
LH_ATL,0.007186470178258442,078,N
RH_ATL,0.002803166089501608,078,N
LH_ATL,-0.08914510730857371,089,S
RH_ATL,-0.1621944037490242,089,S
LH_ATL,-0.1392800557314223,089,N
RH_ATL,-0.1873968078093177,089,N
LH_ATL,-0.1933396820141075,076,S
RH_ATL,-0.16980638544620877,076,S
LH_ATL,-0.25267528062049516,076,N
RH_ATL,-0.1874339638806385,076,N
LH_ATL,0.22179632846745453,057,S
RH_ATL,0.4428077097932985,057,S
LH_ATL,-0.040526987516126316,057,N
RH_ATL,0.10756836870960607,057,N
