froi,size,subject,effect
LH_FrontalMed,0.4128397766192347,249,S
LH_PostCing,0.25279531271788025,249,S
LH_TPJ,0.3387804950435639,249,S
LH_MidCing,0.1884309148051282,249,S
LH_STGorInsula,-0.4069763850235886,249,S
LH_AntTemp,0.17738070229641775,249,S
RH_FrontalMed,0.41412861955798036,249,S
RH_PostCing,0.28647386933794555,249,S
RH_TPJ,0.35136695974935034,249,S
RH_MidCing,-0.2679889906991882,249,S
RH_STGorInsula,-0.3646434306134243,249,S
RH_AntTemp,0.3450000215649476,249,S
LH_FrontalMed,0.32502199386150743,249,N
LH_PostCing,0.2216004904278949,249,N
LH_TPJ,0.10051265994720136,249,N
LH_MidCing,0.12914387483415155,249,N
LH_STGorInsula,-0.3430400252002604,249,N
LH_AntTemp,0.1557286194728298,249,N
RH_FrontalMed,0.3346655660196667,249,N
RH_PostCing,0.2173030289560092,249,N
RH_TPJ,0.2286839509547407,249,N
RH_MidCing,-0.13909137533769234,249,N
RH_STGorInsula,-0.3077265705083319,249,N
RH_AntTemp,0.2890228831266169,249,N
LH_FrontalMed,0.31225484225633715,252,S
LH_PostCing,0.41099364574171304,252,S
LH_TPJ,0.34633908959712,252,S
LH_MidCing,0.2135564505418526,252,S
LH_STGorInsula,-0.1782684753592949,252,S
LH_AntTemp,0.43380127568833365,252,S
RH_FrontalMed,0.3326240133173438,252,S
RH_PostCing,0.4652793236248307,252,S
RH_TPJ,0.3425119322697329,252,S
RH_MidCing,0.13891023392712623,252,S
RH_STGorInsula,-0.32713131005216856,252,S
RH_AntTemp,0.34249715047665136,252,S
LH_FrontalMed,0.2180526663310762,252,N
LH_PostCing,0.3604149628656701,252,N
LH_TPJ,0.23646649170746242,252,N
LH_MidCing,0.1410013229022952,252,N
LH_STGorInsula,-0.15751846364543298,252,N
LH_AntTemp,0.38151682504654055,252,N
RH_FrontalMed,0.22323199356615517,252,N
RH_PostCing,0.39084976541546607,252,N
RH_TPJ,0.23557675271269005,252,N
RH_MidCing,0.1166627092918004,252,N
RH_STGorInsula,-0.31717580706646203,252,N
RH_AntTemp,0.2149207061091456,252,N
LH_FrontalMed,0.35795230969189806,291,S
LH_PostCing,0.09688044842109635,291,S
LH_TPJ,0.13080049420488368,291,S
LH_MidCing,0.009989507628694171,291,S
LH_STGorInsula,-0.09257098203567135,291,S
LH_AntTemp,0.09513063584228172,291,S
RH_FrontalMed,-0.15153456669346801,291,S
RH_PostCing,-0.047535206789184554,291,S
RH_TPJ,-0.12128513174278045,291,S
RH_MidCing,-0.32560695196279027,291,S
RH_STGorInsula,-0.5860221789055525,291,S
RH_AntTemp,-0.02562158381023658,291,S
LH_FrontalMed,0.05270284588929303,291,N
LH_PostCing,0.034140981018931274,291,N
LH_TPJ,0.04866194511605408,291,N
LH_MidCing,0.03719985187516593,291,N
LH_STGorInsula,-0.24873144721473195,291,N
LH_AntTemp,-0.4076885400986137,291,N
RH_FrontalMed,-0.17162137105776498,291,N
RH_PostCing,-0.0463766401506252,291,N
RH_TPJ,-0.12233161386747973,291,N
RH_MidCing,-0.2807677724829907,291,N
RH_STGorInsula,-0.5115049522473212,291,N
RH_AntTemp,-0.04990942844891547,291,N
LH_FrontalMed,-0.1870369320319193,301,S
LH_PostCing,-0.08769609852810101,301,S
LH_TPJ,0.5588671332768004,301,S
LH_MidCing,0.2836178706776718,301,S
LH_STGorInsula,-0.3110455115562617,301,S
LH_AntTemp,0.31604377882082646,301,S
RH_FrontalMed,-0.36072980404779614,301,S
RH_PostCing,-0.35413989309223315,301,S
RH_TPJ,-0.19559217762207126,301,S
RH_MidCing,0.33847842744821377,301,S
RH_STGorInsula,-0.34195087187826123,301,S
RH_AntTemp,-0.16975038315785632,301,S
LH_FrontalMed,-0.07165106542740382,301,N
LH_PostCing,-0.10531627899501109,301,N
LH_TPJ,0.3644924621336115,301,N
LH_MidCing,0.37596749747543556,301,N
LH_STGorInsula,-0.06459244278259756,301,N
LH_AntTemp,-0.11247610984005138,301,N
RH_FrontalMed,-0.23023348669332838,301,N
RH_PostCing,-0.2944133258365128,301,N
RH_TPJ,-0.14480730597278016,301,N
RH_MidCing,0.4287455950934958,301,N
RH_STGorInsula,-0.07608698759588056,301,N
RH_AntTemp,-0.2740021841019062,301,N
LH_FrontalMed,0.3777048871007269,376,S
LH_PostCing,0.17034091248492916,376,S
LH_TPJ,0.3499215310012135,376,S
LH_MidCing,-0.05614686764279257,376,S
LH_STGorInsula,-0.10389240620565725,376,S
LH_AntTemp,0.17601041530745734,376,S
RH_FrontalMed,0.24383042742548722,376,S
RH_PostCing,0.006383315325053771,376,S
RH_TPJ,0.30138480396897155,376,S
RH_MidCing,-0.23782715003250654,376,S
RH_STGorInsula,-0.241782369054725,376,S
RH_AntTemp,0.09456753517475874,376,S
LH_FrontalMed,0.09674446658521428,376,N
LH_PostCing,-0.12005015517370023,376,N
LH_TPJ,-0.035085447139552056,376,N
LH_MidCing,-0.1178162318728601,376,N
LH_STGorInsula,-0.04252841751287282,376,N
LH_AntTemp,0.016680044907650467,376,N
RH_FrontalMed,0.10092641051525691,376,N
RH_PostCing,-0.12293942544443033,376,N
RH_TPJ,0.1058506454874572,376,N
RH_MidCing,-0.2018560087008119,376,N
RH_STGorInsula,-0.2251277692350518,376,N
RH_AntTemp,-0.03013453195723999,376,N
LH_FrontalMed,-0.1537237781733129,399,S
LH_PostCing,-0.1439971161234719,399,S
LH_TPJ,-0.2032369425468654,399,S
LH_MidCing,-0.13304706293004528,399,S
LH_STGorInsula,-0.20201573111621796,399,S
LH_AntTemp,0.03189462181609656,399,S
RH_FrontalMed,-0.18830614561695752,399,S
RH_PostCing,-0.23129769105789805,399,S
RH_TPJ,-0.17320597950531627,399,S
RH_MidCing,-0.10826023214025451,399,S
RH_STGorInsula,-0.07499258252167362,399,S
RH_AntTemp,-0.16484887517798164,399,S
LH_FrontalMed,-0.047746683856369154,399,N
LH_PostCing,-0.109086610334268,399,N
