froi,size,subject,effect
LH_postParietal,0.09370266855440994,249,S
LH_midParietal,0.4337142595171967,249,S
LH_antParietal,0.13919902629960018,249,S
LH_supFrontal,-0.03912028527555202,249,S
LH_Precentral_A_precG,0.5676932727469108,249,S
LH_Precentral_B_IFGop,0.28709120044682024,249,S
LH_midFrontal,0.24864763444013047,249,S
LH_midFrontalOrb,-0.20144470720256608,249,S
LH_insula,-0.0827530381878897,249,S
LH_medialFrontal,0.12738737492842378,249,S
RH_postParietal,-0.16238516675152895,249,S
RH_midParietal,-0.040179252151027044,249,S
RH_antParietal,-0.19120246620011722,249,S
RH_supFrontal,-0.21881232184637425,249,S
RH_Precentral_A_precG,0.07895842204792551,249,S
RH_Precentral_B_IFGop,-0.1423243421968007,249,S
RH_midFrontal,0.03274443730758601,249,S
RH_midFrontalOrb,-0.24758456052698502,249,S
RH_insula,-0.07921783881737696,249,S
RH_medialFrontal,-0.14624953042855207,249,S
LH_postParietal,0.23051215222169325,249,N
LH_midParietal,0.4582078194931887,249,N
LH_antParietal,0.2684419312971942,249,N
LH_supFrontal,-0.002192649798174558,249,N
LH_Precentral_A_precG,0.6706668944265786,249,N
LH_Precentral_B_IFGop,0.42367992606679544,249,N
LH_midFrontal,0.29857488513138647,249,N
LH_midFrontalOrb,0.07847819776329377,249,N
LH_insula,-0.00603513595567522,249,N
LH_medialFrontal,0.20123323812635424,249,N
RH_postParietal,0.008584514929008719,249,N
RH_midParietal,0.1167460241482963,249,N
RH_antParietal,-0.039644754560661806,249,N
RH_supFrontal,-0.05273542611224704,249,N
RH_Precentral_A_precG,0.3014644045016985,249,N
RH_Precentral_B_IFGop,0.19631539950412402,249,N
RH_midFrontal,0.25443430567012504,249,N
RH_midFrontalOrb,0.1100682550573811,249,N
RH_insula,0.08967257106158076,249,N
RH_medialFrontal,0.12762146428130092,249,N
LH_postParietal,0.5363816502618749,252,S
LH_midParietal,0.3308263287481367,252,S
LH_antParietal,0.13695338711281813,252,S
LH_supFrontal,0.4993805012210819,252,S
LH_Precentral_A_precG,0.6697595493125436,252,S
LH_Precentral_B_IFGop,0.8228044014820939,252,S
LH_midFrontal,0.5135340121946318,252,S
LH_midFrontalOrb,0.49779229125566554,252,S
LH_insula,0.2127990587320865,252,S
LH_medialFrontal,0.45746432699578143,252,S
RH_postParietal,0.04725382187605172,252,S
RH_midParietal,0.10649613641076938,252,S
RH_antParietal,-0.03982277435314342,252,S
RH_supFrontal,0.24567386857898182,252,S
RH_Precentral_A_precG,0.23237145870593162,252,S
RH_Precentral_B_IFGop,0.6693910665975197,252,S
RH_midFrontal,0.13328327234817663,252,S
RH_midFrontalOrb,0.0338836523915753,252,S
RH_insula,0.05214476699958684,252,S
RH_medialFrontal,0.012052268433660453,252,S
LH_postParietal,0.6363039168547064,252,N
