froi,size,subject,effect
RH_F2,-0.004388328382052553,249,Sent_Sem
RH_F1,-0.3797196787298065,249,Sent_Sem
RH_TP2,-0.07654698795254361,249,Sent_Sem
RH_TP3,-0.34834497048599394,249,Sent_Sem
RH_TP1,0.24381555167248903,249,Sent_Sem
RH_TP4,-0.0930782644698149,249,Sent_Sem
RH_O1,0.4504699921088939,249,Sent_Sem
LH_Cer,-0.2700895050543374,249,Sent_Sem
RH_O3,0.015097721391504407,249,Sent_Sem
RH_MID3,-0.24035532541479587,249,Sent_Sem
LH_O4,-0.14029195574873654,249,Sent_Sem
RH_F4,-0.15908571977330754,249,Sent_Sem
LH_Cer2,-0.2737439640342708,249,Sent_Sem
RH_F3,-0.2926314878809774,249,Sent_Sem
LH_O2,0.9917800086966599,249,Sent_Sem
RH_F5,-0.0633615404587028,249,Sent_Sem
RH_MID2,-0.37704040164451114,249,Sent_Sem
Flipped_MID1,-0.3768573322715481,249,Sent_Sem
RH_F2,0.06777103305015258,249,Sent_Perc
RH_F1,-0.280354785362684,249,Sent_Perc
RH_TP2,-0.02133898869454276,249,Sent_Perc
RH_TP3,-0.43805148413908646,249,Sent_Perc
RH_TP1,0.22441497289983312,249,Sent_Perc
RH_TP4,-0.015771234965943404,249,Sent_Perc
RH_O1,0.6070385839451715,249,Sent_Perc
LH_Cer,-0.02553097575591866,249,Sent_Perc
RH_O3,0.058531655256760906,249,Sent_Perc
RH_MID3,-0.34520243575985654,249,Sent_Perc
LH_O4,-0.07853322848775032,249,Sent_Perc
RH_F4,-0.017844275748316374,249,Sent_Perc
LH_Cer2,-0.0770991394006565,249,Sent_Perc
RH_F3,-0.26134993242509447,249,Sent_Perc
LH_O2,1.0320113464017413,249,Sent_Perc
RH_F5,0.024289665692366603,249,Sent_Perc
RH_MID2,-0.2722149633475822,249,Sent_Perc
Flipped_MID1,-0.36843539000512016,249,Sent_Perc
RH_F2,0.27520813784750575,249,Pic_Sem
RH_F1,-0.11123192452862812,249,Pic_Sem
RH_TP2,0.12387655430878022,249,Pic_Sem
RH_TP3,-0.19102664160769262,249,Pic_Sem
RH_TP1,0.8298117544900818,249,Pic_Sem
RH_TP4,0.21654655654900287,249,Pic_Sem
RH_O1,0.9336787137429996,249,Pic_Sem
LH_Cer,-0.11779142532987943,249,Pic_Sem
RH_O3,0.072314540918782,249,Pic_Sem
RH_MID3,-0.24525587414027253,249,Pic_Sem
LH_O4,-0.013806438653939768,249,Pic_Sem
RH_F4,0.024708681072138652,249,Pic_Sem
LH_Cer2,-0.0352279718565975,249,Pic_Sem
RH_F3,-0.1506845993525434,249,Pic_Sem
LH_O2,1.3539817430837142,249,Pic_Sem
RH_F5,0.1535551797517853,249,Pic_Sem
RH_MID2,-0.29263307062507027,249,Pic_Sem
Flipped_MID1,-0.4592200173299679,249,Pic_Sem
RH_F2,0.11665215855097029,249,Pic_Perc
RH_F1,-0.35048422650731015,249,Pic_Perc
RH_TP2,-0.033420240660598066,249,Pic_Perc
RH_TP3,-0.3383620020954504,249,Pic_Perc
RH_TP1,0.7587070147587613,249,Pic_Perc
RH_TP4,0.13962578758166166,249,Pic_Perc
RH_O1,0.7544184993497847,249,Pic_Perc
LH_Cer,-0.19448662086559326,249,Pic_Perc
RH_O3,-0.06437287903649695,249,Pic_Perc
RH_MID3,-0.3251838374648893,249,Pic_Perc
LH_O4,-0.10114632449178237,249,Pic_Perc
RH_F4,-0.14329570901494784,249,Pic_Perc
LH_Cer2,-0.23332279952702414,249,Pic_Perc
RH_F3,-0.33121908574125725,249,Pic_Perc
LH_O2,1.3871208176012493,249,Pic_Perc
RH_F5,0.07594362905516817,249,Pic_Perc
RH_MID2,-0.4044184495910681,249,Pic_Perc
Flipped_MID1,-0.4797898167335905,249,Pic_Perc
RH_F2,2.435482052619672,252,Sent_Sem
RH_F1,-0.8914886865660203,252,Sent_Sem
RH_TP2,1.7761010487663869,252,Sent_Sem
RH_TP3,0.9035452622617651,252,Sent_Sem
RH_TP1,1.005966748263062,252,Sent_Sem
RH_TP4,0.9041061160137116,252,Sent_Sem
RH_O1,1.166041752788117,252,Sent_Sem
LH_Cer,0.7612672643183388,252,Sent_Sem
RH_O3,1.1827106813663497,252,Sent_Sem
RH_MID3,-0.5667579308210167,252,Sent_Sem
LH_O4,0.5430553256800341,252,Sent_Sem
RH_F4,0.4225557531320101,252,Sent_Sem
LH_Cer2,-0.28950769193943393,252,Sent_Sem
RH_F3,-2.15552860016537,252,Sent_Sem
LH_O2,1.009510363760887,252,Sent_Sem
RH_F5,-0.6381291530331352,252,Sent_Sem
RH_MID2,-0.23516794146078973,252,Sent_Sem
Flipped_MID1,-0.3623065438179861,252,Sent_Sem
RH_F2,1.8447794034308298,252,Sent_Perc
RH_F1,-0.5333191510826217,252,Sent_Perc
RH_TP2,1.2387685999497828,252,Sent_Perc
RH_TP3,0.4747383157340882,252,Sent_Perc
RH_TP1,0.7670593052561446,252,Sent_Perc
RH_TP4,0.6636457748587666,252,Sent_Perc
RH_O1,0.9070675904366935,252,Sent_Perc
LH_Cer,0.5156568294987522,252,Sent_Perc
RH_O3,0.9491585612278622,252,Sent_Perc
RH_MID3,0.8611281542181932,252,Sent_Perc
LH_O4,0.17786913174795974,252,Sent_Perc
RH_F4,3.3447558409798632,252,Sent_Perc
LH_Cer2,0.5435385245220155,252,Sent_Perc
RH_F3,0.3202848187654247,252,Sent_Perc
LH_O2,1.1594744521937366,252,Sent_Perc
RH_F5,0.18212223964970686,252,Sent_Perc
RH_MID2,0.006317672588538353,252,Sent_Perc
Flipped_MID1,0.1584408280674411,252,Sent_Perc
RH_F2,2.849452292922887,252,Pic_Sem
RH_F1,0.06486040809885552,252,Pic_Sem
RH_TP2,1.4166113016355173,252,Pic_Sem
RH_TP3,1.0588058726041476,252,Pic_Sem
RH_TP1,1.1095285909719657,252,Pic_Sem
RH_TP4,1.0514555996998483,252,Pic_Sem
RH_O1,1.5945492502913687,252,Pic_Sem
LH_Cer,0.7583096629955013,252,Pic_Sem
RH_O3,1.0188279318239157,252,Pic_Sem
RH_MID3,1.5422508166462288,252,Pic_Sem
LH_O4,0.34673306259176695,252,Pic_Sem
RH_F4,4.233020174836623,252,Pic_Sem
LH_Cer2,0.8072853132459848,252,Pic_Sem
RH_F3,1.4617708890575871,252,Pic_Sem
LH_O2,1.9057181213974912,252,Pic_Sem
RH_F5,0.46045633256444846,252,Pic_Sem
RH_MID2,0.35804942050581295,252,Pic_Sem
Flipped_MID1,0.7344804373646838,252,Pic_Sem
RH_F2,2.3565288044861252,252,Pic_Perc
RH_F1,0.4566834558398589,252,Pic_Perc
RH_TP2,1.0400632070589504,252,Pic_Perc
RH_TP3,0.5224183143835389,252,Pic_Perc
RH_TP1,1.116865200674828,252,Pic_Perc
RH_TP4,0.9118160391893622,252,Pic_Perc
RH_O1,1.3363428083367266,252,Pic_Perc
LH_Cer,0.5719071816483196,252,Pic_Perc
RH_O3,1.0302829315600468,252,Pic_Perc
RH_MID3,1.5858265070907525,252,Pic_Perc
LH_O4,0.405159820831949,252,Pic_Perc
RH_F4,4.238482766687955,252,Pic_Perc
LH_Cer2,0.6463252981196617,252,Pic_Perc
RH_F3,1.5383272300909725,252,Pic_Perc
LH_O2,1.6154299400261674,252,Pic_Perc
RH_F5,0.7873221328927343,252,Pic_Perc
RH_MID2,0.40475741886634725,252,Pic_Perc
Flipped_MID1,0.26624596530723876,252,Pic_Perc
RH_F2,0.5579689626155336,291,Sent_Sem
RH_F1,0.34620533221732686,291,Sent_Sem
RH_TP2,0.35187368121948565,291,Sent_Sem
RH_TP3,-0.016332034357025262,291,Sent_Sem
RH_TP1,0.5791471810749604,291,Sent_Sem
RH_TP4,1.1164634899565253,291,Sent_Sem
RH_O1,1.7523163745652663,291,Sent_Sem
LH_Cer,1.3582902394892504,291,Sent_Sem
RH_O3,3.090003519247721,291,Sent_Sem
RH_MID3,0.9977854950795038,291,Sent_Sem
LH_O4,2.0205532380034557,291,Sent_Sem
RH_F4,0.8967116565562927,291,Sent_Sem
LH_Cer2,0.6007231205999575,291,Sent_Sem
RH_F3,0.24974058534694799,291,Sent_Sem
LH_O2,2.806106402961444,291,Sent_Sem
RH_F5,0.20074866024009635,291,Sent_Sem
RH_MID2,0.12119829474719654,291,Sent_Sem
Flipped_MID1,0.1498085365977277,291,Sent_Sem
RH_F2,0.35910225693808817,291,Sent_Perc
RH_F1,0.2169761231905467,291,Sent_Perc
RH_TP2,0.2131021093464673,291,Sent_Perc
RH_TP3,0.2158875356543627,291,Sent_Perc
RH_TP1,0.3904817168787569,291,Sent_Perc
RH_TP4,0.9210452616850029,291,Sent_Perc
RH_O1,1.1325599694159827,291,Sent_Perc
LH_Cer,0.5773226586549278,291,Sent_Perc
RH_O3,0.6444849966835811,291,Sent_Perc
RH_MID3,0.3664778791290564,291,Sent_Perc
LH_O4,0.4580545946496075,291,Sent_Perc
RH_F4,0.388443868238618,291,Sent_Perc
LH_Cer2,0.17982140525296098,291,Sent_Perc
RH_F3,-0.01824430040949432,291,Sent_Perc
LH_O2,1.5833252176739072,291,Sent_Perc
RH_F5,-0.07746295125411645,291,Sent_Perc
RH_MID2,-0.03757147753904412,291,Sent_Perc
Flipped_MID1,0.1485613456320149,291,Sent_Perc
RH_F2,0.7361083970164216,291,Pic_Sem
RH_F1,0.8398662263955776,291,Pic_Sem
RH_TP2,0.3762906700947398,291,Pic_Sem
RH_TP3,0.6112101818505244,291,Pic_Sem
RH_TP1,1.224504650045783,291,Pic_Sem
RH_TP4,1.4864028923068093,291,Pic_Sem
RH_O1,2.326750963374635,291,Pic_Sem
LH_Cer,1.3079757714608875,291,Pic_Sem
RH_O3,3.0406302935171947,291,Pic_Sem
RH_MID3,0.8367890110876111,291,Pic_Sem
LH_O4,1.968729325457423,291,Pic_Sem
RH_F4,0.6549790804290467,291,Pic_Sem
LH_Cer2,0.6170432184897454,291,Pic_Sem
RH_F3,0.41493009316591906,291,Pic_Sem
LH_O2,2.996473166598747,291,Pic_Sem
RH_F5,0.24703756437253854,291,Pic_Sem
RH_MID2,0.2272199344557038,291,Pic_Sem
Flipped_MID1,0.8320792925738034,291,Pic_Sem
RH_F2,0.6383992984837322,291,Pic_Perc
RH_F1,0.5247670493814361,291,Pic_Perc
