froi,size,subject,effect
RH_F2,0.4751140045746369,249,H
RH_F1,-0.05018423414100928,249,H
RH_TP2,0.3491924705656516,249,H
RH_TP3,0.17100388950926942,249,H
RH_TP1,-0.04945072175125867,249,H
RH_TP4,0.5121194427410936,249,H
RH_O1,0.5319089423680576,249,H
LH_Cer,0.1780419038180738,249,H
RH_O3,-0.18079886484775554,249,H
RH_MID3,-0.4873071855306471,249,H
LH_O4,-0.12580099628482844,249,H
RH_F4,0.2500189225274952,249,H
LH_Cer2,0.1968529947402167,249,H
RH_F3,0.11734186910035681,249,H
LH_O2,0.8033565037794781,249,H
RH_F5,0.21271067279337572,249,H
RH_MID2,0.1910541581516609,249,H
Flipped_MID1,-0.5127157297833631,249,H
RH_F2,0.21636945426217033,249,E
RH_F1,-0.007555099287025514,249,E
RH_TP2,0.1930541191846326,249,E
RH_TP3,0.12761018284328063,249,E
RH_TP1,-0.013972184531272563,249,E
RH_TP4,0.32452576323228643,249,E
RH_O1,0.35884734563184467,249,E
LH_Cer,0.07248402734394246,249,E
RH_O3,-0.08879794301788546,249,E
RH_MID3,-0.18615564784913802,249,E
LH_O4,-0.01909510120768112,249,E
RH_F4,0.2135114774384645,249,E
LH_Cer2,0.07599759711708684,249,E
RH_F3,0.06334031455908691,249,E
LH_O2,0.5600469041808693,249,E
RH_F5,0.03883763837440345,249,E
RH_MID2,0.17257038065868743,249,E
Flipped_MID1,-0.2722849839821211,249,E
RH_F2,2.0532805160094756,252,H
RH_F1,0.04377023402568514,252,H
RH_TP2,0.04684495102226644,252,H
RH_TP3,0.13010922006029715,252,H
RH_TP1,0.5789475181401001,252,H
RH_TP4,0.7173671672378541,252,H
RH_O1,0.16640943795608432,252,H
LH_Cer,0.05741207401299787,252,H
RH_O3,0.26392605875516295,252,H
RH_MID3,1.2095168355849302,252,H
LH_O4,0.31660442345224865,252,H
RH_F4,2.0402697932622704,252,H
LH_Cer2,0.1288212920580314,252,H
RH_F3,0.890843632620354,252,H
