froi,size,subject,effect
LH_ATL_InfPole,-0.10563368842223896,040,S
RH_ATL_InfPole,0.062345935343377054,040,S
LH_ATL_InfPole,-0.2061383093451262,040,N
RH_ATL_InfPole,-0.05942634412522567,040,N
LH_ATL_InfPole,0.06761692708292787,059,S
RH_ATL_InfPole,0.13397289818191072,059,S
LH_ATL_InfPole,-0.022248248066343075,059,N
RH_ATL_InfPole,0.07021575871700492,059,N
LH_ATL_InfPole,-0.09314839094276416,056,S
RH_ATL_InfPole,-0.13059147293109985,056,S
LH_ATL_InfPole,-0.12472715156530242,056,N
RH_ATL_InfPole,-0.08343071814451983,056,N
LH_ATL_InfPole,-0.003033502797223062,067,S
RH_ATL_InfPole,0.0027923576202929633,067,S
LH_ATL_InfPole,-0.00348048285947492,067,N
RH_ATL_InfPole,-0.039893680988778574,067,N
LH_ATL_InfPole,-0.05123272094856707,068,S
RH_ATL_InfPole,-0.126333257002524,068,S
LH_ATL_InfPole,-0.05315089960457973,068,N
RH_ATL_InfPole,-0.1389927631224876,068,N
LH_ATL_InfPole,0.5465657816334075,070,S
RH_ATL_InfPole,0.20171117112549963,070,S
LH_ATL_InfPole,0.48252051566688764,070,N
RH_ATL_InfPole,0.2674890372105704,070,N
LH_ATL_InfPole,0.03778882701817889,087,S
RH_ATL_InfPole,-0.017218869558355356,087,S
LH_ATL_InfPole,0.026779345021254,087,N
RH_ATL_InfPole,-0.031472941957978375,087,N
LH_ATL_InfPole,0.0549857245074301,078,S
RH_ATL_InfPole,-0.026291391771903833,078,S
LH_ATL_InfPole,0.023147462087371246,078,N
RH_ATL_InfPole,-0.009551067896531798,078,N
LH_ATL_InfPole,-0.10756866096127464,089,S
RH_ATL_InfPole,-0.21219658240497913,089,S
LH_ATL_InfPole,-0.13260775908220557,089,N
RH_ATL_InfPole,-0.18971733200040838,089,N
LH_ATL_InfPole,-0.1444261905103918,076,S
RH_ATL_InfPole,-0.18047573749693396,076,S
LH_ATL_InfPole,-0.2633561206977855,076,N
RH_ATL_InfPole,-0.22636646470356264,076,N
LH_ATL_InfPole,0.02637656574954232,019,S
RH_ATL_InfPole,-0.005134489933971841,019,S
LH_ATL_InfPole,-0.0050901646729597004,019,N
RH_ATL_InfPole,0.037264703744710886,019,N
LH_ATL_InfPole,0.2945330602707842,057,S
RH_ATL_InfPole,0.45485640250691645,057,S
LH_ATL_InfPole,0.03149955279113171,057,N
RH_ATL_InfPole,0.282733982908636,057,N
