froi,size,subject,effect
LH_F2,0.3860538342502937,199,S
LH_F1,0.18634167704209997,199,S
LH_TP2,0.4096293242511779,199,S
LH_TP3,0.06369256233668207,199,S
LH_TP1,0.6156324606123901,199,S
LH_TP4,0.10031961808773802,199,S
LH_O1,0.7049979173498356,199,S
RH_Cer1,0.13848558343901887,199,S
LH_MID_O3,0.02323724775011783,199,S
LH_MID3,0.002727135196156755,199,S
RH_MID_O4,0.0046366000129879625,199,S
LH_F4,0.17875553881901243,199,S
RH_Cer2,-0.01927945984481761,199,S
LH_F3,-0.10881238271038265,199,S
RH_O2,0.3517777493691483,199,S
LH_F5,-0.028097447650095236,199,S
LH_MID2,0.034001591113384515,199,S
MID1,-0.049688899805245094,199,S
LH_F2,0.2810302844143934,199,N
LH_F1,0.18813238173926852,199,N
LH_TP2,0.16459775757845424,199,N
LH_TP3,-0.05111489533444321,199,N
LH_TP1,0.7255380320375561,199,N
LH_TP4,0.1552866779058918,199,N
LH_O1,0.6933994990308795,199,N
RH_Cer1,0.06509343414960989,199,N
LH_MID_O3,-0.030868538883293762,199,N
LH_MID3,-0.004629983955085345,199,N
RH_MID_O4,-0.04347475895764172,199,N
LH_F4,0.05811114882561082,199,N
RH_Cer2,0.00941823794482125,199,N
LH_F3,-0.024827011681849913,199,N
RH_O2,0.3633062346653044,199,N
LH_F5,0.0738816649700958,199,N
LH_MID2,0.045526514393787236,199,N
MID1,0.004591744592018393,199,N
LH_F2,0.5450442309704252,261,S
LH_F1,-0.05773127410918471,261,S
LH_TP2,0.6912174896594662,261,S
LH_TP3,0.37603292119750786,261,S
LH_TP1,-0.003932833490484388,261,S
LH_TP4,-0.00885388428533942,261,S
LH_O1,0.5727445272373941,261,S
RH_Cer1,0.2960451119093004,261,S
LH_MID_O3,-0.05923868726809482,261,S
LH_MID3,0.1945395101484315,261,S
RH_MID_O4,-0.06715877545715147,261,S
LH_F4,0.5298191748936568,261,S
RH_Cer2,0.1709757710979036,261,S
LH_F3,0.012624671457798544,261,S
RH_O2,0.6847305370385537,261,S
LH_F5,-0.22300968708238578,261,S
LH_MID2,0.10108290011376835,261,S
MID1,0.15241029908842849,261,S
LH_F2,0.9708378755256077,261,N
LH_F1,0.2027118724868628,261,N
LH_TP2,0.14543819656376736,261,N
LH_TP3,-0.1847290460810992,261,N
LH_TP1,0.12847218796134932,261,N
LH_TP4,0.03868110931105549,261,N
LH_O1,0.670078971566174,261,N
RH_Cer1,0.1780199817609293,261,N
LH_MID_O3,-0.17981937108482365,261,N
LH_MID3,0.053083814006327563,261,N
RH_MID_O4,-0.18298932699448886,261,N
LH_F4,-0.3304569740753378,261,N
RH_Cer2,0.03611552566460282,261,N
LH_F3,-0.26803877453525227,261,N
RH_O2,0.820094821126943,261,N
LH_F5,0.03858011231029813,261,N
LH_MID2,-0.06440818294204205,261,N
MID1,0.03488628347121442,261,N
LH_F2,0.32822089155187995,407,S
LH_F1,0.270068889700809,407,S
LH_TP2,0.4318460166688227,407,S
LH_TP3,-0.03891341806274419,407,S
LH_TP1,0.6996869161223134,407,S
LH_TP4,0.039459574317202865,407,S
LH_O1,2.0694314649677366,407,S
RH_Cer1,0.13024170417704029,407,S
LH_MID_O3,-0.14600015824269566,407,S
LH_MID3,0.2916039183310899,407,S
RH_MID_O4,-0.215403823292013,407,S
LH_F4,0.26192059368773557,407,S
RH_Cer2,0.11941832943101674,407,S
LH_F3,0.08568687404408566,407,S
RH_O2,1.7601280292262405,407,S
LH_F5,0.17529758636176979,407,S
LH_MID2,0.2274895241863124,407,S
MID1,0.18790284288326714,407,S
LH_F2,0.3269119631967919,407,N
LH_F1,0.08091217681482823,407,N
LH_TP2,0.135897523199103,407,N
LH_TP3,-0.18407157037276012,407,N
LH_TP1,0.8018279550586215,407,N
LH_TP4,-0.008036288358951756,407,N
LH_O1,2.0986390655651777,407,N
RH_Cer1,0.08959432174731156,407,N
LH_MID_O3,-0.25402731969738324,407,N
LH_MID3,0.297687888753359,407,N
RH_MID_O4,-0.28518896863526255,407,N
LH_F4,0.22781953740165192,407,N
RH_Cer2,0.1420960919834855,407,N
LH_F3,0.1301341544296724,407,N
RH_O2,1.8401635003904704,407,N
LH_F5,0.04572725978373702,407,N
LH_MID2,0.1046492476889053,407,N
MID1,0.07804658014020338,407,N
LH_F2,0.01657357610653338,408,S
LH_F1,0.06975942682987103,408,S
LH_TP2,0.4123425466442698,408,S
LH_TP3,0.026453531932518815,408,S
LH_TP1,0.21274927282463885,408,S
LH_TP4,-0.2451813741508099,408,S
LH_O1,0.9925536270363448,408,S
RH_Cer1,0.19116898099660629,408,S
LH_MID_O3,-0.11437175974936158,408,S
LH_MID3,-0.09794014117348673,408,S
RH_MID_O4,-0.13501452563741456,408,S
LH_F4,0.2715341345742737,408,S
RH_Cer2,0.07754925258886693,408,S
LH_F3,-0.44312463919367406,408,S
RH_O2,0.5612496993869505,408,S
LH_F5,-0.05129367250602237,408,S
LH_MID2,-0.1156431339350375,408,S
MID1,-0.14415252780607296,408,S
LH_F2,-0.18801189472297766,408,N
LH_F1,-0.08227543523625898,408,N
LH_TP2,0.03135945878826179,408,N
LH_TP3,-0.21909821931478538,408,N
LH_TP1,0.2761549929544043,408,N
LH_TP4,-0.23016961532758384,408,N
LH_O1,1.2171340950329717,408,N
RH_Cer1,0.13765445528843773,408,N
LH_MID_O3,-0.027181304612271383,408,N
LH_MID3,-0.12078982540110535,408,N
RH_MID_O4,-0.04478846634952655,408,N
LH_F4,0.11020049145637416,408,N
RH_Cer2,0.10666854973868774,408,N
LH_F3,-0.33758890832330785,408,N
RH_O2,0.7460596420936352,408,N
LH_F5,-0.08000604233732143,408,N
LH_MID2,-0.13603065409986106,408,N
MID1,-0.04398821085749099,408,N
LH_F2,-0.07738473738995852,409,S
LH_F1,-0.055037724981277736,409,S
LH_TP2,0.5408373147209155,409,S
LH_TP3,0.28010508799573436,409,S
LH_TP1,0.2065590949986904,409,S
LH_TP4,0.017267444325083467,409,S
LH_O1,0.7323153306535728,409,S
RH_Cer1,-0.02090547743797422,409,S
LH_MID_O3,-0.06404688161357228,409,S
LH_MID3,-0.07714275269841352,409,S
RH_MID_O4,0.0029094093292052372,409,S
LH_F4,-0.11389098809290779,409,S
RH_Cer2,-8.251411960089691e-06,409,S
LH_F3,0.018451209160775566,409,S
RH_O2,1.2771585998948995,409,S
LH_F5,0.24359054178398956,409,S
LH_MID2,0.0037124548839926716,409,S
MID1,-0.11871537598445644,409,S
LH_F2,0.03978004532163749,409,N
LH_F1,0.07422906777830801,409,N
LH_TP2,0.2752480496540401,409,N
LH_TP3,-0.007828633157220303,409,N
LH_TP1,0.4753947586529362,409,N
LH_TP4,0.040662699280849805,409,N
LH_O1,0.9270355736241049,409,N
RH_Cer1,0.007317555730094676,409,N
LH_MID_O3,0.011878520039219374,409,N
LH_MID3,-0.13197961101518793,409,N
RH_MID_O4,0.04047627949461246,409,N
LH_F4,-0.0667849317627605,409,N
RH_Cer2,-0.015657923744229103,409,N
LH_F3,-0.0006841955602529856,409,N
RH_O2,1.501872473803871,409,N
LH_F5,0.24515740586171375,409,N
LH_MID2,0.11573966282765719,409,N
MID1,0.22735720869530768,409,N
LH_F2,0.08065941722181265,410,S
LH_F1,-0.02931343765251919,410,S
LH_TP2,0.09229468847657597,410,S
LH_TP3,0.3632693423080926,410,S
LH_TP1,0.25361361314246283,410,S
LH_TP4,0.1614330717984291,410,S
LH_O1,2.265794776847329,410,S
RH_Cer1,0.10152746980334035,410,S
LH_MID_O3,-0.11478773355849517,410,S
LH_MID3,0.10155244664625873,410,S
RH_MID_O4,-0.18660141608497563,410,S
LH_F4,0.056709753022721875,410,S
RH_Cer2,0.002088356564516976,410,S
LH_F3,-0.05228505410975007,410,S
RH_O2,1.4700643461292475,410,S
LH_F5,0.016536121179252253,410,S
LH_MID2,0.1235642244714189,410,S
MID1,-0.11996048035197449,410,S
LH_F2,0.020085152597837767,410,N
LH_F1,-0.07011988856441981,410,N
LH_TP2,-0.010683076041188594,410,N
LH_TP3,-0.11352406257497476,410,N
LH_TP1,0.29238893280733314,410,N
LH_TP4,0.13332498006632756,410,N
LH_O1,2.57842034617768,410,N
RH_Cer1,0.05549153533925621,410,N
LH_MID_O3,-0.2473747578494354,410,N
LH_MID3,0.0884704277127803,410,N
RH_MID_O4,-0.2795629382976989,410,N
LH_F4,0.019886532565634104,410,N
RH_Cer2,-0.0688295225216338,410,N
LH_F3,-0.018361322110626382,410,N
RH_O2,1.6027991388325704,410,N
LH_F5,-0.043560584601539484,410,N
LH_MID2,0.05234037853387642,410,N
MID1,-0.11715153537188656,410,N
LH_F2,0.8065553392068687,730,S
LH_F1,0.3540523896586771,730,S
LH_TP2,0.17084890052185936,730,S
LH_TP3,0.023843397100061427,730,S
LH_TP1,0.4328321753156678,730,S
LH_TP4,-0.29025113308987094,730,S
LH_O1,0.2610507228245546,730,S
RH_Cer1,0.08731710836003291,730,S
LH_MID_O3,-0.7296047059639345,730,S
LH_MID3,0.14714270834466125,730,S
RH_MID_O4,-0.7153255711969042,730,S
LH_F4,0.5859492990872043,730,S
RH_Cer2,0.035630137202195565,730,S
LH_F3,0.08901385103975072,730,S
RH_O2,0.39760042118581757,730,S
LH_F5,0.584715000093117,730,S
LH_MID2,0.18271068830484208,730,S
MID1,-0.18464140276779994,730,S
LH_F2,1.003241009377905,730,N
LH_F1,0.7153202938631643,730,N
LH_TP2,-0.03587684568360909,730,N
LH_TP3,0.08774102620015777,730,N
LH_TP1,0.7033283705303847,730,N
LH_TP4,-0.05601045582690453,730,N
LH_O1,0.3661844588690929,730,N
RH_Cer1,0.08206852093773953,730,N
LH_MID_O3,-0.7297829362208212,730,N
LH_MID3,0.6575521268748954,730,N
RH_MID_O4,-0.6815768875216791,730,N
LH_F4,0.3050963118117883,730,N
RH_Cer2,0.0903272134976898,730,N
LH_F3,0.8672167885151326,730,N
RH_O2,0.5409083375406012,730,N
LH_F5,0.47513088891736954,730,N
LH_MID2,0.10059501175383956,730,N
MID1,-0.19610159282728987,730,N
LH_F2,0.27117990354592053,776,S
LH_F1,0.36178381285731215,776,S
LH_TP2,0.3009454561152463,776,S
LH_TP3,0.06369085940219456,776,S
LH_TP1,0.013287836308235485,776,S
LH_TP4,-0.15215451982122769,776,S
LH_O1,1.1455056612585706,776,S
RH_Cer1,0.3217929066731351,776,S
LH_MID_O3,-0.37733730656146125,776,S
LH_MID3,0.04909709093341496,776,S
RH_MID_O4,-0.28415986495151524,776,S
LH_F4,0.3188401632000292,776,S
RH_Cer2,0.040340601468149176,776,S
LH_F3,-0.001675232350285965,776,S
RH_O2,0.9647175532871987,776,S
LH_F5,-0.14373715335630005,776,S
LH_MID2,-0.16929370965067794,776,S
MID1,-0.4035124145633254,776,S
LH_F2,0.03139053093396514,776,N
LH_F1,-0.1238368896628193,776,N
LH_TP2,-0.04200172864315376,776,N
LH_TP3,-0.050269882043436034,776,N
LH_TP1,-0.04368887616174059,776,N
LH_TP4,-0.08439334691850024,776,N
LH_O1,1.0889651057165284,776,N
RH_Cer1,0.2318796047593844,776,N
LH_MID_O3,-0.4416924441000051,776,N
LH_MID3,0.06699874857280956,776,N
RH_MID_O4,-0.35302197699738397,776,N
LH_F4,0.002524702819508364,776,N
RH_Cer2,0.05194484148467788,776,N
LH_F3,0.10102210607830371,776,N
RH_O2,0.8232590684481982,776,N
LH_F5,-0.04439912041213828,776,N
LH_MID2,-0.05078834679841786,776,N
MID1,-0.2730820747440341,776,N
LH_F2,0.7243308834157763,291,S
LH_F1,0.7430062915007204,291,S
LH_TP2,0.4192952057199262,291,S
LH_TP3,0.0876278537493869,291,S
LH_TP1,0.6493671162075676,291,S
LH_TP4,0.23777043969149125,291,S
LH_O1,2.51304753824923,291,S
RH_Cer1,0.3214920852224308,291,S
LH_MID_O3,0.03280046957920211,291,S
LH_MID3,0.2652304227866374,291,S
RH_MID_O4,0.13040407597530626,291,S
LH_F4,0.5626473146886561,291,S
RH_Cer2,0.19965953949268728,291,S
LH_F3,0.7553393787219508,291,S
RH_O2,1.4027528645229468,291,S
LH_F5,0.3665823012211765,291,S
LH_MID2,0.21818077707566813,291,S
MID1,0.2765064191156026,291,S
LH_F2,0.4235828598926888,291,N
