froi,size,subject,effect
LH_IFGorb,1.5398181369020927,199,S
LH_IFG,0.7840524920127755,199,S
LH_MFG,1.132564511826848,199,S
LH_AntTemp,0.41819789184187994,199,S
LH_PostTemp,0.620889032557029,199,S
LH_AngG,0.3478630726173356,199,S
RH_IFGorb,0.18845963393957896,199,S
RH_IFG,0.7609669267680338,199,S
RH_MFG,0.7276485974514157,199,S
RH_AntTemp,0.4397255674548303,199,S
RH_PostTemp,0.3090611302189813,199,S
RH_AngG,0.1330071861256799,199,S
LH_IFGorb,0.17996191809956097,199,N
LH_IFG,0.2330293769698395,199,N
LH_MFG,0.41718763428577377,199,N
LH_AntTemp,0.10846023478841849,199,N
LH_PostTemp,0.13602082899099158,199,N
LH_AngG,0.10551783642832244,199,N
RH_IFGorb,0.04367768119648423,199,N
RH_IFG,0.203858055831887,199,N
RH_MFG,0.3522516805670928,199,N
RH_AntTemp,0.11878591383767215,199,N
RH_PostTemp,0.05152913357989767,199,N
RH_AngG,0.07385979940178092,199,N
LH_IFGorb,0.46826878804406935,261,S
LH_IFG,1.122776920877186,261,S
LH_MFG,2.0165509027017716,261,S
LH_AntTemp,0.6153966169815792,261,S
LH_PostTemp,0.9906161377726014,261,S
LH_AngG,0.6994793643962346,261,S
RH_IFGorb,0.24481052007642543,261,S
RH_IFG,0.37344211578501474,261,S
RH_MFG,0.7973130235399979,261,S
RH_AntTemp,0.3944616854736192,261,S
RH_PostTemp,0.380587827072781,261,S
RH_AngG,0.22988949932564207,261,S
LH_IFGorb,0.11474915237559524,261,N
LH_IFG,0.18925330587317138,261,N
LH_MFG,0.6659033796856216,261,N
LH_AntTemp,0.05424389643356033,261,N
LH_PostTemp,0.17429251538301227,261,N
LH_AngG,0.05570927199773057,261,N
RH_IFGorb,0.014531872579893634,261,N
RH_IFG,0.15650554948026665,261,N
RH_MFG,0.45891047417412323,261,N
RH_AntTemp,-0.03597170862491961,261,N
RH_PostTemp,0.048242630047545705,261,N
RH_AngG,0.23868506544713763,261,N
LH_IFGorb,0.6575389237399241,407,S
LH_IFG,0.5280836557414805,407,S
LH_MFG,0.7385172241662873,407,S
LH_AntTemp,0.5145075951034471,407,S
LH_PostTemp,0.7341395084714788,407,S
LH_AngG,-0.1014259084952977,407,S
RH_IFGorb,0.607427776363471,407,S
RH_IFG,0.8018573125361483,407,S
RH_MFG,0.6616717495825547,407,S
RH_AntTemp,0.3967483537001413,407,S
RH_PostTemp,0.7611658651876265,407,S
RH_AngG,0.04959622247822274,407,S
LH_IFGorb,0.06140800257549471,407,N
LH_IFG,0.17227278717314182,407,N
LH_MFG,0.555172173137711,407,N
LH_AntTemp,0.09137622581255116,407,N
LH_PostTemp,0.29515928534023816,407,N
LH_AngG,-0.13316725377019786,407,N
RH_IFGorb,0.15155113681665722,407,N
RH_IFG,0.15709251909160898,407,N
RH_MFG,0.32221061247080784,407,N
RH_AntTemp,0.028766244220820747,407,N
RH_PostTemp,0.1999702293227803,407,N
RH_AngG,-0.017227113792077944,407,N
LH_IFGorb,0.3185251215261184,408,S
LH_IFG,0.7255029888010669,408,S
LH_MFG,0.7820295495678202,408,S
LH_AntTemp,0.5749501062680055,408,S
LH_PostTemp,0.5996012592532454,408,S
LH_AngG,0.23599846756630852,408,S
RH_IFGorb,0.25596532686771656,408,S
RH_IFG,0.1341682217969532,408,S
RH_MFG,0.3207392217770697,408,S
RH_AntTemp,0.5144868697287681,408,S
RH_PostTemp,0.46739896681896487,408,S
RH_AngG,-0.0552837626731096,408,S
LH_IFGorb,0.19379129441592827,408,N
LH_IFG,0.19723871573335078,408,N
LH_MFG,0.2839930065189664,408,N
LH_AntTemp,0.08302345677633166,408,N
LH_PostTemp,0.1816243195589353,408,N
LH_AngG,-0.09998838285342146,408,N
RH_IFGorb,0.06469573820612932,408,N
RH_IFG,-0.03185959645879696,408,N
RH_MFG,0.10543892750157005,408,N
RH_AntTemp,0.0883719276661721,408,N
RH_PostTemp,0.14498047218829765,408,N
RH_AngG,-0.013807265191619926,408,N
LH_IFGorb,0.1882798105921969,409,S
LH_IFG,0.26922483160960675,409,S
LH_MFG,0.6280564328855406,409,S
LH_AntTemp,0.6018421344111138,409,S
LH_PostTemp,0.41671591813576847,409,S
LH_AngG,0.3672696501006045,409,S
RH_IFGorb,0.060409098842059195,409,S
RH_IFG,0.04097253439358109,409,S
RH_MFG,-0.11459901636909402,409,S
RH_AntTemp,0.34460944161132046,409,S
RH_PostTemp,0.26582171013541683,409,S
RH_AngG,0.2331412029084101,409,S
LH_IFGorb,0.06297404126702226,409,N
LH_IFG,0.09659921761567106,409,N
LH_MFG,0.4675925397398086,409,N
LH_AntTemp,0.13276337341455471,409,N
LH_PostTemp,0.13421333087218293,409,N
LH_AngG,0.19010323782622748,409,N
RH_IFGorb,0.08330000983748558,409,N
RH_IFG,0.011978242920759599,409,N
RH_MFG,-0.05154418509245942,409,N
RH_AntTemp,0.15149963103408684,409,N
RH_PostTemp,0.2272224639989081,409,N
RH_AngG,0.2953811403141994,409,N
LH_IFGorb,0.06552601328187532,410,S
LH_IFG,0.9587668709006676,410,S
LH_MFG,0.6094964429212909,410,S
LH_AntTemp,0.5184468557894215,410,S
LH_PostTemp,0.714630563421053,410,S
LH_AngG,0.5039553846818319,410,S
RH_IFGorb,0.025643728832735673,410,S
RH_IFG,0.19342422314346658,410,S
RH_MFG,0.12596623330615397,410,S
RH_AntTemp,0.39083280547693106,410,S
RH_PostTemp,0.45514936985658866,410,S
RH_AngG,-0.22117451436521207,410,S
LH_IFGorb,-0.12976610953730267,410,N
LH_IFG,0.17202974458517917,410,N
LH_MFG,0.08279671224504426,410,N
LH_AntTemp,0.1398964562395105,410,N
LH_PostTemp,0.1623653104319823,410,N
LH_AngG,0.07450687203320341,410,N
RH_IFGorb,0.04249256498213497,410,N
RH_IFG,0.279854504774332,410,N
RH_MFG,0.23539454795876924,410,N
RH_AntTemp,0.13991893680278555,410,N
RH_PostTemp,0.17030249184768448,410,N
RH_AngG,0.020581495247408172,410,N
LH_IFGorb,0.2951167228060312,730,S
LH_IFG,1.802913891852854,730,S
LH_MFG,2.2585266115261105,730,S
LH_AntTemp,0.7465415506013604,730,S
LH_PostTemp,0.8947859684722574,730,S
LH_AngG,0.12850932616535704,730,S
RH_IFGorb,0.11431379075506633,730,S
RH_IFG,0.7498691025742681,730,S
RH_MFG,0.2614387637695837,730,S
RH_AntTemp,0.5341912943188187,730,S
RH_PostTemp,0.4489621390996754,730,S
RH_AngG,-0.10490096497177318,730,S
LH_IFGorb,0.14925770003648534,730,N
LH_IFG,0.7430555619239773,730,N
LH_MFG,1.6617876311890802,730,N
LH_AntTemp,0.09064524025729662,730,N
LH_PostTemp,0.3516599769861582,730,N
LH_AngG,0.11256867745292004,730,N
RH_IFGorb,0.1481034860015397,730,N
RH_IFG,0.36246196209596376,730,N
RH_MFG,0.26492837784661966,730,N
RH_AntTemp,0.021171985410498584,730,N
RH_PostTemp,0.16176246395144953,730,N
RH_AngG,-0.06267445990618856,730,N
LH_IFGorb,0.937475653174878,776,S
LH_IFG,1.1275861622933898,776,S
LH_MFG,0.5277595890309035,776,S
LH_AntTemp,0.2874506137277424,776,S
LH_PostTemp,0.6680862923570179,776,S
LH_AngG,0.12815339441596285,776,S
RH_IFGorb,0.3936298813002529,776,S
RH_IFG,0.2774429490583967,776,S
RH_MFG,0.2975728465006235,776,S
RH_AntTemp,0.2894227392673418,776,S
RH_PostTemp,0.5193896845791455,776,S
RH_AngG,-0.2237848661978124,776,S
LH_IFGorb,0.16443888094306347,776,N
LH_IFG,0.4131084480093694,776,N
LH_MFG,0.05985180900252873,776,N
LH_AntTemp,-0.18602546065640102,776,N
LH_PostTemp,0.04822071883615769,776,N
LH_AngG,-0.07443232586037962,776,N
RH_IFGorb,-0.014503360222572662,776,N
RH_IFG,0.06763604074015929,776,N
RH_MFG,0.07410630461489494,776,N
RH_AntTemp,-0.1316811356403321,776,N
RH_PostTemp,0.003121401298330391,776,N
RH_AngG,-0.1692224023841975,776,N
LH_IFGorb,0.961461481933167,291,S
LH_IFG,0.6243054716006494,291,S
LH_MFG,0.7651767197795742,291,S
LH_AntTemp,0.2770977176024114,291,S
LH_PostTemp,0.6277691889547748,291,S
LH_AngG,0.31140410850415634,291,S
RH_IFGorb,-0.060055344849388376,291,S
RH_IFG,-0.3182823522846858,291,S
RH_MFG,-0.09861853448482794,291,S
RH_AntTemp,-0.015580491364974053,291,S
RH_PostTemp,0.008240078086461461,291,S
RH_AngG,0.07696384647430107,291,S
LH_IFGorb,-0.09647958064918852,291,N
LH_IFG,0.048097553348453254,291,N
LH_MFG,0.02235248633683838,291,N
LH_AntTemp,-0.21820749031236134,291,N
LH_PostTemp,0.07195531217243392,291,N
LH_AngG,-0.10437058646703015,291,N
RH_IFGorb,-0.30297907467159013,291,N
RH_IFG,-0.3452341323094662,291,N
RH_MFG,-0.09041542468514208,291,N
RH_AntTemp,-0.22151461743938314,291,N
RH_PostTemp,-0.061984070337518044,291,N
RH_AngG,-0.0825596966339592,291,N
LH_IFGorb,0.4535865086018831,400,S
LH_IFG,0.7691064989060711,400,S
LH_MFG,1.2925897424796422,400,S
LH_AntTemp,0.5788123283728516,400,S
LH_PostTemp,0.9922031947916251,400,S
LH_AngG,0.11624387699951869,400,S
RH_IFGorb,0.25751565429139406,400,S
RH_IFG,0.43763732981298453,400,S
RH_MFG,1.1076864461159655,400,S
RH_AntTemp,0.3339554923755871,400,S
RH_PostTemp,0.6638321438923795,400,S
RH_AngG,0.13200352724832837,400,S
LH_IFGorb,-0.11521756642938755,400,N
LH_IFG,0.1475152028592413,400,N
LH_MFG,0.4304797180401564,400,N
LH_AntTemp,-0.1337462505746587,400,N
LH_PostTemp,0.08792127211240902,400,N
LH_AngG,-0.419000279220583,400,N
RH_IFGorb,0.1239848810028998,400,N
RH_IFG,0.23986690989401832,400,N
RH_MFG,0.812951538891448,400,N
RH_AntTemp,-0.17492341223671037,400,N
RH_PostTemp,0.32226984734595093,400,N
RH_AngG,0.055645184669348174,400,N
LH_IFGorb,0.43409578025149076,419,S
LH_IFG,0.49021508489670274,419,S
LH_MFG,0.7326681182336474,419,S
LH_AntTemp,0.4960576078459721,419,S
LH_PostTemp,0.6272242176045559,419,S
LH_AngG,0.030230786582370432,419,S
RH_IFGorb,0.11573096994592272,419,S
RH_IFG,0.018845327449583848,419,S
RH_MFG,-0.03918010752511458,419,S
RH_AntTemp,0.22951368293579688,419,S
RH_PostTemp,0.09592206876137074,419,S
RH_AngG,-0.1977640787320909,419,S
LH_IFGorb,0.08429926737173604,419,N
LH_IFG,0.2838477801269705,419,N
LH_MFG,0.5677146927581375,419,N
LH_AntTemp,0.09512482850759178,419,N
LH_PostTemp,0.31389614369557817,419,N
LH_AngG,-0.1837274169466056,419,N
RH_IFGorb,0.16395303482808715,419,N
RH_IFG,0.049918605563628315,419,N
RH_MFG,-0.005157261256166432,419,N
RH_AntTemp,0.009836551316944102,419,N
RH_PostTemp,0.031392528103280276,419,N
RH_AngG,-0.20487764927105118,419,N
LH_IFGorb,-0.06692890123697608,773,S
LH_IFG,0.2819440401190552,773,S
LH_MFG,0.4048748405594601,773,S
LH_AntTemp,-0.015005047238725158,773,S
LH_PostTemp,0.22270265971789494,773,S
LH_AngG,-0.18373629401829164,773,S
RH_IFGorb,1.0303868382561612,773,S
RH_IFG,0.689242600430092,773,S
RH_MFG,0.6277185516030597,773,S
RH_AntTemp,0.1874574853117251,773,S
RH_PostTemp,0.29090895562960906,773,S
RH_AngG,0.025984370541329238,773,S
LH_IFGorb,-0.3269775535892163,773,N
LH_IFG,-0.01786560398832757,773,N
LH_MFG,0.18964226233393222,773,N
LH_AntTemp,-0.28900436627556675,773,N
LH_PostTemp,-0.2089787090100934,773,N
LH_AngG,-0.9043924408752317,773,N
RH_IFGorb,0.40415167631787646,773,N
RH_IFG,0.13406522996246792,773,N
RH_MFG,0.2691544033737666,773,N
RH_AntTemp,-0.14790568794153697,773,N
RH_PostTemp,-0.05606842214849678,773,N
RH_AngG,-0.33399652550266573,773,N
LH_IFGorb,0.07320880513381998,774,S
