froi,size,subject,effect
LH_FrontalMed,-0.4635213551076783,261,H
LH_PostCing,-0.27627300281819817,261,H
LH_TPJ,-0.7778628763085852,261,H
LH_MidCing,-0.453918906098563,261,H
LH_STGorInsula,-0.4378265633181093,261,H
LH_AntTemp,-0.18164397401367285,261,H
RH_FrontalMed,-0.5136130945361317,261,H
RH_PostCing,-0.26428911036909963,261,H
RH_TPJ,-0.08346744194098951,261,H
RH_MidCing,-0.6676504643696938,261,H
RH_STGorInsula,-0.449674242750029,261,H
RH_AntTemp,-0.16024006326507367,261,H
LH_FrontalMed,-0.05218055915503263,261,E
LH_PostCing,-0.0049073678043187186,261,E
LH_TPJ,-0.2839827654321768,261,E
LH_MidCing,-0.1406836264448914,261,E
LH_STGorInsula,-0.11371440882884896,261,E
LH_AntTemp,0.002486425987461155,261,E
RH_FrontalMed,-0.09935791161272313,261,E
RH_PostCing,0.0012049986674371252,261,E
RH_TPJ,0.13728830326474623,261,E
RH_MidCing,-0.2045329432249455,261,E
RH_STGorInsula,-0.14356152139114456,261,E
RH_AntTemp,0.3727467904023266,261,E
LH_FrontalMed,-0.5195815433488394,407,H
LH_PostCing,-0.25406318975217146,407,H
LH_TPJ,-0.5117521375897275,407,H
LH_MidCing,-0.10077424210529895,407,H
LH_STGorInsula,-0.27362149821740517,407,H
LH_AntTemp,-0.42815827602914835,407,H
RH_FrontalMed,-0.30256404440753615,407,H
RH_PostCing,-0.3728581416469028,407,H
RH_TPJ,-0.43560505354097406,407,H
RH_MidCing,-0.23681651690717845,407,H
RH_STGorInsula,-0.4124056430103049,407,H
RH_AntTemp,-0.2739342237362791,407,H
LH_FrontalMed,-0.5758436245478917,407,E
LH_PostCing,-0.2500916372232881,407,E
LH_TPJ,-0.42948587773737784,407,E
LH_MidCing,-0.0017551824676249606,407,E
LH_STGorInsula,-0.1857665558676349,407,E
LH_AntTemp,-0.4319733537864201,407,E
RH_FrontalMed,-0.3548392205284825,407,E
RH_PostCing,-0.4103223486247022,407,E
RH_TPJ,-0.4575326871466842,407,E
RH_MidCing,-0.1571634183194302,407,E
RH_STGorInsula,-0.33292708891872136,407,E
RH_AntTemp,-0.3087283917796002,407,E
LH_FrontalMed,-0.3734433400500757,408,H
LH_PostCing,-0.3061560247896246,408,H
LH_TPJ,-0.4121762797279491,408,H
LH_MidCing,-0.14301919909837058,408,H
LH_STGorInsula,-0.3006756453292311,408,H
LH_AntTemp,-0.3625301161374477,408,H
RH_FrontalMed,-0.2517905494586731,408,H
