froi,size,subject,effect
LH_F2,0.879559223816029,249,H
LH_F1,0.4762206365723523,249,H
LH_TP2,-0.4073713483016561,249,H
LH_TP3,-0.27924451441571857,249,H
LH_TP1,0.506638348184016,249,H
LH_TP4,-0.22969610344484132,249,H
LH_O1,0.5044547288897879,249,H
RH_Cer1,0.14239715983276807,249,H
LH_MID_O3,-0.20802919959404437,249,H
LH_MID3,-0.2596510918936822,249,H
RH_MID_O4,-0.11277907200540432,249,H
LH_F4,0.3538496391716294,249,H
RH_Cer2,0.3710815713688966,249,H
LH_F3,0.2089582388188336,249,H
RH_O2,0.4617525720064476,249,H
LH_F5,-0.2545271341222577,249,H
LH_MID2,-0.3901083811705234,249,H
MID1_LH,-0.37506105426912206,249,H
MID1_RH,-0.6466640249326696,249,H
LH_F2,0.605418864031689,249,E
LH_F1,0.32458933305454973,249,E
LH_TP2,-0.25887471721157146,249,E
LH_TP3,-0.07927613428914213,249,E
LH_TP1,0.38584671101992085,249,E
LH_TP4,-0.0804159562063428,249,E
LH_O1,0.34737598401015546,249,E
RH_Cer1,0.09152507120268197,249,E
LH_MID_O3,-0.09790734328875143,249,E
LH_MID3,-0.1528632191824811,249,E
RH_MID_O4,-0.03191325828290825,249,E
LH_F4,0.3587170193772694,249,E
RH_Cer2,0.3068548012097195,249,E
LH_F3,0.07121635645358569,249,E
RH_O2,0.3479405436315565,249,E
LH_F5,-0.0656719990485809,249,E
LH_MID2,-0.12678288549297914,249,E
MID1_LH,-0.1851954556069938,249,E
MID1_RH,-0.3211835974864693,249,E
LH_F2,1.036179324916302,252,H
LH_F1,-0.2732279783852308,252,H
LH_TP2,-0.5313679337211298,252,H
LH_TP3,-0.39019725437205083,252,H
LH_TP1,0.21675269066009356,252,H
LH_TP4,0.6885928521924186,252,H
LH_O1,0.696802607947027,252,H
RH_Cer1,0.06648069891843347,252,H
LH_MID_O3,0.22559892516203442,252,H
LH_MID3,0.5416956082162203,252,H
RH_MID_O4,0.5248337053174614,252,H
LH_F4,0.6117550397970221,252,H
RH_Cer2,0.029634049123088643,252,H
LH_F3,0.7449825347684262,252,H
RH_O2,0.1309235086106919,252,H
LH_F5,-0.10393960320163863,252,H
LH_MID2,-0.28419881672075487,252,H
MID1_LH,-0.2356608718173905,252,H
MID1_RH,-0.010051124070315073,252,H
LH_F2,0.35825783991670196,252,E
LH_F1,-0.21999859725738122,252,E
LH_TP2,-0.31672232375684667,252,E
LH_TP3,-0.2614438385155324,252,E
LH_TP1,0.06982759895942456,252,E
LH_TP4,0.1902592300285119,252,E
LH_O1,0.28801116316163666,252,E
RH_Cer1,-0.05080270841579402,252,E
LH_MID_O3,-0.06540847933190466,252,E
