froi,size,subject,effect
LH_FrontalMed,-0.7590470734346912,249,H
LH_PostCing,-0.5053817845546136,249,H
LH_TPJ,-0.3999628012717887,249,H
LH_MidCing,-0.39117794539123085,249,H
LH_STGorInsula,-0.707331042614899,249,H
LH_AntTemp,-0.377459773912127,249,H
RH_FrontalMed,-0.6861854582654757,249,H
RH_PostCing,-0.31956877486556445,249,H
RH_TPJ,-0.353420702972453,249,H
RH_MidCing,-1.0548345919059987,249,H
RH_STGorInsula,-0.42729357034465826,249,H
RH_AntTemp,-0.2787647862456726,249,H
LH_FrontalMed,-0.30769834584010963,249,E
LH_PostCing,-0.1991354275938791,249,E
LH_TPJ,-0.12225390066060271,249,E
LH_MidCing,-0.11947399390143096,249,E
LH_STGorInsula,-0.20785101668169592,249,E
LH_AntTemp,-0.1951833944372774,249,E
RH_FrontalMed,-0.31293693537702827,249,E
RH_PostCing,-0.09644514399754424,249,E
RH_TPJ,-0.16860892959908175,249,E
RH_MidCing,-0.4487212287162771,249,E
RH_STGorInsula,-0.13550361703073033,249,E
RH_AntTemp,-0.07305806113226176,249,E
LH_FrontalMed,-0.07133267411687803,252,H
LH_PostCing,-0.34164489507484774,252,H
LH_TPJ,-1.2547260469170594,252,H
LH_MidCing,-0.2801607798014977,252,H
LH_STGorInsula,-0.31369217877492184,252,H
LH_AntTemp,-0.20653767567070822,252,H
RH_FrontalMed,-0.10452807164489114,252,H
RH_PostCing,-0.18529155590875895,252,H
RH_TPJ,-0.5251667521853646,252,H
RH_MidCing,-0.31282241271575745,252,H
RH_STGorInsula,-0.06109497391131108,252,H
RH_AntTemp,-0.0466028924811878,252,H
LH_FrontalMed,0.07489132428232953,252,E
LH_PostCing,-0.09616672426363557,252,E
LH_TPJ,-0.6608818639490408,252,E
LH_MidCing,-0.1338047868304552,252,E
LH_STGorInsula,-0.16519275234244687,252,E
LH_AntTemp,0.040365634758258995,252,E
RH_FrontalMed,0.04307818053544815,252,E
RH_PostCing,-0.05122867684125127,252,E
RH_TPJ,-0.30245006462421364,252,E
RH_MidCing,-0.13934364025488644,252,E
RH_STGorInsula,-0.11423958188427547,252,E
RH_AntTemp,0.04120793098955827,252,E
LH_FrontalMed,0.35231957318371426,291,H
LH_PostCing,-0.12861887584022574,291,H
LH_TPJ,-0.04559079028881329,291,H
LH_MidCing,0.05906025330759404,291,H
LH_STGorInsula,-0.3114547465126584,291,H
LH_AntTemp,-0.38972755497828837,291,H
RH_FrontalMed,0.27233515387014656,291,H
RH_PostCing,-0.21682392084194618,291,H
RH_TPJ,0.02431096331958952,291,H
RH_MidCing,0.23373054812275965,291,H
RH_STGorInsula,-0.5804498143982694,291,H
RH_AntTemp,-0.07250950494701677,291,H
LH_FrontalMed,0.13928771936692336,291,E
LH_PostCing,-0.11739135452812981,291,E
LH_TPJ,-0.07125830920592462,291,E
LH_MidCing,0.05344992481816592,291,E
LH_STGorInsula,-0.2188678626027673,291,E
LH_AntTemp,-0.40663327607910177,291,E
RH_FrontalMed,0.10565704478953988,291,E
RH_PostCing,-0.16032209833311106,291,E
RH_TPJ,-0.0003169026493925059,291,E
RH_MidCing,0.14806034856194067,291,E
RH_STGorInsula,-0.49873018060967217,291,E
RH_AntTemp,-0.03586858382830806,291,E
LH_FrontalMed,-1.6118254848275684,301,H
LH_PostCing,-0.7158181167422224,301,H
LH_TPJ,-0.43902302355821027,301,H
LH_MidCing,-0.6083990316181054,301,H
LH_STGorInsula,-0.9471981209440228,301,H
LH_AntTemp,-0.698022359414894,301,H
RH_FrontalMed,-1.2315980350786893,301,H
RH_PostCing,-0.6263541660492005,301,H
RH_TPJ,-0.4533753601486577,301,H
RH_MidCing,-0.8085885080671014,301,H
RH_STGorInsula,-1.0550256946191867,301,H
RH_AntTemp,-0.9911558431375933,301,H
LH_FrontalMed,-0.37887693766178115,301,E
LH_PostCing,-0.291514324767655,301,E
LH_TPJ,-0.06039742985680014,301,E
LH_MidCing,0.016829769415367762,301,E
LH_STGorInsula,-0.0374193191372407,301,E
LH_AntTemp,-0.2407546867497859,301,E
RH_FrontalMed,-0.4185160158227307,301,E
RH_PostCing,-0.2353990900260063,301,E
RH_TPJ,-0.26010015668616737,301,E
RH_MidCing,-0.13080181626749832,301,E
RH_STGorInsula,-0.36286525168746336,301,E
RH_AntTemp,-0.4551985527739201,301,E
LH_FrontalMed,-0.6136774533706657,376,H
LH_PostCing,-0.6350651412882076,376,H
LH_TPJ,-1.157845958988776,376,H
LH_MidCing,-0.3063415534076007,376,H
LH_STGorInsula,-0.5747769475844955,376,H
LH_AntTemp,-0.2642713113841145,376,H
RH_FrontalMed,-0.5947332255583029,376,H
RH_PostCing,-0.6947872074159389,376,H
RH_TPJ,-0.9669226193541456,376,H
RH_MidCing,-0.4407277076445276,376,H
RH_STGorInsula,-0.7622587346494074,376,H
RH_AntTemp,-0.22549336556541238,376,H
