ROI,Subject,Effect, LocalizerSize,EffectSize
LH_postParietal,249_FED_20160519a_3T1_PL2017,LD, 395,-0.225637
LH_postParietal,249_FED_20160519a_3T1_PL2017,HD, 395,0.277675
LH_postParietal,376_FED_20160519b_3T1_PL2017,LD, 395,-0.911842
LH_postParietal,376_FED_20160519b_3T1_PL2017,HD, 395,-0.364646
LH_postParietal,399_FED_20160519d_3T1_PL2017,LD, 395,-0.025514
LH_postParietal,399_FED_20160519d_3T1_PL2017,HD, 395,-0.257955
LH_postParietal,400_FED_20160520a_3T1_PL2017,LD, 395,-0.513688
LH_postParietal,400_FED_20160520a_3T1_PL2017,HD, 395,-0.237859
LH_postParietal,401_FED_20160520d_3T1_PL2017,LD, 395,-0.649796
LH_postParietal,401_FED_20160520d_3T1_PL2017,HD, 395,-0.743850
LH_midParietal,249_FED_20160519a_3T1_PL2017,LD, 86,-1.032996
LH_midParietal,249_FED_20160519a_3T1_PL2017,HD, 86,-1.298241
LH_midParietal,376_FED_20160519b_3T1_PL2017,LD, 86,-0.741207
LH_midParietal,376_FED_20160519b_3T1_PL2017,HD, 86,-0.578630
LH_midParietal,399_FED_20160519d_3T1_PL2017,LD, 86,-0.272768
LH_midParietal,399_FED_20160519d_3T1_PL2017,HD, 86,-0.922610
LH_midParietal,400_FED_20160520a_3T1_PL2017,LD, 86,0.171792
LH_midParietal,400_FED_20160520a_3T1_PL2017,HD, 86,0.237477
LH_midParietal,401_FED_20160520d_3T1_PL2017,LD, 86,-0.687133
LH_midParietal,401_FED_20160520d_3T1_PL2017,HD, 86,-1.346978
LH_antParietal,249_FED_20160519a_3T1_PL2017,LD, 201,0.623866
LH_antParietal,249_FED_20160519a_3T1_PL2017,HD, 201,0.861493
LH_antParietal,376_FED_20160519b_3T1_PL2017,LD, 201,0.052020
LH_antParietal,376_FED_20160519b_3T1_PL2017,HD, 201,0.058625
LH_antParietal,399_FED_20160519d_3T1_PL2017,LD, 201,0.612025
LH_antParietal,399_FED_20160519d_3T1_PL2017,HD, 201,0.527582
LH_antParietal,400_FED_20160520a_3T1_PL2017,LD, 201,-0.190859
LH_antParietal,400_FED_20160520a_3T1_PL2017,HD, 201,-0.411822
LH_antParietal,401_FED_20160520d_3T1_PL2017,LD, 201,-0.134220
LH_antParietal,401_FED_20160520d_3T1_PL2017,HD, 201,-0.425027
LH_supFrontal,249_FED_20160519a_3T1_PL2017,LD, 179,0.062043
LH_supFrontal,249_FED_20160519a_3T1_PL2017,HD, 179,0.094682
LH_supFrontal,376_FED_20160519b_3T1_PL2017,LD, 179,-0.054601
LH_supFrontal,376_FED_20160519b_3T1_PL2017,HD, 179,0.070372
LH_supFrontal,399_FED_20160519d_3T1_PL2017,LD, 179,0.015245
LH_supFrontal,399_FED_20160519d_3T1_PL2017,HD, 179,-0.154750
LH_supFrontal,400_FED_20160520a_3T1_PL2017,LD, 179,0.473770
LH_supFrontal,400_FED_20160520a_3T1_PL2017,HD, 179,0.446029
LH_supFrontal,401_FED_20160520d_3T1_PL2017,LD, 179,-0.140219
LH_supFrontal,401_FED_20160520d_3T1_PL2017,HD, 179,-0.490589
LH_Precentral_A_precG,249_FED_20160519a_3T1_PL2017,LD, 118,-0.301454
LH_Precentral_A_precG,249_FED_20160519a_3T1_PL2017,HD, 118,-0.098641
LH_Precentral_A_precG,376_FED_20160519b_3T1_PL2017,LD, 118,0.266204
LH_Precentral_A_precG,376_FED_20160519b_3T1_PL2017,HD, 118,0.384732
LH_Precentral_A_precG,399_FED_20160519d_3T1_PL2017,LD, 118,-0.040534
LH_Precentral_A_precG,399_FED_20160519d_3T1_PL2017,HD, 118,-0.403704
LH_Precentral_A_precG,400_FED_20160520a_3T1_PL2017,LD, 118,0.408168
LH_Precentral_A_precG,400_FED_20160520a_3T1_PL2017,HD, 118,0.339359
LH_Precentral_A_precG,401_FED_20160520d_3T1_PL2017,LD, 118,-0.562736
LH_Precentral_A_precG,401_FED_20160520d_3T1_PL2017,HD, 118,-0.658104
LH_Precentral_B_IFGop,249_FED_20160519a_3T1_PL2017,LD, 63,2.121808
LH_Precentral_B_IFGop,249_FED_20160519a_3T1_PL2017,HD, 63,2.406857
LH_Precentral_B_IFGop,376_FED_20160519b_3T1_PL2017,LD, 63,0.706374
LH_Precentral_B_IFGop,376_FED_20160519b_3T1_PL2017,HD, 63,0.912592
LH_Precentral_B_IFGop,399_FED_20160519d_3T1_PL2017,LD, 63,-0.257750
LH_Precentral_B_IFGop,399_FED_20160519d_3T1_PL2017,HD, 63,-0.289311
LH_Precentral_B_IFGop,400_FED_20160520a_3T1_PL2017,LD, 63,1.483053
LH_Precentral_B_IFGop,400_FED_20160520a_3T1_PL2017,HD, 63,1.644648
LH_Precentral_B_IFGop,401_FED_20160520d_3T1_PL2017,LD, 63,-0.293461
LH_Precentral_B_IFGop,401_FED_20160520d_3T1_PL2017,HD, 63,-0.489184
LH_midFrontal,249_FED_20160519a_3T1_PL2017,LD, 159,-0.146287
LH_midFrontal,249_FED_20160519a_3T1_PL2017,HD, 159,0.146041
LH_midFrontal,376_FED_20160519b_3T1_PL2017,LD, 159,-0.472239
LH_midFrontal,376_FED_20160519b_3T1_PL2017,HD, 159,-0.508221
LH_midFrontal,399_FED_20160519d_3T1_PL2017,LD, 159,0.136938
LH_midFrontal,399_FED_20160519d_3T1_PL2017,HD, 159,-0.102236
LH_midFrontal,400_FED_20160520a_3T1_PL2017,LD, 159,-1.059998
LH_midFrontal,400_FED_20160520a_3T1_PL2017,HD, 159,-1.091238
LH_midFrontal,401_FED_20160520d_3T1_PL2017,LD, 159,-0.244773
LH_midFrontal,401_FED_20160520d_3T1_PL2017,HD, 159,-0.744613
LH_midFrontalOrb,249_FED_20160519a_3T1_PL2017,LD, 162,-1.809692
LH_midFrontalOrb,249_FED_20160519a_3T1_PL2017,HD, 162,-1.684794
LH_midFrontalOrb,376_FED_20160519b_3T1_PL2017,LD, 162,-0.481086
LH_midFrontalOrb,376_FED_20160519b_3T1_PL2017,HD, 162,-0.224349
LH_midFrontalOrb,399_FED_20160519d_3T1_PL2017,LD, 162,-0.261846
LH_midFrontalOrb,399_FED_20160519d_3T1_PL2017,HD, 162,-0.509630
LH_midFrontalOrb,400_FED_20160520a_3T1_PL2017,LD, 162,1.005974
LH_midFrontalOrb,400_FED_20160520a_3T1_PL2017,HD, 162,1.190732
LH_midFrontalOrb,401_FED_20160520d_3T1_PL2017,LD, 162,-0.498883
LH_midFrontalOrb,401_FED_20160520d_3T1_PL2017,HD, 162,-1.256282
LH_insula,249_FED_20160519a_3T1_PL2017,LD, 64,-0.221659
LH_insula,249_FED_20160519a_3T1_PL2017,HD, 64,0.234316
LH_insula,376_FED_20160519b_3T1_PL2017,LD, 64,0.413172
LH_insula,376_FED_20160519b_3T1_PL2017,HD, 64,0.464311
LH_insula,399_FED_20160519d_3T1_PL2017,LD, 64,0.056299
LH_insula,399_FED_20160519d_3T1_PL2017,HD, 64,-0.119333
LH_insula,400_FED_20160520a_3T1_PL2017,LD, 64,0.493506
LH_insula,400_FED_20160520a_3T1_PL2017,HD, 64,0.450840
LH_insula,401_FED_20160520d_3T1_PL2017,LD, 64,-0.030513
LH_insula,401_FED_20160520d_3T1_PL2017,HD, 64,-0.362541
LH_medialFrontal,249_FED_20160519a_3T1_PL2017,LD, 111,0.173887
LH_medialFrontal,249_FED_20160519a_3T1_PL2017,HD, 111,0.300873
LH_medialFrontal,376_FED_20160519b_3T1_PL2017,LD, 111,-0.118678
LH_medialFrontal,376_FED_20160519b_3T1_PL2017,HD, 111,-0.075219
LH_medialFrontal,399_FED_20160519d_3T1_PL2017,LD, 111,0.343730
LH_medialFrontal,399_FED_20160519d_3T1_PL2017,HD, 111,0.160645
LH_medialFrontal,400_FED_20160520a_3T1_PL2017,LD, 111,-0.071862
LH_medialFrontal,400_FED_20160520a_3T1_PL2017,HD, 111,0.063942
LH_medialFrontal,401_FED_20160520d_3T1_PL2017,LD, 111,-0.103709
LH_medialFrontal,401_FED_20160520d_3T1_PL2017,HD, 111,-0.405851
RH_postParietal,249_FED_20160519a_3T1_PL2017,LD, 395,0.856826
RH_postParietal,249_FED_20160519a_3T1_PL2017,HD, 395,1.421864
RH_postParietal,376_FED_20160519b_3T1_PL2017,LD, 395,-0.395954
RH_postParietal,376_FED_20160519b_3T1_PL2017,HD, 395,-0.188794
RH_postParietal,399_FED_20160519d_3T1_PL2017,LD, 395,-0.096950
RH_postParietal,399_FED_20160519d_3T1_PL2017,HD, 395,-0.133176
RH_postParietal,400_FED_20160520a_3T1_PL2017,LD, 395,-0.435619
RH_postParietal,400_FED_20160520a_3T1_PL2017,HD, 395,-0.493183
RH_postParietal,401_FED_20160520d_3T1_PL2017,LD, 395,-0.400125
RH_postParietal,401_FED_20160520d_3T1_PL2017,HD, 395,-0.619231
RH_midParietal,249_FED_20160519a_3T1_PL2017,LD, 86,0.071698
RH_midParietal,249_FED_20160519a_3T1_PL2017,HD, 86,0.196986
RH_midParietal,376_FED_20160519b_3T1_PL2017,LD, 86,-0.632947
RH_midParietal,376_FED_20160519b_3T1_PL2017,HD, 86,-0.550909
RH_midParietal,399_FED_20160519d_3T1_PL2017,LD, 86,-0.405871
RH_midParietal,399_FED_20160519d_3T1_PL2017,HD, 86,-0.664165
RH_midParietal,400_FED_20160520a_3T1_PL2017,LD, 86,0.212184
RH_midParietal,400_FED_20160520a_3T1_PL2017,HD, 86,0.107582
RH_midParietal,401_FED_20160520d_3T1_PL2017,LD, 86,-0.066967
RH_midParietal,401_FED_20160520d_3T1_PL2017,HD, 86,-0.397474
RH_antParietal,249_FED_20160519a_3T1_PL2017,LD, 201,-0.445923
RH_antParietal,249_FED_20160519a_3T1_PL2017,HD, 201,-0.565711
RH_antParietal,376_FED_20160519b_3T1_PL2017,LD, 201,0.087293
RH_antParietal,376_FED_20160519b_3T1_PL2017,HD, 201,0.115098
RH_antParietal,399_FED_20160519d_3T1_PL2017,LD, 201,-0.189664
RH_antParietal,399_FED_20160519d_3T1_PL2017,HD, 201,-0.234406
RH_antParietal,400_FED_20160520a_3T1_PL2017,LD, 201,-0.595569
RH_antParietal,400_FED_20160520a_3T1_PL2017,HD, 201,-0.759294
RH_antParietal,401_FED_20160520d_3T1_PL2017,LD, 201,-0.689144
RH_antParietal,401_FED_20160520d_3T1_PL2017,HD, 201,-1.174927
RH_supFrontal,249_FED_20160519a_3T1_PL2017,LD, 179,-0.471153
RH_supFrontal,249_FED_20160519a_3T1_PL2017,HD, 179,-0.478711
RH_supFrontal,376_FED_20160519b_3T1_PL2017,LD, 179,-0.177908
RH_supFrontal,376_FED_20160519b_3T1_PL2017,HD, 179,-0.091595
RH_supFrontal,399_FED_20160519d_3T1_PL2017,LD, 179,0.178578
RH_supFrontal,399_FED_20160519d_3T1_PL2017,HD, 179,-0.145873
RH_supFrontal,400_FED_20160520a_3T1_PL2017,LD, 179,-0.051088
RH_supFrontal,400_FED_20160520a_3T1_PL2017,HD, 179,-0.097292
RH_supFrontal,401_FED_20160520d_3T1_PL2017,LD, 179,-0.066516
RH_supFrontal,401_FED_20160520d_3T1_PL2017,HD, 179,-0.369698
RH_Precentral_A_precG,249_FED_20160519a_3T1_PL2017,LD, 95,0.205703
RH_Precentral_A_precG,249_FED_20160519a_3T1_PL2017,HD, 95,0.297876
RH_Precentral_A_precG,376_FED_20160519b_3T1_PL2017,LD, 95,-0.134211
RH_Precentral_A_precG,376_FED_20160519b_3T1_PL2017,HD, 95,0.114790
RH_Precentral_A_precG,399_FED_20160519d_3T1_PL2017,LD, 95,0.351203
RH_Precentral_A_precG,399_FED_20160519d_3T1_PL2017,HD, 95,0.047207
RH_Precentral_A_precG,400_FED_20160520a_3T1_PL2017,LD, 95,0.452461
RH_Precentral_A_precG,400_FED_20160520a_3T1_PL2017,HD, 95,0.431493
RH_Precentral_A_precG,401_FED_20160520d_3T1_PL2017,LD, 95,-0.251999
RH_Precentral_A_precG,401_FED_20160520d_3T1_PL2017,HD, 95,-0.753391
RH_Precentral_B_IFGop,249_FED_20160519a_3T1_PL2017,LD, 85,0.016299
RH_Precentral_B_IFGop,249_FED_20160519a_3T1_PL2017,HD, 85,-0.285220
RH_Precentral_B_IFGop,376_FED_20160519b_3T1_PL2017,LD, 85,0.037982
RH_Precentral_B_IFGop,376_FED_20160519b_3T1_PL2017,HD, 85,0.500458
RH_Precentral_B_IFGop,399_FED_20160519d_3T1_PL2017,LD, 85,-0.197487
RH_Precentral_B_IFGop,399_FED_20160519d_3T1_PL2017,HD, 85,-0.140695
RH_Precentral_B_IFGop,400_FED_20160520a_3T1_PL2017,LD, 85,0.253603
RH_Precentral_B_IFGop,400_FED_20160520a_3T1_PL2017,HD, 85,0.298914
RH_Precentral_B_IFGop,401_FED_20160520d_3T1_PL2017,LD, 85,-0.647365
RH_Precentral_B_IFGop,401_FED_20160520d_3T1_PL2017,HD, 85,-1.101956
RH_midFrontal,249_FED_20160519a_3T1_PL2017,LD, 159,-0.886628
RH_midFrontal,249_FED_20160519a_3T1_PL2017,HD, 159,-0.734946
RH_midFrontal,376_FED_20160519b_3T1_PL2017,LD, 159,-0.571044
RH_midFrontal,376_FED_20160519b_3T1_PL2017,HD, 159,-0.372859
RH_midFrontal,399_FED_20160519d_3T1_PL2017,LD, 159,-0.096481
RH_midFrontal,399_FED_20160519d_3T1_PL2017,HD, 159,-0.245154
RH_midFrontal,400_FED_20160520a_3T1_PL2017,LD, 159,0.462760
RH_midFrontal,400_FED_20160520a_3T1_PL2017,HD, 159,0.337679
RH_midFrontal,401_FED_20160520d_3T1_PL2017,LD, 159,-0.559331
RH_midFrontal,401_FED_20160520d_3T1_PL2017,HD, 159,-0.916259
RH_midFrontalOrb,249_FED_20160519a_3T1_PL2017,LD, 162,-1.045114
RH_midFrontalOrb,249_FED_20160519a_3T1_PL2017,HD, 162,-1.024453
RH_midFrontalOrb,376_FED_20160519b_3T1_PL2017,LD, 162,-0.349004
RH_midFrontalOrb,376_FED_20160519b_3T1_PL2017,HD, 162,-0.020647
RH_midFrontalOrb,399_FED_20160519d_3T1_PL2017,LD, 162,-0.210859
RH_midFrontalOrb,399_FED_20160519d_3T1_PL2017,HD, 162,-0.608048
RH_midFrontalOrb,400_FED_20160520a_3T1_PL2017,LD, 162,0.240927
RH_midFrontalOrb,400_FED_20160520a_3T1_PL2017,HD, 162,0.082284
RH_midFrontalOrb,401_FED_20160520d_3T1_PL2017,LD, 162,-0.549016
RH_midFrontalOrb,401_FED_20160520d_3T1_PL2017,HD, 162,-0.804839
RH_insula,249_FED_20160519a_3T1_PL2017,LD, 64,-0.094031
RH_insula,249_FED_20160519a_3T1_PL2017,HD, 64,0.010162
RH_insula,376_FED_20160519b_3T1_PL2017,LD, 64,-0.113737
RH_insula,376_FED_20160519b_3T1_PL2017,HD, 64,-0.035257
RH_insula,399_FED_20160519d_3T1_PL2017,LD, 64,0.142140
RH_insula,399_FED_20160519d_3T1_PL2017,HD, 64,0.236104
RH_insula,400_FED_20160520a_3T1_PL2017,LD, 64,0.617695
RH_insula,400_FED_20160520a_3T1_PL2017,HD, 64,0.690964
