ROI,Subject,Effect, LocalizerSize,EffectSize
LH_postParietal,408_FED_20160711a2_3T1_PL2017,SEM, 395,0.452176
LH_postParietal,408_FED_20160711a2_3T1_PL2017,PERC, 395,-0.077481
LH_postParietal,409_FED_20160622a_3T1_PL2017,SEM, 395,-0.959773
LH_postParietal,409_FED_20160622a_3T1_PL2017,PERC, 395,-0.675735
LH_postParietal,410_FED_20160623b_3T2_PL2017,SEM, 395,-0.669491
LH_postParietal,410_FED_20160623b_3T2_PL2017,PERC, 395,-0.753645
LH_postParietal,249_FED_20160519a_3T1_PL2017,SEM, 395,0.197156
LH_postParietal,249_FED_20160519a_3T1_PL2017,PERC, 395,-0.296924
LH_postParietal,252_FED_20160907b_3T2_PL2017,SEM, 395,0.228540
LH_postParietal,252_FED_20160907b_3T2_PL2017,PERC, 395,0.393517
LH_postParietal,376_FED_20160519b_3T1_PL2017,SEM, 395,-0.471819
LH_postParietal,376_FED_20160519b_3T1_PL2017,PERC, 395,-1.082945
LH_postParietal,399_FED_20160519d_3T1_PL2017,SEM, 395,-0.286878
LH_postParietal,399_FED_20160519d_3T1_PL2017,PERC, 395,0.222042
LH_postParietal,400_FED_20160520a_3T1_PL2017,SEM, 395,-0.319741
LH_postParietal,400_FED_20160520a_3T1_PL2017,PERC, 395,-0.603136
LH_postParietal,401_FED_20160520d_3T1_PL2017,SEM, 395,-0.698839
LH_postParietal,401_FED_20160520d_3T1_PL2017,PERC, 395,-0.566112
LH_midParietal,408_FED_20160711a2_3T1_PL2017,SEM, 86,0.754004
LH_midParietal,408_FED_20160711a2_3T1_PL2017,PERC, 86,0.121270
LH_midParietal,409_FED_20160622a_3T1_PL2017,SEM, 86,-0.280697
LH_midParietal,409_FED_20160622a_3T1_PL2017,PERC, 86,0.027431
LH_midParietal,410_FED_20160623b_3T2_PL2017,SEM, 86,0.399715
LH_midParietal,410_FED_20160623b_3T2_PL2017,PERC, 86,0.414227
LH_midParietal,249_FED_20160519a_3T1_PL2017,SEM, 86,-1.408896
LH_midParietal,249_FED_20160519a_3T1_PL2017,PERC, 86,-0.859248
LH_midParietal,252_FED_20160907b_3T2_PL2017,SEM, 86,-0.125083
LH_midParietal,252_FED_20160907b_3T2_PL2017,PERC, 86,0.154332
LH_midParietal,376_FED_20160519b_3T1_PL2017,SEM, 86,-0.569037
LH_midParietal,376_FED_20160519b_3T1_PL2017,PERC, 86,-0.747213
LH_midParietal,399_FED_20160519d_3T1_PL2017,SEM, 86,-0.996972
LH_midParietal,399_FED_20160519d_3T1_PL2017,PERC, 86,0.107839
LH_midParietal,400_FED_20160520a_3T1_PL2017,SEM, 86,0.137732
LH_midParietal,400_FED_20160520a_3T1_PL2017,PERC, 86,0.234736
LH_midParietal,401_FED_20160520d_3T1_PL2017,SEM, 86,-1.225319
LH_midParietal,401_FED_20160520d_3T1_PL2017,PERC, 86,0.080067
LH_antParietal,408_FED_20160711a2_3T1_PL2017,SEM, 201,0.470635
LH_antParietal,408_FED_20160711a2_3T1_PL2017,PERC, 201,0.313363
LH_antParietal,409_FED_20160622a_3T1_PL2017,SEM, 201,-0.803797
LH_antParietal,409_FED_20160622a_3T1_PL2017,PERC, 201,-0.703169
LH_antParietal,410_FED_20160623b_3T2_PL2017,SEM, 201,0.127284
LH_antParietal,410_FED_20160623b_3T2_PL2017,PERC, 201,0.045794
LH_antParietal,249_FED_20160519a_3T1_PL2017,SEM, 201,0.798122
LH_antParietal,249_FED_20160519a_3T1_PL2017,PERC, 201,0.611658
LH_antParietal,252_FED_20160907b_3T2_PL2017,SEM, 201,0.133377
LH_antParietal,252_FED_20160907b_3T2_PL2017,PERC, 201,0.186331
LH_antParietal,376_FED_20160519b_3T1_PL2017,SEM, 201,0.096908
LH_antParietal,376_FED_20160519b_3T1_PL2017,PERC, 201,0.043085
LH_antParietal,399_FED_20160519d_3T1_PL2017,SEM, 201,0.512053
LH_antParietal,399_FED_20160519d_3T1_PL2017,PERC, 201,0.731607
LH_antParietal,400_FED_20160520a_3T1_PL2017,SEM, 201,-0.327060
LH_antParietal,400_FED_20160520a_3T1_PL2017,PERC, 201,-0.182556
LH_antParietal,401_FED_20160520d_3T1_PL2017,SEM, 201,-0.323767
LH_antParietal,401_FED_20160520d_3T1_PL2017,PERC, 201,0.106835
LH_supFrontal,408_FED_20160711a2_3T1_PL2017,SEM, 179,0.943889
LH_supFrontal,408_FED_20160711a2_3T1_PL2017,PERC, 179,-0.114704
LH_supFrontal,409_FED_20160622a_3T1_PL2017,SEM, 179,-0.453588
LH_supFrontal,409_FED_20160622a_3T1_PL2017,PERC, 179,-0.635165
LH_supFrontal,410_FED_20160623b_3T2_PL2017,SEM, 179,0.066858
LH_supFrontal,410_FED_20160623b_3T2_PL2017,PERC, 179,0.101255
LH_supFrontal,249_FED_20160519a_3T1_PL2017,SEM, 179,0.056585
LH_supFrontal,249_FED_20160519a_3T1_PL2017,PERC, 179,0.106305
LH_supFrontal,252_FED_20160907b_3T2_PL2017,SEM, 179,0.797506
LH_supFrontal,252_FED_20160907b_3T2_PL2017,PERC, 179,0.901163
LH_supFrontal,376_FED_20160519b_3T1_PL2017,SEM, 179,0.099129
LH_supFrontal,376_FED_20160519b_3T1_PL2017,PERC, 179,-0.093869
LH_supFrontal,399_FED_20160519d_3T1_PL2017,SEM, 179,-0.269515
LH_supFrontal,399_FED_20160519d_3T1_PL2017,PERC, 179,0.393341
LH_supFrontal,400_FED_20160520a_3T1_PL2017,SEM, 179,0.459153
LH_supFrontal,400_FED_20160520a_3T1_PL2017,PERC, 179,0.403399
LH_supFrontal,401_FED_20160520d_3T1_PL2017,SEM, 179,-0.301710
LH_supFrontal,401_FED_20160520d_3T1_PL2017,PERC, 179,-0.027521
LH_Precentral_A_precG,408_FED_20160711a2_3T1_PL2017,SEM, 118,0.614932
LH_Precentral_A_precG,408_FED_20160711a2_3T1_PL2017,PERC, 118,0.719079
LH_Precentral_A_precG,409_FED_20160622a_3T1_PL2017,SEM, 118,-0.470553
LH_Precentral_A_precG,409_FED_20160622a_3T1_PL2017,PERC, 118,-0.213654
LH_Precentral_A_precG,410_FED_20160623b_3T2_PL2017,SEM, 118,0.308144
LH_Precentral_A_precG,410_FED_20160623b_3T2_PL2017,PERC, 118,0.602170
