ROI,Subject,Effect, LocalizerSize,EffectSize
LH_postParietal,408_FED_20160711a2_3T1_PL2017,LD, 395,0.119839
LH_postParietal,408_FED_20160711a2_3T1_PL2017,HD, 395,0.376271
LH_postParietal,409_FED_20160622a_3T1_PL2017,LD, 395,-0.713285
LH_postParietal,409_FED_20160622a_3T1_PL2017,HD, 395,-0.989480
LH_postParietal,410_FED_20160623b_3T2_PL2017,LD, 395,-0.629686
LH_postParietal,410_FED_20160623b_3T2_PL2017,HD, 395,-0.811117
LH_postParietal,252_FED_20160907b_3T2_PL2017,LD, 395,0.378562
LH_postParietal,252_FED_20160907b_3T2_PL2017,HD, 395,0.221017
LH_midParietal,408_FED_20160711a2_3T1_PL2017,LD, 86,0.314879
LH_midParietal,408_FED_20160711a2_3T1_PL2017,HD, 86,0.742725
LH_midParietal,409_FED_20160622a_3T1_PL2017,LD, 86,-0.071317
LH_midParietal,409_FED_20160622a_3T1_PL2017,HD, 86,-0.321059
LH_midParietal,410_FED_20160623b_3T2_PL2017,LD, 86,0.670745
LH_midParietal,410_FED_20160623b_3T2_PL2017,HD, 86,0.122174
LH_midParietal,252_FED_20160907b_3T2_PL2017,LD, 86,0.069126
LH_midParietal,252_FED_20160907b_3T2_PL2017,HD, 86,-0.105277
LH_antParietal,408_FED_20160711a2_3T1_PL2017,LD, 201,0.542197
LH_antParietal,408_FED_20160711a2_3T1_PL2017,HD, 201,0.338162
LH_antParietal,409_FED_20160622a_3T1_PL2017,LD, 201,-0.787122
LH_antParietal,409_FED_20160622a_3T1_PL2017,HD, 201,-0.860784
LH_antParietal,410_FED_20160623b_3T2_PL2017,LD, 201,0.149179
LH_antParietal,410_FED_20160623b_3T2_PL2017,HD, 201,0.032224
LH_antParietal,252_FED_20160907b_3T2_PL2017,LD, 201,0.221420
LH_antParietal,252_FED_20160907b_3T2_PL2017,HD, 201,0.067282
LH_supFrontal,408_FED_20160711a2_3T1_PL2017,LD, 179,0.350582
LH_supFrontal,408_FED_20160711a2_3T1_PL2017,HD, 179,0.717307
LH_supFrontal,409_FED_20160622a_3T1_PL2017,LD, 179,-0.614934
LH_supFrontal,409_FED_20160622a_3T1_PL2017,HD, 179,-0.458750
LH_supFrontal,410_FED_20160623b_3T2_PL2017,LD, 179,0.099182
LH_supFrontal,410_FED_20160623b_3T2_PL2017,HD, 179,0.117025
LH_supFrontal,252_FED_20160907b_3T2_PL2017,LD, 179,0.977328
LH_supFrontal,252_FED_20160907b_3T2_PL2017,HD, 179,0.624316
LH_Precentral_A_precG,408_FED_20160711a2_3T1_PL2017,LD, 118,0.749527
LH_Precentral_A_precG,408_FED_20160711a2_3T1_PL2017,HD, 118,0.519004
LH_Precentral_A_precG,409_FED_20160622a_3T1_PL2017,LD, 118,-0.311967
LH_Precentral_A_precG,409_FED_20160622a_3T1_PL2017,HD, 118,-0.469668
LH_Precentral_A_precG,410_FED_20160623b_3T2_PL2017,LD, 118,0.547892
LH_Precentral_A_precG,410_FED_20160623b_3T2_PL2017,HD, 118,0.395338
LH_Precentral_A_precG,252_FED_20160907b_3T2_PL2017,LD, 118,0.214297
LH_Precentral_A_precG,252_FED_20160907b_3T2_PL2017,HD, 118,-0.145190
LH_Precentral_B_IFGop,408_FED_20160711a2_3T1_PL2017,LD, 63,1.182250
LH_Precentral_B_IFGop,408_FED_20160711a2_3T1_PL2017,HD, 63,0.874096
LH_Precentral_B_IFGop,409_FED_20160622a_3T1_PL2017,LD, 63,0.271533
LH_Precentral_B_IFGop,409_FED_20160622a_3T1_PL2017,HD, 63,0.168469
LH_Precentral_B_IFGop,410_FED_20160623b_3T2_PL2017,LD, 63,0.613925
LH_Precentral_B_IFGop,410_FED_20160623b_3T2_PL2017,HD, 63,0.609144
LH_Precentral_B_IFGop,252_FED_20160907b_3T2_PL2017,LD, 63,1.536248
LH_Precentral_B_IFGop,252_FED_20160907b_3T2_PL2017,HD, 63,0.996506
LH_midFrontal,408_FED_20160711a2_3T1_PL2017,LD, 159,1.167328
LH_midFrontal,408_FED_20160711a2_3T1_PL2017,HD, 159,0.919416
LH_midFrontal,409_FED_20160622a_3T1_PL2017,LD, 159,-0.082954
LH_midFrontal,409_FED_20160622a_3T1_PL2017,HD, 159,-0.372173
LH_midFrontal,410_FED_20160623b_3T2_PL2017,LD, 159,0.550327
LH_midFrontal,410_FED_20160623b_3T2_PL2017,HD, 159,0.344950
LH_midFrontal,252_FED_20160907b_3T2_PL2017,LD, 159,0.590653
LH_midFrontal,252_FED_20160907b_3T2_PL2017,HD, 159,0.309361
LH_midFrontalOrb,408_FED_20160711a2_3T1_PL2017,LD, 162,1.013603
LH_midFrontalOrb,408_FED_20160711a2_3T1_PL2017,HD, 162,0.546205
LH_midFrontalOrb,409_FED_20160622a_3T1_PL2017,LD, 162,-0.514403
LH_midFrontalOrb,409_FED_20160622a_3T1_PL2017,HD, 162,-0.528193
LH_midFrontalOrb,410_FED_20160623b_3T2_PL2017,LD, 162,-0.444942
LH_midFrontalOrb,410_FED_20160623b_3T2_PL2017,HD, 162,-0.249386
LH_midFrontalOrb,252_FED_20160907b_3T2_PL2017,LD, 162,0.125678
LH_midFrontalOrb,252_FED_20160907b_3T2_PL2017,HD, 162,-1.212571
LH_insula,408_FED_20160711a2_3T1_PL2017,LD, 64,0.337527
LH_insula,408_FED_20160711a2_3T1_PL2017,HD, 64,0.101961
LH_insula,409_FED_20160622a_3T1_PL2017,LD, 64,-0.017250
LH_insula,409_FED_20160622a_3T1_PL2017,HD, 64,-0.005523
LH_insula,410_FED_20160623b_3T2_PL2017,LD, 64,0.161419
LH_insula,410_FED_20160623b_3T2_PL2017,HD, 64,0.438142
LH_insula,252_FED_20160907b_3T2_PL2017,LD, 64,0.486936
LH_insula,252_FED_20160907b_3T2_PL2017,HD, 64,0.334559
LH_medialFrontal,408_FED_20160711a2_3T1_PL2017,LD, 111,0.293041
LH_medialFrontal,408_FED_20160711a2_3T1_PL2017,HD, 111,0.365525
LH_medialFrontal,409_FED_20160622a_3T1_PL2017,LD, 111,0.074078
LH_medialFrontal,409_FED_20160622a_3T1_PL2017,HD, 111,0.029435
LH_medialFrontal,410_FED_20160623b_3T2_PL2017,LD, 111,0.068071
LH_medialFrontal,410_FED_20160623b_3T2_PL2017,HD, 111,0.116144
LH_medialFrontal,252_FED_20160907b_3T2_PL2017,LD, 111,0.078652
LH_medialFrontal,252_FED_20160907b_3T2_PL2017,HD, 111,-0.139153
RH_postParietal,408_FED_20160711a2_3T1_PL2017,LD, 395,0.437871
RH_postParietal,408_FED_20160711a2_3T1_PL2017,HD, 395,0.714061
RH_postParietal,409_FED_20160622a_3T1_PL2017,LD, 395,-1.222639
RH_postParietal,409_FED_20160622a_3T1_PL2017,HD, 395,-1.422037
RH_postParietal,410_FED_20160623b_3T2_PL2017,LD, 395,-0.798357
RH_postParietal,410_FED_20160623b_3T2_PL2017,HD, 395,-0.901423
RH_postParietal,252_FED_20160907b_3T2_PL2017,LD, 395,-0.036163
RH_postParietal,252_FED_20160907b_3T2_PL2017,HD, 395,-0.153185
RH_midParietal,408_FED_20160711a2_3T1_PL2017,LD, 86,0.474840
RH_midParietal,408_FED_20160711a2_3T1_PL2017,HD, 86,0.586379
RH_midParietal,409_FED_20160622a_3T1_PL2017,LD, 86,-0.301701
RH_midParietal,409_FED_20160622a_3T1_PL2017,HD, 86,-0.231341
RH_midParietal,410_FED_20160623b_3T2_PL2017,LD, 86,0.085317
RH_midParietal,410_FED_20160623b_3T2_PL2017,HD, 86,-0.521611
RH_midParietal,252_FED_20160907b_3T2_PL2017,LD, 86,-0.095729
RH_midParietal,252_FED_20160907b_3T2_PL2017,HD, 86,-0.162868
RH_antParietal,408_FED_20160711a2_3T1_PL2017,LD, 201,0.010342
RH_antParietal,408_FED_20160711a2_3T1_PL2017,HD, 201,-0.067975
RH_antParietal,409_FED_20160622a_3T1_PL2017,LD, 201,-0.534524
RH_antParietal,409_FED_20160622a_3T1_PL2017,HD, 201,-0.725869
RH_antParietal,410_FED_20160623b_3T2_PL2017,LD, 201,-0.069101
RH_antParietal,410_FED_20160623b_3T2_PL2017,HD, 201,-0.260972
RH_antParietal,252_FED_20160907b_3T2_PL2017,LD, 201,-0.112213
RH_antParietal,252_FED_20160907b_3T2_PL2017,HD, 201,-0.188855
RH_supFrontal,408_FED_20160711a2_3T1_PL2017,LD, 179,0.305168
RH_supFrontal,408_FED_20160711a2_3T1_PL2017,HD, 179,0.341893
RH_supFrontal,409_FED_20160622a_3T1_PL2017,LD, 179,-0.713372
RH_supFrontal,409_FED_20160622a_3T1_PL2017,HD, 179,-0.696967
RH_supFrontal,410_FED_20160623b_3T2_PL2017,LD, 179,0.188145
RH_supFrontal,410_FED_20160623b_3T2_PL2017,HD, 179,0.163614
RH_supFrontal,252_FED_20160907b_3T2_PL2017,LD, 179,-0.348585
RH_supFrontal,252_FED_20160907b_3T2_PL2017,HD, 179,-0.576788
RH_Precentral_A_precG,408_FED_20160711a2_3T1_PL2017,LD, 95,0.355036
RH_Precentral_A_precG,408_FED_20160711a2_3T1_PL2017,HD, 95,0.236566
RH_Precentral_A_precG,409_FED_20160622a_3T1_PL2017,LD, 95,-0.515370
RH_Precentral_A_precG,409_FED_20160622a_3T1_PL2017,HD, 95,-0.491514
RH_Precentral_A_precG,410_FED_20160623b_3T2_PL2017,LD, 95,-0.081777
