ROI,Subject,Effect, LocalizerSize,EffectSize
LH_postParietal,199_KAN_parametric_20_PL2017,S, 395,-0.148136
LH_postParietal,199_KAN_parametric_20_PL2017,N, 395,-0.044402
LH_postParietal,261_FED_20160523c_3T2_PL2017,S, 395,-0.073894
LH_postParietal,261_FED_20160523c_3T2_PL2017,N, 395,-0.244574
LH_postParietal,407_FED_20160804a_3T1_PL2017,S, 395,-0.209691
LH_postParietal,407_FED_20160804a_3T1_PL2017,N, 395,-0.370375
LH_postParietal,408_FED_20160711a2_3T1_PL2017,S, 395,-0.328637
LH_postParietal,408_FED_20160711a2_3T1_PL2017,N, 395,-0.057075
LH_postParietal,409_FED_20160622a_3T1_PL2017,S, 395,-0.195038
LH_postParietal,409_FED_20160622a_3T1_PL2017,N, 395,-0.202123
LH_postParietal,410_FED_20160623b_3T2_PL2017,S, 395,-0.399837
LH_postParietal,410_FED_20160623b_3T2_PL2017,N, 395,-0.336551
LH_postParietal,730_FED_20190306a_3T2_PL2017,S, 395,-0.469263
LH_postParietal,730_FED_20190306a_3T2_PL2017,N, 395,-0.152540
LH_postParietal,776_FED_20190611b_3T2_PL2017,S, 395,-0.695281
LH_postParietal,776_FED_20190611b_3T2_PL2017,N, 395,-0.402509
LH_postParietal,249_FED_20160519a_3T1_PL2017,S, 395,0.832005
LH_postParietal,249_FED_20160519a_3T1_PL2017,N, 395,-0.383913
LH_postParietal,252_FED_20160907b_3T2_PL2017,S, 395,0.520017
LH_postParietal,252_FED_20160907b_3T2_PL2017,N, 395,0.344873
LH_postParietal,291_FED_20160803c_3T1_PL2017,S, 395,0.659540
LH_postParietal,291_FED_20160803c_3T1_PL2017,N, 395,0.373884
LH_postParietal,301_FED_20160908b_3T1_PL2017,S, 395,-0.251966
LH_postParietal,301_FED_20160908b_3T1_PL2017,N, 395,-0.235532
LH_postParietal,376_FED_20160519b_3T1_PL2017,S, 395,0.027202
LH_postParietal,376_FED_20160519b_3T1_PL2017,N, 395,-0.060105
LH_postParietal,399_FED_20160519d_3T1_PL2017,S, 395,-0.597849
LH_postParietal,399_FED_20160519d_3T1_PL2017,N, 395,-0.213072
LH_postParietal,400_FED_20160520a_3T1_PL2017,S, 395,-0.915778
LH_postParietal,400_FED_20160520a_3T1_PL2017,N, 395,-0.653323
LH_postParietal,401_FED_20160520d_3T1_PL2017,S, 395,-0.254090
LH_postParietal,401_FED_20160520d_3T1_PL2017,N, 395,-0.309919
LH_postParietal,419_FED_20160805a_3T1_PL2017,S, 395,0.574496
LH_postParietal,419_FED_20160805a_3T1_PL2017,N, 395,1.001394
LH_postParietal,420_FED_20160805b_3T1_PL2017,S, 395,-0.412570
LH_postParietal,420_FED_20160805b_3T1_PL2017,N, 395,-0.365950
LH_postParietal,426_FED_20160908d_3T1_PL2017,S, 395,-0.005853
LH_postParietal,426_FED_20160908d_3T1_PL2017,N, 395,0.284921
LH_postParietal,682_FED_20190426a_3T2_PL2017,S, 395,-0.657301
LH_postParietal,682_FED_20190426a_3T2_PL2017,N, 395,0.056370
LH_postParietal,767_FED_20190418b_3T2_PL2017,S, 395,-0.612131
LH_postParietal,767_FED_20190418b_3T2_PL2017,N, 395,-0.419250
LH_postParietal,769_FED_20190522a_3T2_PL2017,S, 395,-0.005737
LH_postParietal,769_FED_20190522a_3T2_PL2017,N, 395,0.028660
LH_postParietal,770_FED_20190523b_3T2_PL2017,S, 395,-0.348985
LH_postParietal,770_FED_20190523b_3T2_PL2017,N, 395,-0.363103
LH_postParietal,773_FED_20190605c_3T2_PL2017,S, 395,-1.016722
LH_postParietal,773_FED_20190605c_3T2_PL2017,N, 395,-1.742607
LH_postParietal,774_FED_20190605b_3T2_PL2017,S, 395,-0.295676
LH_postParietal,774_FED_20190605b_3T2_PL2017,N, 395,-0.298978
LH_postParietal,775_FED_20190611a_3T2_PL2017,S, 395,-0.553058
LH_postParietal,775_FED_20190611a_3T2_PL2017,N, 395,-1.062589
LH_postParietal,778_FED_20190614b_3T2_PL2017,S, 395,-0.795917
LH_postParietal,778_FED_20190614b_3T2_PL2017,N, 395,-1.569800
LH_postParietal,863_FED_20211124a_3T1_PL2017,S, 395,0.057267
LH_postParietal,863_FED_20211124a_3T1_PL2017,N, 395,0.095085
LH_midParietal,199_KAN_parametric_20_PL2017,S, 86,-0.258493
LH_midParietal,199_KAN_parametric_20_PL2017,N, 86,0.101245
LH_midParietal,261_FED_20160523c_3T2_PL2017,S, 86,0.290763
LH_midParietal,261_FED_20160523c_3T2_PL2017,N, 86,0.073801
LH_midParietal,407_FED_20160804a_3T1_PL2017,S, 86,-0.550093
LH_midParietal,407_FED_20160804a_3T1_PL2017,N, 86,-0.086767
LH_midParietal,408_FED_20160711a2_3T1_PL2017,S, 86,0.193300
LH_midParietal,408_FED_20160711a2_3T1_PL2017,N, 86,0.847446
LH_midParietal,409_FED_20160622a_3T1_PL2017,S, 86,0.199442
LH_midParietal,409_FED_20160622a_3T1_PL2017,N, 86,0.190852
LH_midParietal,410_FED_20160623b_3T2_PL2017,S, 86,-1.175179
LH_midParietal,410_FED_20160623b_3T2_PL2017,N, 86,-0.953123
LH_midParietal,730_FED_20190306a_3T2_PL2017,S, 86,-0.237055
LH_midParietal,730_FED_20190306a_3T2_PL2017,N, 86,0.098208
LH_midParietal,776_FED_20190611b_3T2_PL2017,S, 86,-0.249254
LH_midParietal,776_FED_20190611b_3T2_PL2017,N, 86,0.129125
LH_midParietal,249_FED_20160519a_3T1_PL2017,S, 86,3.020452
LH_midParietal,249_FED_20160519a_3T1_PL2017,N, 86,2.115809
LH_midParietal,252_FED_20160907b_3T2_PL2017,S, 86,0.411342
LH_midParietal,252_FED_20160907b_3T2_PL2017,N, 86,0.456176
LH_midParietal,291_FED_20160803c_3T1_PL2017,S, 86,0.238012
LH_midParietal,291_FED_20160803c_3T1_PL2017,N, 86,0.356736
LH_midParietal,301_FED_20160908b_3T1_PL2017,S, 86,0.633655
LH_midParietal,301_FED_20160908b_3T1_PL2017,N, 86,0.840536
LH_midParietal,376_FED_20160519b_3T1_PL2017,S, 86,0.763379
LH_midParietal,376_FED_20160519b_3T1_PL2017,N, 86,0.757126
LH_midParietal,399_FED_20160519d_3T1_PL2017,S, 86,-0.205188
LH_midParietal,399_FED_20160519d_3T1_PL2017,N, 86,0.370528
LH_midParietal,400_FED_20160520a_3T1_PL2017,S, 86,-0.348694
LH_midParietal,400_FED_20160520a_3T1_PL2017,N, 86,0.028099
LH_midParietal,401_FED_20160520d_3T1_PL2017,S, 86,0.400170
LH_midParietal,401_FED_20160520d_3T1_PL2017,N, 86,0.448928
LH_midParietal,419_FED_20160805a_3T1_PL2017,S, 86,1.220076
LH_midParietal,419_FED_20160805a_3T1_PL2017,N, 86,1.911842
LH_midParietal,420_FED_20160805b_3T1_PL2017,S, 86,-0.365915
LH_midParietal,420_FED_20160805b_3T1_PL2017,N, 86,0.096769
