ROI,Subject,Effect, LocalizerSize,EffectSize
LH_postParietal,249_FED_20160519a_3T1_PL2017,Pic_Sem, 395,3.506596
LH_postParietal,249_FED_20160519a_3T1_PL2017,Pic_Perc, 395,2.991116
LH_postParietal,249_FED_20160519a_3T1_PL2017,Sent_Sem, 395,2.926719
LH_postParietal,249_FED_20160519a_3T1_PL2017,Sent_Perc, 395,3.528653
LH_postParietal,252_FED_20160907b_3T2_PL2017,Pic_Sem, 395,1.860428
LH_postParietal,252_FED_20160907b_3T2_PL2017,Pic_Perc, 395,1.318727
LH_postParietal,252_FED_20160907b_3T2_PL2017,Sent_Sem, 395,2.152733
LH_postParietal,252_FED_20160907b_3T2_PL2017,Sent_Perc, 395,1.210014
LH_postParietal,291_FED_20160803c_3T1_PL2017,Pic_Sem, 395,0.485853
LH_postParietal,291_FED_20160803c_3T1_PL2017,Pic_Perc, 395,-0.150160
LH_postParietal,291_FED_20160803c_3T1_PL2017,Sent_Sem, 395,0.327052
LH_postParietal,291_FED_20160803c_3T1_PL2017,Sent_Perc, 395,0.085115
LH_postParietal,301_FED_20160908b_3T1_PL2017,Pic_Sem, 395,1.755864
LH_postParietal,301_FED_20160908b_3T1_PL2017,Pic_Perc, 395,1.122577
LH_postParietal,301_FED_20160908b_3T1_PL2017,Sent_Sem, 395,1.065469
LH_postParietal,301_FED_20160908b_3T1_PL2017,Sent_Perc, 395,0.938362
LH_postParietal,376_FED_20160519b_3T1_PL2017,Pic_Sem, 395,3.278452
LH_postParietal,376_FED_20160519b_3T1_PL2017,Pic_Perc, 395,1.799563
LH_postParietal,376_FED_20160519b_3T1_PL2017,Sent_Sem, 395,2.781241
LH_postParietal,376_FED_20160519b_3T1_PL2017,Sent_Perc, 395,1.700591
LH_postParietal,399_FED_20160519d_3T1_PL2017,Pic_Sem, 395,0.731859
LH_postParietal,399_FED_20160519d_3T1_PL2017,Pic_Perc, 395,1.158094
LH_postParietal,399_FED_20160519d_3T1_PL2017,Sent_Sem, 395,1.278920
LH_postParietal,399_FED_20160519d_3T1_PL2017,Sent_Perc, 395,1.460506
LH_postParietal,400_FED_20160520a_3T1_PL2017,Pic_Sem, 395,-0.166426
LH_postParietal,400_FED_20160520a_3T1_PL2017,Pic_Perc, 395,-0.086795
LH_postParietal,400_FED_20160520a_3T1_PL2017,Sent_Sem, 395,0.138859
LH_postParietal,400_FED_20160520a_3T1_PL2017,Sent_Perc, 395,0.289596
LH_postParietal,401_FED_20160520d_3T1_PL2017,Pic_Sem, 395,2.135381
LH_postParietal,401_FED_20160520d_3T1_PL2017,Pic_Perc, 395,2.222432
LH_postParietal,401_FED_20160520d_3T1_PL2017,Sent_Sem, 395,2.329960
LH_postParietal,401_FED_20160520d_3T1_PL2017,Sent_Perc, 395,1.200223
LH_postParietal,419_FED_20160805a_3T1_PL2017,Pic_Sem, 395,-0.255871
LH_postParietal,419_FED_20160805a_3T1_PL2017,Pic_Perc, 395,1.174375
LH_postParietal,419_FED_20160805a_3T1_PL2017,Sent_Sem, 395,1.485872
LH_postParietal,419_FED_20160805a_3T1_PL2017,Sent_Perc, 395,-0.352894
LH_postParietal,420_FED_20160805b_3T1_PL2017,Pic_Sem, 395,2.928140
