ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 178,4.856758
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 178,3.532072
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 178,4.293432
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 178,3.294718
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 178,2.745313
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 178,0.329647
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 178,2.922043
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 178,-0.208275
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 178,2.058698
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 178,1.284184
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 178,2.119118
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 178,1.978348
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 178,2.516590
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 178,0.882639
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 178,2.641086
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 178,0.419365
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 178,1.135785
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 178,0.594484
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 178,1.295295
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 178,0.484679
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 178,4.615112
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 178,3.798608
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 178,4.123266
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 178,4.463356
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 178,3.974642
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 178,0.777497
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 178,4.596129
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 178,0.105937
2,291_FED_20160803c_3T1_PL2017,Pic_Sem, 116,3.799646
2,291_FED_20160803c_3T1_PL2017,Pic_Perc, 116,2.102827
2,291_FED_20160803c_3T1_PL2017,Sent_Sem, 116,3.493267
2,291_FED_20160803c_3T1_PL2017,Sent_Perc, 116,1.864706
2,400_FED_20160520a_3T1_PL2017,Pic_Sem, 116,1.002834
2,400_FED_20160520a_3T1_PL2017,Pic_Perc, 116,-0.623895
2,400_FED_20160520a_3T1_PL2017,Sent_Sem, 116,1.222452
2,400_FED_20160520a_3T1_PL2017,Sent_Perc, 116,-0.828997
2,419_FED_20160805a_3T1_PL2017,Pic_Sem, 116,1.460161
2,419_FED_20160805a_3T1_PL2017,Pic_Perc, 116,0.426366
2,419_FED_20160805a_3T1_PL2017,Sent_Sem, 116,1.435594
2,419_FED_20160805a_3T1_PL2017,Sent_Perc, 116,1.049020
2,773_FED_20190605c_3T2_PL2017,Pic_Sem, 116,2.387766
2,773_FED_20190605c_3T2_PL2017,Pic_Perc, 116,-1.034256
2,773_FED_20190605c_3T2_PL2017,Sent_Sem, 116,2.915253
2,773_FED_20190605c_3T2_PL2017,Sent_Perc, 116,-0.835530
2,774_FED_20190605b_3T2_PL2017,Pic_Sem, 116,0.546936
2,774_FED_20190605b_3T2_PL2017,Pic_Perc, 116,0.075407
2,774_FED_20190605b_3T2_PL2017,Sent_Sem, 116,0.495163
2,774_FED_20190605b_3T2_PL2017,Sent_Perc, 116,0.044403
2,775_FED_20190611a_3T2_PL2017,Pic_Sem, 116,1.379622
2,775_FED_20190611a_3T2_PL2017,Pic_Perc, 116,1.383694
2,775_FED_20190611a_3T2_PL2017,Sent_Sem, 116,1.680313
2,775_FED_20190611a_3T2_PL2017,Sent_Perc, 116,1.545017
2,778_FED_20190614b_3T2_PL2017,Pic_Sem, 116,1.790388
2,778_FED_20190614b_3T2_PL2017,Pic_Perc, 116,-1.947168
2,778_FED_20190614b_3T2_PL2017,Sent_Sem, 116,2.905090
2,778_FED_20190614b_3T2_PL2017,Sent_Perc, 116,-1.520783
3,291_FED_20160803c_3T1_PL2017,Pic_Sem, 181,2.699326
3,291_FED_20160803c_3T1_PL2017,Pic_Perc, 181,2.133119
3,291_FED_20160803c_3T1_PL2017,Sent_Sem, 181,2.211303
3,291_FED_20160803c_3T1_PL2017,Sent_Perc, 181,1.733973
3,400_FED_20160520a_3T1_PL2017,Pic_Sem, 181,0.209090
3,400_FED_20160520a_3T1_PL2017,Pic_Perc, 181,-0.597572
3,400_FED_20160520a_3T1_PL2017,Sent_Sem, 181,-0.232368
3,400_FED_20160520a_3T1_PL2017,Sent_Perc, 181,-0.701892
3,419_FED_20160805a_3T1_PL2017,Pic_Sem, 181,0.862953
3,419_FED_20160805a_3T1_PL2017,Pic_Perc, 181,0.137991
3,419_FED_20160805a_3T1_PL2017,Sent_Sem, 181,0.677288
3,419_FED_20160805a_3T1_PL2017,Sent_Perc, 181,0.373160
3,773_FED_20190605c_3T2_PL2017,Pic_Sem, 181,0.683614
3,773_FED_20190605c_3T2_PL2017,Pic_Perc, 181,-1.157520
3,773_FED_20190605c_3T2_PL2017,Sent_Sem, 181,0.681702
3,773_FED_20190605c_3T2_PL2017,Sent_Perc, 181,-0.746843
3,774_FED_20190605b_3T2_PL2017,Pic_Sem, 181,1.589363
3,774_FED_20190605b_3T2_PL2017,Pic_Perc, 181,0.724947
3,774_FED_20190605b_3T2_PL2017,Sent_Sem, 181,0.937257
3,774_FED_20190605b_3T2_PL2017,Sent_Perc, 181,-0.152036
3,775_FED_20190611a_3T2_PL2017,Pic_Sem, 181,-0.146424
3,775_FED_20190611a_3T2_PL2017,Pic_Perc, 181,-0.114688
3,775_FED_20190611a_3T2_PL2017,Sent_Sem, 181,-0.245407
3,775_FED_20190611a_3T2_PL2017,Sent_Perc, 181,0.110940
3,778_FED_20190614b_3T2_PL2017,Pic_Sem, 181,1.474868
3,778_FED_20190614b_3T2_PL2017,Pic_Perc, 181,-1.339399
3,778_FED_20190614b_3T2_PL2017,Sent_Sem, 181,1.339338
3,778_FED_20190614b_3T2_PL2017,Sent_Perc, 181,-1.067201
4,291_FED_20160803c_3T1_PL2017,Pic_Sem, 125,2.486882
4,291_FED_20160803c_3T1_PL2017,Pic_Perc, 125,1.364310
4,291_FED_20160803c_3T1_PL2017,Sent_Sem, 125,2.085239
4,291_FED_20160803c_3T1_PL2017,Sent_Perc, 125,1.276076
4,400_FED_20160520a_3T1_PL2017,Pic_Sem, 125,1.070148
4,400_FED_20160520a_3T1_PL2017,Pic_Perc, 125,0.046782
4,400_FED_20160520a_3T1_PL2017,Sent_Sem, 125,1.849330
4,400_FED_20160520a_3T1_PL2017,Sent_Perc, 125,0.071206
4,419_FED_20160805a_3T1_PL2017,Pic_Sem, 125,0.772889
4,419_FED_20160805a_3T1_PL2017,Pic_Perc, 125,0.478113
4,419_FED_20160805a_3T1_PL2017,Sent_Sem, 125,1.070291
4,419_FED_20160805a_3T1_PL2017,Sent_Perc, 125,0.448873
4,773_FED_20190605c_3T2_PL2017,Pic_Sem, 125,1.965180
4,773_FED_20190605c_3T2_PL2017,Pic_Perc, 125,-1.351180
4,773_FED_20190605c_3T2_PL2017,Sent_Sem, 125,2.689096
4,773_FED_20190605c_3T2_PL2017,Sent_Perc, 125,-0.527705
4,774_FED_20190605b_3T2_PL2017,Pic_Sem, 125,1.553370
4,774_FED_20190605b_3T2_PL2017,Pic_Perc, 125,0.774539
4,774_FED_20190605b_3T2_PL2017,Sent_Sem, 125,2.378142
4,774_FED_20190605b_3T2_PL2017,Sent_Perc, 125,0.778216
4,775_FED_20190611a_3T2_PL2017,Pic_Sem, 125,0.795209
4,775_FED_20190611a_3T2_PL2017,Pic_Perc, 125,0.467182
4,775_FED_20190611a_3T2_PL2017,Sent_Sem, 125,0.695415
4,775_FED_20190611a_3T2_PL2017,Sent_Perc, 125,0.898143
4,778_FED_20190614b_3T2_PL2017,Pic_Sem, 125,1.920051
4,778_FED_20190614b_3T2_PL2017,Pic_Perc, 125,-0.603778
4,778_FED_20190614b_3T2_PL2017,Sent_Sem, 125,3.419266
4,778_FED_20190614b_3T2_PL2017,Sent_Perc, 125,-0.400611
5,291_FED_20160803c_3T1_PL2017,Pic_Sem, 118,5.469969
5,291_FED_20160803c_3T1_PL2017,Pic_Perc, 118,4.444627
5,291_FED_20160803c_3T1_PL2017,Sent_Sem, 118,3.611224
5,291_FED_20160803c_3T1_PL2017,Sent_Perc, 118,2.588204
5,400_FED_20160520a_3T1_PL2017,Pic_Sem, 118,1.489837
5,400_FED_20160520a_3T1_PL2017,Pic_Perc, 118,0.219656
5,400_FED_20160520a_3T1_PL2017,Sent_Sem, 118,1.823531
5,400_FED_20160520a_3T1_PL2017,Sent_Perc, 118,0.074513
5,419_FED_20160805a_3T1_PL2017,Pic_Sem, 118,0.724625
5,419_FED_20160805a_3T1_PL2017,Pic_Perc, 118,-0.058765
5,419_FED_20160805a_3T1_PL2017,Sent_Sem, 118,1.077343
5,419_FED_20160805a_3T1_PL2017,Sent_Perc, 118,0.193209
5,773_FED_20190605c_3T2_PL2017,Pic_Sem, 118,6.075243
5,773_FED_20190605c_3T2_PL2017,Pic_Perc, 118,4.601891
5,773_FED_20190605c_3T2_PL2017,Sent_Sem, 118,3.846155
5,773_FED_20190605c_3T2_PL2017,Sent_Perc, 118,2.412611
5,774_FED_20190605b_3T2_PL2017,Pic_Sem, 118,0.693571
5,774_FED_20190605b_3T2_PL2017,Pic_Perc, 118,0.184689
5,774_FED_20190605b_3T2_PL2017,Sent_Sem, 118,0.437234
5,774_FED_20190605b_3T2_PL2017,Sent_Perc, 118,-0.297480
5,775_FED_20190611a_3T2_PL2017,Pic_Sem, 118,1.065876
5,775_FED_20190611a_3T2_PL2017,Pic_Perc, 118,1.014184
5,775_FED_20190611a_3T2_PL2017,Sent_Sem, 118,0.373912
5,775_FED_20190611a_3T2_PL2017,Sent_Perc, 118,0.822373
5,778_FED_20190614b_3T2_PL2017,Pic_Sem, 118,0.972559
5,778_FED_20190614b_3T2_PL2017,Pic_Perc, 118,-0.600419
5,778_FED_20190614b_3T2_PL2017,Sent_Sem, 118,1.238256
5,778_FED_20190614b_3T2_PL2017,Sent_Perc, 118,-0.261478
6,291_FED_20160803c_3T1_PL2017,Pic_Sem, 98,3.689179
6,291_FED_20160803c_3T1_PL2017,Pic_Perc, 98,3.114468
6,291_FED_20160803c_3T1_PL2017,Sent_Sem, 98,2.764398
6,291_FED_20160803c_3T1_PL2017,Sent_Perc, 98,2.676251
6,400_FED_20160520a_3T1_PL2017,Pic_Sem, 98,0.800539
6,400_FED_20160520a_3T1_PL2017,Pic_Perc, 98,-0.247187
6,400_FED_20160520a_3T1_PL2017,Sent_Sem, 98,-0.061476
6,400_FED_20160520a_3T1_PL2017,Sent_Perc, 98,-0.503481
6,419_FED_20160805a_3T1_PL2017,Pic_Sem, 98,1.731789
6,419_FED_20160805a_3T1_PL2017,Pic_Perc, 98,1.320981
6,419_FED_20160805a_3T1_PL2017,Sent_Sem, 98,2.033668
6,419_FED_20160805a_3T1_PL2017,Sent_Perc, 98,2.383757
6,773_FED_20190605c_3T2_PL2017,Pic_Sem, 98,1.347321
6,773_FED_20190605c_3T2_PL2017,Pic_Perc, 98,-3.433066
6,773_FED_20190605c_3T2_PL2017,Sent_Sem, 98,1.588850
6,773_FED_20190605c_3T2_PL2017,Sent_Perc, 98,-2.018526
6,774_FED_20190605b_3T2_PL2017,Pic_Sem, 98,0.584986
6,774_FED_20190605b_3T2_PL2017,Pic_Perc, 98,-0.561927
6,774_FED_20190605b_3T2_PL2017,Sent_Sem, 98,-0.217408
6,774_FED_20190605b_3T2_PL2017,Sent_Perc, 98,-1.792705
6,775_FED_20190611a_3T2_PL2017,Pic_Sem, 98,1.359431
6,775_FED_20190611a_3T2_PL2017,Pic_Perc, 98,0.872334
6,775_FED_20190611a_3T2_PL2017,Sent_Sem, 98,0.920368
6,775_FED_20190611a_3T2_PL2017,Sent_Perc, 98,1.249681
6,778_FED_20190614b_3T2_PL2017,Pic_Sem, 98,3.116070
6,778_FED_20190614b_3T2_PL2017,Pic_Perc, 98,-0.578836
6,778_FED_20190614b_3T2_PL2017,Sent_Sem, 98,2.037519
6,778_FED_20190614b_3T2_PL2017,Sent_Perc, 98,-0.612488
7,291_FED_20160803c_3T1_PL2017,Pic_Sem, 46,2.489947
7,291_FED_20160803c_3T1_PL2017,Pic_Perc, 46,1.603890
7,291_FED_20160803c_3T1_PL2017,Sent_Sem, 46,2.215824
7,291_FED_20160803c_3T1_PL2017,Sent_Perc, 46,1.198715
7,400_FED_20160520a_3T1_PL2017,Pic_Sem, 46,-0.493050
7,400_FED_20160520a_3T1_PL2017,Pic_Perc, 46,-1.029389
7,400_FED_20160520a_3T1_PL2017,Sent_Sem, 46,-0.839815
7,400_FED_20160520a_3T1_PL2017,Sent_Perc, 46,-1.217124
7,419_FED_20160805a_3T1_PL2017,Pic_Sem, 46,0.629083
7,419_FED_20160805a_3T1_PL2017,Pic_Perc, 46,-0.047850
7,419_FED_20160805a_3T1_PL2017,Sent_Sem, 46,0.665603
7,419_FED_20160805a_3T1_PL2017,Sent_Perc, 46,0.117881
7,773_FED_20190605c_3T2_PL2017,Pic_Sem, 46,0.521787
7,773_FED_20190605c_3T2_PL2017,Pic_Perc, 46,-0.269941
7,773_FED_20190605c_3T2_PL2017,Sent_Sem, 46,0.375656
7,773_FED_20190605c_3T2_PL2017,Sent_Perc, 46,0.000709
7,774_FED_20190605b_3T2_PL2017,Pic_Sem, 46,2.013545
7,774_FED_20190605b_3T2_PL2017,Pic_Perc, 46,-0.749688
7,774_FED_20190605b_3T2_PL2017,Sent_Sem, 46,1.179911
7,774_FED_20190605b_3T2_PL2017,Sent_Perc, 46,-1.234703
7,775_FED_20190611a_3T2_PL2017,Pic_Sem, 46,-1.163420
7,775_FED_20190611a_3T2_PL2017,Pic_Perc, 46,-0.815717
7,775_FED_20190611a_3T2_PL2017,Sent_Sem, 46,-0.694298
7,775_FED_20190611a_3T2_PL2017,Sent_Perc, 46,-0.733678
7,778_FED_20190614b_3T2_PL2017,Pic_Sem, 46,1.909455
7,778_FED_20190614b_3T2_PL2017,Pic_Perc, 46,-1.375163
7,778_FED_20190614b_3T2_PL2017,Sent_Sem, 46,1.351301
7,778_FED_20190614b_3T2_PL2017,Sent_Perc, 46,-1.023615
8,291_FED_20160803c_3T1_PL2017,Pic_Sem, 107,4.456756
8,291_FED_20160803c_3T1_PL2017,Pic_Perc, 107,2.648411
8,291_FED_20160803c_3T1_PL2017,Sent_Sem, 107,3.874267
8,291_FED_20160803c_3T1_PL2017,Sent_Perc, 107,2.432742
8,400_FED_20160520a_3T1_PL2017,Pic_Sem, 107,1.733282
8,400_FED_20160520a_3T1_PL2017,Pic_Perc, 107,0.837293
8,400_FED_20160520a_3T1_PL2017,Sent_Sem, 107,1.248850
8,400_FED_20160520a_3T1_PL2017,Sent_Perc, 107,0.536230
8,419_FED_20160805a_3T1_PL2017,Pic_Sem, 107,1.230235
8,419_FED_20160805a_3T1_PL2017,Pic_Perc, 107,0.898229
8,419_FED_20160805a_3T1_PL2017,Sent_Sem, 107,0.886101
8,419_FED_20160805a_3T1_PL2017,Sent_Perc, 107,0.708227
8,773_FED_20190605c_3T2_PL2017,Pic_Sem, 107,4.149723
