ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,Sem_photo, 0,NaN
1,040_KAN_langevents_01_PL2017,Perc_photo, 0,NaN
1,040_KAN_langevents_01_PL2017,Sem_sent, 0,NaN
1,040_KAN_langevents_01_PL2017,Perc_sent, 0,NaN
1,057_KAN_langevents_02_PL2017,Sem_photo, 0,NaN
1,057_KAN_langevents_02_PL2017,Perc_photo, 0,NaN
1,057_KAN_langevents_02_PL2017,Sem_sent, 0,NaN
1,057_KAN_langevents_02_PL2017,Perc_sent, 0,NaN
1,059_KAN_langevents_04_PL2017,Sem_photo, 0,NaN
1,059_KAN_langevents_04_PL2017,Perc_photo, 0,NaN
1,059_KAN_langevents_04_PL2017,Sem_sent, 0,NaN
1,059_KAN_langevents_04_PL2017,Perc_sent, 0,NaN
1,056_KAN_langevents_05_PL2017,Sem_photo, 0,NaN
1,056_KAN_langevents_05_PL2017,Perc_photo, 0,NaN
1,056_KAN_langevents_05_PL2017,Sem_sent, 0,NaN
1,056_KAN_langevents_05_PL2017,Perc_sent, 0,NaN
1,067_KAN_langevents_06_PL2017,Sem_photo, 0,NaN
1,067_KAN_langevents_06_PL2017,Perc_photo, 0,NaN
1,067_KAN_langevents_06_PL2017,Sem_sent, 0,NaN
1,067_KAN_langevents_06_PL2017,Perc_sent, 0,NaN
1,068_KAN_langevents_07_PL2017,Sem_photo, 0,NaN
1,068_KAN_langevents_07_PL2017,Perc_photo, 0,NaN
1,068_KAN_langevents_07_PL2017,Sem_sent, 0,NaN
1,068_KAN_langevents_07_PL2017,Perc_sent, 0,NaN
1,019_KAN_langevents_08_PL2017,Sem_photo, 0,NaN
1,019_KAN_langevents_08_PL2017,Perc_photo, 0,NaN
1,019_KAN_langevents_08_PL2017,Sem_sent, 0,NaN
1,019_KAN_langevents_08_PL2017,Perc_sent, 0,NaN
1,070_KAN_langevents_11_PL2017,Sem_photo, 0,NaN
1,070_KAN_langevents_11_PL2017,Perc_photo, 0,NaN
1,070_KAN_langevents_11_PL2017,Sem_sent, 0,NaN
1,070_KAN_langevents_11_PL2017,Perc_sent, 0,NaN
1,087_KAN_langevents_12_PL2017,Sem_photo, 0,NaN
1,087_KAN_langevents_12_PL2017,Perc_photo, 0,NaN
1,087_KAN_langevents_12_PL2017,Sem_sent, 0,NaN
1,087_KAN_langevents_12_PL2017,Perc_sent, 0,NaN
1,078_KAN_langevents_13_PL2017,Sem_photo, 0,NaN
1,078_KAN_langevents_13_PL2017,Perc_photo, 0,NaN
1,078_KAN_langevents_13_PL2017,Sem_sent, 0,NaN
1,078_KAN_langevents_13_PL2017,Perc_sent, 0,NaN
1,089_KAN_langevents_15_PL2017,Sem_photo, 0,NaN
1,089_KAN_langevents_15_PL2017,Perc_photo, 0,NaN
1,089_KAN_langevents_15_PL2017,Sem_sent, 0,NaN
1,089_KAN_langevents_15_PL2017,Perc_sent, 0,NaN
1,076_KAN_langevents_16_PL2017,Sem_photo, 0,NaN
1,076_KAN_langevents_16_PL2017,Perc_photo, 0,NaN
1,076_KAN_langevents_16_PL2017,Sem_sent, 0,NaN
1,076_KAN_langevents_16_PL2017,Perc_sent, 0,NaN
2,040_KAN_langevents_01_PL2017,Sem_photo, 178,2.444488
2,040_KAN_langevents_01_PL2017,Perc_photo, 178,1.881756
2,040_KAN_langevents_01_PL2017,Sem_sent, 178,2.206815
2,040_KAN_langevents_01_PL2017,Perc_sent, 178,1.301625
2,057_KAN_langevents_02_PL2017,Sem_photo, 178,2.001254
2,057_KAN_langevents_02_PL2017,Perc_photo, 178,1.250819
2,057_KAN_langevents_02_PL2017,Sem_sent, 178,1.996939
2,057_KAN_langevents_02_PL2017,Perc_sent, 178,1.146973
2,059_KAN_langevents_04_PL2017,Sem_photo, 178,2.113936
2,059_KAN_langevents_04_PL2017,Perc_photo, 178,0.929398
2,059_KAN_langevents_04_PL2017,Sem_sent, 178,1.862240
2,059_KAN_langevents_04_PL2017,Perc_sent, 178,1.189175
2,056_KAN_langevents_05_PL2017,Sem_photo, 178,1.620487
2,056_KAN_langevents_05_PL2017,Perc_photo, 178,1.247874
2,056_KAN_langevents_05_PL2017,Sem_sent, 178,0.968899
2,056_KAN_langevents_05_PL2017,Perc_sent, 178,1.168795
2,067_KAN_langevents_06_PL2017,Sem_photo, 178,3.463848
2,067_KAN_langevents_06_PL2017,Perc_photo, 178,2.694448
2,067_KAN_langevents_06_PL2017,Sem_sent, 178,1.690021
2,067_KAN_langevents_06_PL2017,Perc_sent, 178,0.413781
2,068_KAN_langevents_07_PL2017,Sem_photo, 178,1.925654
2,068_KAN_langevents_07_PL2017,Perc_photo, 178,1.772016
2,068_KAN_langevents_07_PL2017,Sem_sent, 178,1.431730
2,068_KAN_langevents_07_PL2017,Perc_sent, 178,0.929178
2,019_KAN_langevents_08_PL2017,Sem_photo, 178,0.019134
2,019_KAN_langevents_08_PL2017,Perc_photo, 178,-0.143581
2,019_KAN_langevents_08_PL2017,Sem_sent, 178,0.372692
2,019_KAN_langevents_08_PL2017,Perc_sent, 178,-1.113646
2,070_KAN_langevents_11_PL2017,Sem_photo, 178,3.059065
2,070_KAN_langevents_11_PL2017,Perc_photo, 178,1.383783
2,070_KAN_langevents_11_PL2017,Sem_sent, 178,1.942899
2,070_KAN_langevents_11_PL2017,Perc_sent, 178,0.497546
