ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,Pic_Sem, 337,-0.422802
1,249_FED_20160519a_3T1_PL2017,Pic_Perc, 337,-0.614847
1,249_FED_20160519a_3T1_PL2017,Sent_Sem, 337,-0.341667
1,249_FED_20160519a_3T1_PL2017,Sent_Perc, 337,-0.299728
1,252_FED_20160907b_3T2_PL2017,Pic_Sem, 337,0.524802
1,252_FED_20160907b_3T2_PL2017,Pic_Perc, 337,0.396551
1,252_FED_20160907b_3T2_PL2017,Sent_Sem, 337,0.964486
1,252_FED_20160907b_3T2_PL2017,Sent_Perc, 337,0.014860
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 337,0.006812
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 337,0.549687
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 337,0.369548
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 337,-0.096375
1,301_FED_20160908b_3T1_PL2017,Pic_Sem, 337,0.651145
1,301_FED_20160908b_3T1_PL2017,Pic_Perc, 337,-1.000179
1,301_FED_20160908b_3T1_PL2017,Sent_Sem, 337,0.903322
1,301_FED_20160908b_3T1_PL2017,Sent_Perc, 337,-0.665268
1,376_FED_20160519b_3T1_PL2017,Pic_Sem, 337,0.551591
1,376_FED_20160519b_3T1_PL2017,Pic_Perc, 337,-0.157814
1,376_FED_20160519b_3T1_PL2017,Sent_Sem, 337,1.217549
1,376_FED_20160519b_3T1_PL2017,Sent_Perc, 337,0.172909
1,399_FED_20160519d_3T1_PL2017,Pic_Sem, 337,-0.337487
1,399_FED_20160519d_3T1_PL2017,Pic_Perc, 337,-0.384895
1,399_FED_20160519d_3T1_PL2017,Sent_Sem, 337,-0.323277
1,399_FED_20160519d_3T1_PL2017,Sent_Perc, 337,-0.077533
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 337,-0.070575
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 337,-0.062399
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 337,-0.098749
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 337,0.215498
1,401_FED_20160520d_3T1_PL2017,Pic_Sem, 337,0.327254
1,401_FED_20160520d_3T1_PL2017,Pic_Perc, 337,-1.259958
1,401_FED_20160520d_3T1_PL2017,Sent_Sem, 337,-0.295374
1,401_FED_20160520d_3T1_PL2017,Sent_Perc, 337,-0.838941
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 337,-0.122596
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 337,0.218701
