ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 338,0.800464
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 338,0.880122
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 338,0.444748
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 338,0.592219
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 338,-0.015071
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 338,0.043543
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 338,-0.245570
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 338,-0.105255
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 338,-0.040586
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 338,-0.339852
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 338,-0.243165
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 338,-0.330065
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 338,0.127869
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 338,-0.789625
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 338,0.621808
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 338,-0.410818
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 338,0.428851
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 338,0.706480
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 338,-0.235925
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 338,0.261132
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 338,-0.735143
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 338,-0.860835
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 338,-0.482804
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 338,-0.428405
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 338,0.399837
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 338,-0.510426
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 338,0.066634
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 338,-0.311850
