ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 198,0.559456
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 198,0.709256
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 198,0.286034
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 198,0.456301
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 198,-0.042600
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 198,0.096698
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 198,-0.264012
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 198,-0.023004
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 198,-0.000228
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 198,-0.237661
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 198,-0.121645
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 198,-0.146841
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 198,0.073124
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 198,-0.139184
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 198,0.347550
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 198,0.049936
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 198,0.729164
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 198,0.527062
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 198,0.081323
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 198,0.229770
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 198,-0.358111
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 198,-0.409276
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 198,-0.214572
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 198,-0.347722
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 198,0.226765
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 198,-0.175698
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 198,-0.061521
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 198,0.039711
