ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_FED_20160711c_3T1_PL2017,Pic_Sem, 178,2.703112
1,199_FED_20160711c_3T1_PL2017,Pic_Perc, 178,0.506263
1,199_FED_20160711c_3T1_PL2017,Sent_Sem, 178,3.503221
1,199_FED_20160711c_3T1_PL2017,Sent_Perc, 178,0.522677
1,261_FED_20160523c_3T2_PL2017,Pic_Sem, 178,2.810756
1,261_FED_20160523c_3T2_PL2017,Pic_Perc, 178,0.597201
1,261_FED_20160523c_3T2_PL2017,Sent_Sem, 178,3.003481
1,261_FED_20160523c_3T2_PL2017,Sent_Perc, 178,0.781148
1,407_FED_20160804a_3T1_PL2017,Pic_Sem, 178,4.417173
1,407_FED_20160804a_3T1_PL2017,Pic_Perc, 178,2.378155
1,407_FED_20160804a_3T1_PL2017,Sent_Sem, 178,5.048217
1,407_FED_20160804a_3T1_PL2017,Sent_Perc, 178,2.260513
1,408_FED_20160711a2_3T1_PL2017,Pic_Sem, 178,1.114596
1,408_FED_20160711a2_3T1_PL2017,Pic_Perc, 178,-0.928412
1,408_FED_20160711a2_3T1_PL2017,Sent_Sem, 178,1.905732
1,408_FED_20160711a2_3T1_PL2017,Sent_Perc, 178,-0.772180
1,409_FED_20160622a_3T1_PL2017,Pic_Sem, 178,3.811003
1,409_FED_20160622a_3T1_PL2017,Pic_Perc, 178,1.009888
1,409_FED_20160622a_3T1_PL2017,Sent_Sem, 178,3.553212
1,409_FED_20160622a_3T1_PL2017,Sent_Perc, 178,1.080717
1,410_FED_20160623b_3T2_PL2017,Pic_Sem, 178,2.823955
1,410_FED_20160623b_3T2_PL2017,Pic_Perc, 178,0.668828
1,410_FED_20160623b_3T2_PL2017,Sent_Sem, 178,2.541520
1,410_FED_20160623b_3T2_PL2017,Sent_Perc, 178,-0.454054
1,730_FED_20190306a_3T2_PL2017,Pic_Sem, 178,4.296657
1,730_FED_20190306a_3T2_PL2017,Pic_Perc, 178,1.804369
1,730_FED_20190306a_3T2_PL2017,Sent_Sem, 178,4.131398
1,730_FED_20190306a_3T2_PL2017,Sent_Perc, 178,0.563600
1,776_FED_20190611b_3T2_PL2017,Pic_Sem, 178,1.920470
1,776_FED_20190611b_3T2_PL2017,Pic_Perc, 178,0.213600
1,776_FED_20190611b_3T2_PL2017,Sent_Sem, 178,2.961015
1,776_FED_20190611b_3T2_PL2017,Sent_Perc, 178,-0.217441
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 178,6.090956
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 178,2.991122
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 178,5.844790
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 178,2.650445
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 178,4.888898
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 178,0.601114
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 178,5.981799
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 178,-0.262625
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 178,0.629530
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 178,-0.359257
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 178,1.765844
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 178,-0.709536
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 178,2.484220
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 178,0.443098
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 178,2.605412
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 178,0.155058
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 178,4.343434
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 178,2.115442
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 178,4.341155
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 178,1.431853
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 178,1.674820
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 178,1.591936
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 178,1.641395
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 178,1.874566
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 178,5.884966
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 178,-0.046381
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 178,5.716634
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 178,-0.754819
2,199_FED_20160711c_3T1_PL2017,Pic_Sem, 116,2.046102
2,199_FED_20160711c_3T1_PL2017,Pic_Perc, 116,-0.484094
2,199_FED_20160711c_3T1_PL2017,Sent_Sem, 116,2.561146
2,199_FED_20160711c_3T1_PL2017,Sent_Perc, 116,-0.061165
2,261_FED_20160523c_3T2_PL2017,Pic_Sem, 116,5.891692
2,261_FED_20160523c_3T2_PL2017,Pic_Perc, 116,1.073365
2,261_FED_20160523c_3T2_PL2017,Sent_Sem, 116,6.600453
2,261_FED_20160523c_3T2_PL2017,Sent_Perc, 116,1.270754
2,407_FED_20160804a_3T1_PL2017,Pic_Sem, 116,3.203194
2,407_FED_20160804a_3T1_PL2017,Pic_Perc, 116,0.241891
2,407_FED_20160804a_3T1_PL2017,Sent_Sem, 116,3.078062
2,407_FED_20160804a_3T1_PL2017,Sent_Perc, 116,-0.003347
2,408_FED_20160711a2_3T1_PL2017,Pic_Sem, 116,2.149462
2,408_FED_20160711a2_3T1_PL2017,Pic_Perc, 116,0.873770
2,408_FED_20160711a2_3T1_PL2017,Sent_Sem, 116,2.497414
2,408_FED_20160711a2_3T1_PL2017,Sent_Perc, 116,0.425129
2,409_FED_20160622a_3T1_PL2017,Pic_Sem, 116,2.763570
2,409_FED_20160622a_3T1_PL2017,Pic_Perc, 116,0.694941
2,409_FED_20160622a_3T1_PL2017,Sent_Sem, 116,2.416483
2,409_FED_20160622a_3T1_PL2017,Sent_Perc, 116,0.527088
2,410_FED_20160623b_3T2_PL2017,Pic_Sem, 116,2.207954
2,410_FED_20160623b_3T2_PL2017,Pic_Perc, 116,0.225810
