ROI,Subject,Effect, LocalizerSize,EffectSize
LH_IFGorb,040_KAN_langevents_01_PL2017,Pic_Sem, 37,1.247864
LH_IFGorb,040_KAN_langevents_01_PL2017,Pic_Perc, 37,-0.064451
LH_IFGorb,040_KAN_langevents_01_PL2017,Sent_Sem, 37,1.975099
LH_IFGorb,040_KAN_langevents_01_PL2017,Sent_Perc, 37,-0.259612
LH_IFGorb,057_KAN_langevents_02_PL2017,Pic_Sem, 37,1.101615
LH_IFGorb,057_KAN_langevents_02_PL2017,Pic_Perc, 37,-1.637760
LH_IFGorb,057_KAN_langevents_02_PL2017,Sent_Sem, 37,1.260608
LH_IFGorb,057_KAN_langevents_02_PL2017,Sent_Perc, 37,-0.413737
LH_IFGorb,059_KAN_langevents_04_PL2017,Pic_Sem, 37,0.803640
LH_IFGorb,059_KAN_langevents_04_PL2017,Pic_Perc, 37,-0.495152
LH_IFGorb,059_KAN_langevents_04_PL2017,Sent_Sem, 37,0.616182
LH_IFGorb,059_KAN_langevents_04_PL2017,Sent_Perc, 37,-0.065094
LH_IFGorb,056_KAN_langevents_05_PL2017,Pic_Sem, 37,0.624753
LH_IFGorb,056_KAN_langevents_05_PL2017,Pic_Perc, 37,-0.163038
LH_IFGorb,056_KAN_langevents_05_PL2017,Sent_Sem, 37,0.776849
LH_IFGorb,056_KAN_langevents_05_PL2017,Sent_Perc, 37,-0.244271
LH_IFGorb,067_KAN_langevents_06_PL2017,Pic_Sem, 37,1.281816
LH_IFGorb,067_KAN_langevents_06_PL2017,Pic_Perc, 37,0.957988
LH_IFGorb,067_KAN_langevents_06_PL2017,Sent_Sem, 37,1.198672
LH_IFGorb,067_KAN_langevents_06_PL2017,Sent_Perc, 37,0.106151
LH_IFGorb,068_KAN_langevents_07_PL2017,Pic_Sem, 37,0.666124
LH_IFGorb,068_KAN_langevents_07_PL2017,Pic_Perc, 37,0.154910
LH_IFGorb,068_KAN_langevents_07_PL2017,Sent_Sem, 37,0.554052
LH_IFGorb,068_KAN_langevents_07_PL2017,Sent_Perc, 37,-0.421964
LH_IFGorb,019_KAN_langevents_08_PL2017,Pic_Sem, 37,-0.784273
LH_IFGorb,019_KAN_langevents_08_PL2017,Pic_Perc, 37,-0.216710
LH_IFGorb,019_KAN_langevents_08_PL2017,Sent_Sem, 37,-1.449061
LH_IFGorb,019_KAN_langevents_08_PL2017,Sent_Perc, 37,0.169647
LH_IFGorb,070_KAN_langevents_11_PL2017,Pic_Sem, 37,1.582341
LH_IFGorb,070_KAN_langevents_11_PL2017,Pic_Perc, 37,-0.272685
LH_IFGorb,070_KAN_langevents_11_PL2017,Sent_Sem, 37,1.921717
LH_IFGorb,070_KAN_langevents_11_PL2017,Sent_Perc, 37,-0.259157
LH_IFGorb,087_KAN_langevents_12_PL2017,Pic_Sem, 37,-0.328966
LH_IFGorb,087_KAN_langevents_12_PL2017,Pic_Perc, 37,-0.162005
LH_IFGorb,087_KAN_langevents_12_PL2017,Sent_Sem, 37,0.453733
LH_IFGorb,087_KAN_langevents_12_PL2017,Sent_Perc, 37,-0.118092
LH_IFGorb,078_KAN_langevents_13_PL2017,Pic_Sem, 37,-0.455180
LH_IFGorb,078_KAN_langevents_13_PL2017,Pic_Perc, 37,-0.514443
LH_IFGorb,078_KAN_langevents_13_PL2017,Sent_Sem, 37,-0.067000
LH_IFGorb,078_KAN_langevents_13_PL2017,Sent_Perc, 37,-0.411766
LH_IFGorb,089_KAN_langevents_15_PL2017,Pic_Sem, 37,0.682113
LH_IFGorb,089_KAN_langevents_15_PL2017,Pic_Perc, 37,1.519154
LH_IFGorb,089_KAN_langevents_15_PL2017,Sent_Sem, 37,2.786258
LH_IFGorb,089_KAN_langevents_15_PL2017,Sent_Perc, 37,2.902748
LH_IFGorb,076_KAN_langevents_16_PL2017,Pic_Sem, 37,-0.876202
LH_IFGorb,076_KAN_langevents_16_PL2017,Pic_Perc, 37,0.076537
LH_IFGorb,076_KAN_langevents_16_PL2017,Sent_Sem, 37,-0.098173
LH_IFGorb,076_KAN_langevents_16_PL2017,Sent_Perc, 37,-0.125397
