ROI,Subject,Effect, LocalizerSize,EffectSize
LH_IFGorb,249_FED_20160519a_3T1_PL2017,Pic_Sem, 37,-1.762627
LH_IFGorb,249_FED_20160519a_3T1_PL2017,Pic_Perc, 37,-2.010102
LH_IFGorb,249_FED_20160519a_3T1_PL2017,Sent_Sem, 37,-1.298341
LH_IFGorb,249_FED_20160519a_3T1_PL2017,Sent_Perc, 37,-1.022155
LH_IFGorb,252_FED_20160907b_3T2_PL2017,Pic_Sem, 37,-1.554902
LH_IFGorb,252_FED_20160907b_3T2_PL2017,Pic_Perc, 37,-2.166976
LH_IFGorb,252_FED_20160907b_3T2_PL2017,Sent_Sem, 37,1.467443
LH_IFGorb,252_FED_20160907b_3T2_PL2017,Sent_Perc, 37,-2.273445
LH_IFGorb,291_FED_20160803c_3T1_PL2017,Pic_Sem, 37,1.107704
LH_IFGorb,291_FED_20160803c_3T1_PL2017,Pic_Perc, 37,1.805426
LH_IFGorb,291_FED_20160803c_3T1_PL2017,Sent_Sem, 37,2.331503
LH_IFGorb,291_FED_20160803c_3T1_PL2017,Sent_Perc, 37,1.216073
LH_IFGorb,301_FED_20160908b_3T1_PL2017,Pic_Sem, 37,2.107506
LH_IFGorb,301_FED_20160908b_3T1_PL2017,Pic_Perc, 37,-1.574914
LH_IFGorb,301_FED_20160908b_3T1_PL2017,Sent_Sem, 37,1.953154
LH_IFGorb,301_FED_20160908b_3T1_PL2017,Sent_Perc, 37,-0.862857
LH_IFGorb,376_FED_20160519b_3T1_PL2017,Pic_Sem, 37,0.211878
LH_IFGorb,376_FED_20160519b_3T1_PL2017,Pic_Perc, 37,-0.475331
LH_IFGorb,376_FED_20160519b_3T1_PL2017,Sent_Sem, 37,1.385517
LH_IFGorb,376_FED_20160519b_3T1_PL2017,Sent_Perc, 37,0.426152
LH_IFGorb,399_FED_20160519d_3T1_PL2017,Pic_Sem, 37,0.276491
LH_IFGorb,399_FED_20160519d_3T1_PL2017,Pic_Perc, 37,-0.271913
LH_IFGorb,399_FED_20160519d_3T1_PL2017,Sent_Sem, 37,0.132868
LH_IFGorb,399_FED_20160519d_3T1_PL2017,Sent_Perc, 37,0.523314
LH_IFGorb,400_FED_20160520a_3T1_PL2017,Pic_Sem, 37,0.363658
LH_IFGorb,400_FED_20160520a_3T1_PL2017,Pic_Perc, 37,0.421042
LH_IFGorb,400_FED_20160520a_3T1_PL2017,Sent_Sem, 37,0.142039
LH_IFGorb,400_FED_20160520a_3T1_PL2017,Sent_Perc, 37,0.578425
LH_IFGorb,401_FED_20160520d_3T1_PL2017,Pic_Sem, 37,-0.133717
LH_IFGorb,401_FED_20160520d_3T1_PL2017,Pic_Perc, 37,-1.574722
LH_IFGorb,401_FED_20160520d_3T1_PL2017,Sent_Sem, 37,1.389442
