ROI,Subject,Effect, LocalizerSize,EffectSize
LH_IFGorb,199_FED_20160711c_3T1_PL2017,Pic_Sem, 37,0.581892
LH_IFGorb,199_FED_20160711c_3T1_PL2017,Pic_Perc, 37,0.222531
LH_IFGorb,199_FED_20160711c_3T1_PL2017,Sent_Sem, 37,1.918285
LH_IFGorb,199_FED_20160711c_3T1_PL2017,Sent_Perc, 37,0.272654
LH_IFGorb,261_FED_20160523c_3T2_PL2017,Pic_Sem, 37,0.832597
LH_IFGorb,261_FED_20160523c_3T2_PL2017,Pic_Perc, 37,-0.444232
LH_IFGorb,261_FED_20160523c_3T2_PL2017,Sent_Sem, 37,1.812803
LH_IFGorb,261_FED_20160523c_3T2_PL2017,Sent_Perc, 37,0.701719
LH_IFGorb,407_FED_20160804a_3T1_PL2017,Pic_Sem, 37,0.832577
LH_IFGorb,407_FED_20160804a_3T1_PL2017,Pic_Perc, 37,-0.806111
LH_IFGorb,407_FED_20160804a_3T1_PL2017,Sent_Sem, 37,1.455241
LH_IFGorb,407_FED_20160804a_3T1_PL2017,Sent_Perc, 37,-0.976226
LH_IFGorb,408_FED_20160711a2_3T1_PL2017,Pic_Sem, 37,0.851022
LH_IFGorb,408_FED_20160711a2_3T1_PL2017,Pic_Perc, 37,1.463922
LH_IFGorb,408_FED_20160711a2_3T1_PL2017,Sent_Sem, 37,1.009660
LH_IFGorb,408_FED_20160711a2_3T1_PL2017,Sent_Perc, 37,0.702791
LH_IFGorb,409_FED_20160622a_3T1_PL2017,Pic_Sem, 37,1.928791
LH_IFGorb,409_FED_20160622a_3T1_PL2017,Pic_Perc, 37,0.253958
LH_IFGorb,409_FED_20160622a_3T1_PL2017,Sent_Sem, 37,1.833173
LH_IFGorb,409_FED_20160622a_3T1_PL2017,Sent_Perc, 37,0.534678
LH_IFGorb,410_FED_20160623b_3T2_PL2017,Pic_Sem, 37,0.704467
LH_IFGorb,410_FED_20160623b_3T2_PL2017,Pic_Perc, 37,-0.021996
LH_IFGorb,410_FED_20160623b_3T2_PL2017,Sent_Sem, 37,1.654362
LH_IFGorb,410_FED_20160623b_3T2_PL2017,Sent_Perc, 37,-0.285121
LH_IFGorb,730_FED_20190306a_3T2_PL2017,Pic_Sem, 37,1.845899
LH_IFGorb,730_FED_20190306a_3T2_PL2017,Pic_Perc, 37,-0.092958
