ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Sem-photo, 337,0.812964
1,291_FED_20160803c_3T1_PL2017,Perc-photo, 337,0.396522
1,291_FED_20160803c_3T1_PL2017,Sem-sent, 337,0.573558
1,291_FED_20160803c_3T1_PL2017,Perc-sent, 337,0.340030
1,400_FED_20160520a_3T1_PL2017,Sem-photo, 337,0.005374
1,400_FED_20160520a_3T1_PL2017,Perc-photo, 337,0.031259
1,400_FED_20160520a_3T1_PL2017,Sem-sent, 337,0.006423
1,400_FED_20160520a_3T1_PL2017,Perc-sent, 337,0.098207
1,419_FED_20160805a_3T1_PL2017,Sem-photo, 337,0.126674
1,419_FED_20160805a_3T1_PL2017,Perc-photo, 337,-0.033735
1,419_FED_20160805a_3T1_PL2017,Sem-sent, 337,-0.093850
1,419_FED_20160805a_3T1_PL2017,Perc-sent, 337,-0.078274
1,773_FED_20190605c_3T2_PL2017,Sem-photo, 337,-0.014839
1,773_FED_20190605c_3T2_PL2017,Perc-photo, 337,-0.174598
1,773_FED_20190605c_3T2_PL2017,Sem-sent, 337,0.075560
1,773_FED_20190605c_3T2_PL2017,Perc-sent, 337,-0.103195
1,774_FED_20190605b_3T2_PL2017,Sem-photo, 337,0.062763
1,774_FED_20190605b_3T2_PL2017,Perc-photo, 337,-0.157211
1,774_FED_20190605b_3T2_PL2017,Sem-sent, 337,-0.195110
1,774_FED_20190605b_3T2_PL2017,Perc-sent, 337,-0.269063
1,775_FED_20190611a_3T2_PL2017,Sem-photo, 337,0.145423
1,775_FED_20190611a_3T2_PL2017,Perc-photo, 337,-0.124141
1,775_FED_20190611a_3T2_PL2017,Sem-sent, 337,0.331872
1,775_FED_20190611a_3T2_PL2017,Perc-sent, 337,0.171742
1,778_FED_20190614b_3T2_PL2017,Sem-photo, 337,0.380204
1,778_FED_20190614b_3T2_PL2017,Perc-photo, 337,-0.318452
1,778_FED_20190614b_3T2_PL2017,Sem-sent, 337,0.562196
1,778_FED_20190614b_3T2_PL2017,Perc-sent, 337,-0.177295
