ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,S, 337,0.427500
1,249_FED_20160519a_3T1_PL2017,N, 337,-0.032087
1,252_FED_20160907b_3T2_PL2017,S, 337,0.978002
1,252_FED_20160907b_3T2_PL2017,N, 337,0.647165
1,291_FED_20160803c_3T1_PL2017,S, 337,0.317692
1,291_FED_20160803c_3T1_PL2017,N, 337,-0.445861
1,301_FED_20160908b_3T1_PL2017,S, 337,0.682000
1,301_FED_20160908b_3T1_PL2017,N, 337,-0.226461
1,376_FED_20160519b_3T1_PL2017,S, 337,1.103490
1,376_FED_20160519b_3T1_PL2017,N, 337,0.161586
1,399_FED_20160519d_3T1_PL2017,S, 337,0.262814
1,399_FED_20160519d_3T1_PL2017,N, 337,0.248118
1,400_FED_20160520a_3T1_PL2017,S, 337,0.248683
1,400_FED_20160520a_3T1_PL2017,N, 337,-0.116469
1,401_FED_20160520d_3T1_PL2017,S, 337,0.258274
1,401_FED_20160520d_3T1_PL2017,N, 337,0.206379
1,419_FED_20160805a_3T1_PL2017,S, 337,0.277840
1,419_FED_20160805a_3T1_PL2017,N, 337,0.197716
1,420_FED_20160805b_3T1_PL2017,S, 337,0.408051
1,420_FED_20160805b_3T1_PL2017,N, 337,0.033956
1,426_FED_20160908d_3T1_PL2017,S, 337,0.563447
1,426_FED_20160908d_3T1_PL2017,N, 337,0.054466
1,682_FED_20190426a_3T2_PL2017,S, 337,0.526328
1,682_FED_20190426a_3T2_PL2017,N, 337,0.367496
1,767_FED_20190418b_3T2_PL2017,S, 337,0.328433
1,767_FED_20190418b_3T2_PL2017,N, 337,0.137833
1,768_FED_20190517a_3T2_PL2017,S, 337,1.359253
1,768_FED_20190517a_3T2_PL2017,N, 337,0.449092
1,769_FED_20190522a_3T2_PL2017,S, 337,0.996749
1,769_FED_20190522a_3T2_PL2017,N, 337,0.215887
1,770_FED_20190523b_3T2_PL2017,S, 337,0.134352
1,770_FED_20190523b_3T2_PL2017,N, 337,-0.019376
1,773_FED_20190605c_3T2_PL2017,S, 337,-0.083145
1,773_FED_20190605c_3T2_PL2017,N, 337,-0.078837
1,774_FED_20190605b_3T2_PL2017,S, 337,-0.270827
1,774_FED_20190605b_3T2_PL2017,N, 337,-0.237519
1,775_FED_20190611a_3T2_PL2017,S, 337,-0.045952
1,775_FED_20190611a_3T2_PL2017,N, 337,-0.154854
1,778_FED_20190614b_3T2_PL2017,S, 337,0.838009
1,778_FED_20190614b_3T2_PL2017,N, 337,0.059575
1,863_FED_20211124a_3T1_PL2017,S, 337,0.082660
1,863_FED_20211124a_3T1_PL2017,N, 337,-0.238433
