ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,H, 0,NaN
1,249_FED_20160519a_3T1_PL2017,E, 0,NaN
1,252_FED_20160907b_3T2_PL2017,H, 0,NaN
1,252_FED_20160907b_3T2_PL2017,E, 0,NaN
1,291_FED_20160803c_3T1_PL2017,H, 0,NaN
1,291_FED_20160803c_3T1_PL2017,E, 0,NaN
1,301_FED_20160908b_3T1_PL2017,H, 0,NaN
1,301_FED_20160908b_3T1_PL2017,E, 0,NaN
1,376_FED_20160519b_3T1_PL2017,H, 0,NaN
1,376_FED_20160519b_3T1_PL2017,E, 0,NaN
1,399_FED_20160519d_3T1_PL2017,H, 0,NaN
1,399_FED_20160519d_3T1_PL2017,E, 0,NaN
1,400_FED_20160520a_3T1_PL2017,H, 0,NaN
1,400_FED_20160520a_3T1_PL2017,E, 0,NaN
1,401_FED_20160520d_3T1_PL2017,H, 0,NaN
1,401_FED_20160520d_3T1_PL2017,E, 0,NaN
1,419_FED_20160805a_3T1_PL2017,H, 0,NaN
1,419_FED_20160805a_3T1_PL2017,E, 0,NaN
1,420_FED_20160805b_3T1_PL2017,H, 0,NaN
1,420_FED_20160805b_3T1_PL2017,E, 0,NaN
1,426_FED_20160908d_3T1_PL2017,H, 0,NaN
1,426_FED_20160908d_3T1_PL2017,E, 0,NaN
1,682_FED_20190426a_3T2_PL2017,H, 0,NaN
1,682_FED_20190426a_3T2_PL2017,E, 0,NaN
1,767_FED_20190418b_3T2_PL2017,H, 0,NaN
1,767_FED_20190418b_3T2_PL2017,E, 0,NaN
1,769_FED_20190522a_3T2_PL2017,H, 0,NaN
1,769_FED_20190522a_3T2_PL2017,E, 0,NaN
1,770_FED_20190523b_3T2_PL2017,H, 0,NaN
1,770_FED_20190523b_3T2_PL2017,E, 0,NaN
1,773_FED_20190605c_3T2_PL2017,H, 0,NaN
1,773_FED_20190605c_3T2_PL2017,E, 0,NaN
1,774_FED_20190605b_3T2_PL2017,H, 0,NaN
1,774_FED_20190605b_3T2_PL2017,E, 0,NaN
1,775_FED_20190611a_3T2_PL2017,H, 0,NaN
1,775_FED_20190611a_3T2_PL2017,E, 0,NaN
1,778_FED_20190614b_3T2_PL2017,H, 0,NaN
1,778_FED_20190614b_3T2_PL2017,E, 0,NaN
1,863_FED_20211124a_3T1_PL2017,H, 0,NaN
1,863_FED_20211124a_3T1_PL2017,E, 0,NaN
2,249_FED_20160519a_3T1_PL2017,H, 178,1.526565
2,249_FED_20160519a_3T1_PL2017,E, 178,0.859415
2,252_FED_20160907b_3T2_PL2017,H, 178,4.793353
2,252_FED_20160907b_3T2_PL2017,E, 178,2.693056
2,291_FED_20160803c_3T1_PL2017,H, 178,2.223702
2,291_FED_20160803c_3T1_PL2017,E, 178,1.737141
2,301_FED_20160908b_3T1_PL2017,H, 178,1.994511
2,301_FED_20160908b_3T1_PL2017,E, 178,0.931164
2,376_FED_20160519b_3T1_PL2017,H, 178,1.066289
2,376_FED_20160519b_3T1_PL2017,E, 178,0.487686
2,399_FED_20160519d_3T1_PL2017,H, 178,-0.020903
2,399_FED_20160519d_3T1_PL2017,E, 178,-0.126691
2,400_FED_20160520a_3T1_PL2017,H, 178,1.062650
2,400_FED_20160520a_3T1_PL2017,E, 178,0.192285
2,401_FED_20160520d_3T1_PL2017,H, 178,1.892643
2,401_FED_20160520d_3T1_PL2017,E, 178,1.330115
2,419_FED_20160805a_3T1_PL2017,H, 178,0.109317
2,419_FED_20160805a_3T1_PL2017,E, 178,-0.047663
2,420_FED_20160805b_3T1_PL2017,H, 178,1.358880
2,420_FED_20160805b_3T1_PL2017,E, 178,0.721136
2,426_FED_20160908d_3T1_PL2017,H, 178,1.384357
2,426_FED_20160908d_3T1_PL2017,E, 178,1.008207
2,682_FED_20190426a_3T2_PL2017,H, 178,0.409260
2,682_FED_20190426a_3T2_PL2017,E, 178,0.295462
2,767_FED_20190418b_3T2_PL2017,H, 178,0.344757
2,767_FED_20190418b_3T2_PL2017,E, 178,0.032732
2,769_FED_20190522a_3T2_PL2017,H, 178,1.223229
2,769_FED_20190522a_3T2_PL2017,E, 178,1.327757
2,770_FED_20190523b_3T2_PL2017,H, 178,0.659207
2,770_FED_20190523b_3T2_PL2017,E, 178,0.259048
2,773_FED_20190605c_3T2_PL2017,H, 178,0.774424
2,773_FED_20190605c_3T2_PL2017,E, 178,0.723299
2,774_FED_20190605b_3T2_PL2017,H, 178,3.192319
2,774_FED_20190605b_3T2_PL2017,E, 178,1.787806
2,775_FED_20190611a_3T2_PL2017,H, 178,0.903363
2,775_FED_20190611a_3T2_PL2017,E, 178,0.775128
2,778_FED_20190614b_3T2_PL2017,H, 178,1.778543
2,778_FED_20190614b_3T2_PL2017,E, 178,1.248857
2,863_FED_20211124a_3T1_PL2017,H, 178,2.833013
2,863_FED_20211124a_3T1_PL2017,E, 178,2.048815
3,249_FED_20160519a_3T1_PL2017,H, 0,NaN
3,249_FED_20160519a_3T1_PL2017,E, 0,NaN
3,252_FED_20160907b_3T2_PL2017,H, 0,NaN
3,252_FED_20160907b_3T2_PL2017,E, 0,NaN
3,291_FED_20160803c_3T1_PL2017,H, 0,NaN
3,291_FED_20160803c_3T1_PL2017,E, 0,NaN
3,301_FED_20160908b_3T1_PL2017,H, 0,NaN
3,301_FED_20160908b_3T1_PL2017,E, 0,NaN
3,376_FED_20160519b_3T1_PL2017,H, 0,NaN
3,376_FED_20160519b_3T1_PL2017,E, 0,NaN
3,399_FED_20160519d_3T1_PL2017,H, 0,NaN
3,399_FED_20160519d_3T1_PL2017,E, 0,NaN
3,400_FED_20160520a_3T1_PL2017,H, 0,NaN
3,400_FED_20160520a_3T1_PL2017,E, 0,NaN
3,401_FED_20160520d_3T1_PL2017,H, 0,NaN
3,401_FED_20160520d_3T1_PL2017,E, 0,NaN
3,419_FED_20160805a_3T1_PL2017,H, 0,NaN
3,419_FED_20160805a_3T1_PL2017,E, 0,NaN
3,420_FED_20160805b_3T1_PL2017,H, 0,NaN
3,420_FED_20160805b_3T1_PL2017,E, 0,NaN
3,426_FED_20160908d_3T1_PL2017,H, 0,NaN
3,426_FED_20160908d_3T1_PL2017,E, 0,NaN
