ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Sem-photo, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Perc-photo, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Sem-sent, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Perc-sent, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Sem-photo, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Perc-photo, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Sem-sent, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Perc-sent, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Sem-photo, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Perc-photo, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Sem-sent, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Perc-sent, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Sem-photo, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Perc-photo, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Sem-sent, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Perc-sent, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Sem-photo, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Perc-photo, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Sem-sent, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Perc-sent, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Sem-photo, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Perc-photo, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Sem-sent, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Perc-sent, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Sem-photo, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Perc-photo, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Sem-sent, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Perc-sent, 0,NaN
2,291_FED_20160803c_3T1_PL2017,Sem-photo, 178,3.169918
2,291_FED_20160803c_3T1_PL2017,Perc-photo, 178,3.664430
2,291_FED_20160803c_3T1_PL2017,Sem-sent, 178,2.680789
2,291_FED_20160803c_3T1_PL2017,Perc-sent, 178,3.618803
2,400_FED_20160520a_3T1_PL2017,Sem-photo, 178,0.715064
2,400_FED_20160520a_3T1_PL2017,Perc-photo, 178,0.503610
2,400_FED_20160520a_3T1_PL2017,Sem-sent, 178,0.581815
2,400_FED_20160520a_3T1_PL2017,Perc-sent, 178,0.566492
2,419_FED_20160805a_3T1_PL2017,Sem-photo, 178,0.497118
2,419_FED_20160805a_3T1_PL2017,Perc-photo, 178,0.649502
2,419_FED_20160805a_3T1_PL2017,Sem-sent, 178,0.400304
2,419_FED_20160805a_3T1_PL2017,Perc-sent, 178,0.720903
2,773_FED_20190605c_3T2_PL2017,Sem-photo, 178,1.256395
2,773_FED_20190605c_3T2_PL2017,Perc-photo, 178,3.232729
2,773_FED_20190605c_3T2_PL2017,Sem-sent, 178,0.240030
2,773_FED_20190605c_3T2_PL2017,Perc-sent, 178,2.820655
2,774_FED_20190605b_3T2_PL2017,Sem-photo, 178,2.559865
2,774_FED_20190605b_3T2_PL2017,Perc-photo, 178,3.231631
2,774_FED_20190605b_3T2_PL2017,Sem-sent, 178,1.516612
2,774_FED_20190605b_3T2_PL2017,Perc-sent, 178,2.576942
2,775_FED_20190611a_3T2_PL2017,Sem-photo, 178,2.049651
2,775_FED_20190611a_3T2_PL2017,Perc-photo, 178,1.909742
2,775_FED_20190611a_3T2_PL2017,Sem-sent, 178,1.638213
2,775_FED_20190611a_3T2_PL2017,Perc-sent, 178,1.508726
2,778_FED_20190614b_3T2_PL2017,Sem-photo, 178,3.335496
2,778_FED_20190614b_3T2_PL2017,Perc-photo, 178,1.296259
2,778_FED_20190614b_3T2_PL2017,Sem-sent, 178,1.028810
2,778_FED_20190614b_3T2_PL2017,Perc-sent, 178,-0.182349
3,291_FED_20160803c_3T1_PL2017,Sem-photo, 0,NaN
3,291_FED_20160803c_3T1_PL2017,Perc-photo, 0,NaN
3,291_FED_20160803c_3T1_PL2017,Sem-sent, 0,NaN
3,291_FED_20160803c_3T1_PL2017,Perc-sent, 0,NaN
3,400_FED_20160520a_3T1_PL2017,Sem-photo, 0,NaN
3,400_FED_20160520a_3T1_PL2017,Perc-photo, 0,NaN
3,400_FED_20160520a_3T1_PL2017,Sem-sent, 0,NaN
3,400_FED_20160520a_3T1_PL2017,Perc-sent, 0,NaN
3,419_FED_20160805a_3T1_PL2017,Sem-photo, 0,NaN
3,419_FED_20160805a_3T1_PL2017,Perc-photo, 0,NaN
3,419_FED_20160805a_3T1_PL2017,Sem-sent, 0,NaN
3,419_FED_20160805a_3T1_PL2017,Perc-sent, 0,NaN
3,773_FED_20190605c_3T2_PL2017,Sem-photo, 0,NaN
3,773_FED_20190605c_3T2_PL2017,Perc-photo, 0,NaN
3,773_FED_20190605c_3T2_PL2017,Sem-sent, 0,NaN
3,773_FED_20190605c_3T2_PL2017,Perc-sent, 0,NaN
3,774_FED_20190605b_3T2_PL2017,Sem-photo, 0,NaN
3,774_FED_20190605b_3T2_PL2017,Perc-photo, 0,NaN
3,774_FED_20190605b_3T2_PL2017,Sem-sent, 0,NaN
3,774_FED_20190605b_3T2_PL2017,Perc-sent, 0,NaN
3,775_FED_20190611a_3T2_PL2017,Sem-photo, 0,NaN
3,775_FED_20190611a_3T2_PL2017,Perc-photo, 0,NaN
3,775_FED_20190611a_3T2_PL2017,Sem-sent, 0,NaN
3,775_FED_20190611a_3T2_PL2017,Perc-sent, 0,NaN
3,778_FED_20190614b_3T2_PL2017,Sem-photo, 0,NaN
3,778_FED_20190614b_3T2_PL2017,Perc-photo, 0,NaN
3,778_FED_20190614b_3T2_PL2017,Sem-sent, 0,NaN
3,778_FED_20190614b_3T2_PL2017,Perc-sent, 0,NaN
4,291_FED_20160803c_3T1_PL2017,Sem-photo, 116,2.972751
4,291_FED_20160803c_3T1_PL2017,Perc-photo, 116,3.218572
4,291_FED_20160803c_3T1_PL2017,Sem-sent, 116,2.497628
4,291_FED_20160803c_3T1_PL2017,Perc-sent, 116,3.043898
4,400_FED_20160520a_3T1_PL2017,Sem-photo, 116,0.203933
4,400_FED_20160520a_3T1_PL2017,Perc-photo, 116,0.996988
4,400_FED_20160520a_3T1_PL2017,Sem-sent, 116,-0.413572
4,400_FED_20160520a_3T1_PL2017,Perc-sent, 116,0.979497
4,419_FED_20160805a_3T1_PL2017,Sem-photo, 116,-0.019514
4,419_FED_20160805a_3T1_PL2017,Perc-photo, 116,-0.401005
4,419_FED_20160805a_3T1_PL2017,Sem-sent, 116,-0.112872
4,419_FED_20160805a_3T1_PL2017,Perc-sent, 116,0.453013
4,773_FED_20190605c_3T2_PL2017,Sem-photo, 116,-0.263098
4,773_FED_20190605c_3T2_PL2017,Perc-photo, 116,0.835714
4,773_FED_20190605c_3T2_PL2017,Sem-sent, 116,-1.081298
4,773_FED_20190605c_3T2_PL2017,Perc-sent, 116,0.318179
4,774_FED_20190605b_3T2_PL2017,Sem-photo, 116,5.917348
4,774_FED_20190605b_3T2_PL2017,Perc-photo, 116,4.543588
4,774_FED_20190605b_3T2_PL2017,Sem-sent, 116,4.707019
4,774_FED_20190605b_3T2_PL2017,Perc-sent, 116,2.592788
4,775_FED_20190611a_3T2_PL2017,Sem-photo, 116,0.876153
4,775_FED_20190611a_3T2_PL2017,Perc-photo, 116,0.356257
4,775_FED_20190611a_3T2_PL2017,Sem-sent, 116,0.586541
4,775_FED_20190611a_3T2_PL2017,Perc-sent, 116,0.386218
4,778_FED_20190614b_3T2_PL2017,Sem-photo, 116,0.472988
4,778_FED_20190614b_3T2_PL2017,Perc-photo, 116,-1.189696
4,778_FED_20190614b_3T2_PL2017,Sem-sent, 116,-0.710894
4,778_FED_20190614b_3T2_PL2017,Perc-sent, 116,-1.492714
5,291_FED_20160803c_3T1_PL2017,Sem-photo, 0,NaN
5,291_FED_20160803c_3T1_PL2017,Perc-photo, 0,NaN
5,291_FED_20160803c_3T1_PL2017,Sem-sent, 0,NaN
5,291_FED_20160803c_3T1_PL2017,Perc-sent, 0,NaN
5,400_FED_20160520a_3T1_PL2017,Sem-photo, 0,NaN
5,400_FED_20160520a_3T1_PL2017,Perc-photo, 0,NaN
5,400_FED_20160520a_3T1_PL2017,Sem-sent, 0,NaN
5,400_FED_20160520a_3T1_PL2017,Perc-sent, 0,NaN
5,419_FED_20160805a_3T1_PL2017,Sem-photo, 0,NaN
5,419_FED_20160805a_3T1_PL2017,Perc-photo, 0,NaN
5,419_FED_20160805a_3T1_PL2017,Sem-sent, 0,NaN
5,419_FED_20160805a_3T1_PL2017,Perc-sent, 0,NaN
5,773_FED_20190605c_3T2_PL2017,Sem-photo, 0,NaN
5,773_FED_20190605c_3T2_PL2017,Perc-photo, 0,NaN
5,773_FED_20190605c_3T2_PL2017,Sem-sent, 0,NaN
