ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Sem-photo, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Perc-photo, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Sem-sent, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Perc-sent, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Sem-photo, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Perc-photo, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Sem-sent, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Perc-sent, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Sem-photo, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Perc-photo, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Sem-sent, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Perc-sent, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Sem-photo, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Perc-photo, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Sem-sent, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Perc-sent, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Sem-photo, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Perc-photo, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Sem-sent, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Perc-sent, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Sem-photo, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Perc-photo, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Sem-sent, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Perc-sent, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Sem-photo, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Perc-photo, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Sem-sent, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Perc-sent, 0,NaN
2,291_FED_20160803c_3T1_PL2017,Sem-photo, 178,2.376608
2,291_FED_20160803c_3T1_PL2017,Perc-photo, 178,3.160683
2,291_FED_20160803c_3T1_PL2017,Sem-sent, 178,1.744355
2,291_FED_20160803c_3T1_PL2017,Perc-sent, 178,2.763609
2,400_FED_20160520a_3T1_PL2017,Sem-photo, 178,1.049892
2,400_FED_20160520a_3T1_PL2017,Perc-photo, 178,0.682757
2,400_FED_20160520a_3T1_PL2017,Sem-sent, 178,0.715005
2,400_FED_20160520a_3T1_PL2017,Perc-sent, 178,0.393230
2,419_FED_20160805a_3T1_PL2017,Sem-photo, 178,0.891009
2,419_FED_20160805a_3T1_PL2017,Perc-photo, 178,1.225834
2,419_FED_20160805a_3T1_PL2017,Sem-sent, 178,0.431682
2,419_FED_20160805a_3T1_PL2017,Perc-sent, 178,1.626160
2,773_FED_20190605c_3T2_PL2017,Sem-photo, 178,-0.493887
2,773_FED_20190605c_3T2_PL2017,Perc-photo, 178,-0.330712
2,773_FED_20190605c_3T2_PL2017,Sem-sent, 178,-0.728089
2,773_FED_20190605c_3T2_PL2017,Perc-sent, 178,-0.289652
2,774_FED_20190605b_3T2_PL2017,Sem-photo, 178,2.079480
2,774_FED_20190605b_3T2_PL2017,Perc-photo, 178,2.307541
2,774_FED_20190605b_3T2_PL2017,Sem-sent, 178,1.524483
2,774_FED_20190605b_3T2_PL2017,Perc-sent, 178,1.559890
2,775_FED_20190611a_3T2_PL2017,Sem-photo, 178,3.049733
2,775_FED_20190611a_3T2_PL2017,Perc-photo, 178,2.573373
2,775_FED_20190611a_3T2_PL2017,Sem-sent, 178,2.272482
2,775_FED_20190611a_3T2_PL2017,Perc-sent, 178,2.227996
2,778_FED_20190614b_3T2_PL2017,Sem-photo, 178,2.959582
2,778_FED_20190614b_3T2_PL2017,Perc-photo, 178,1.452485
2,778_FED_20190614b_3T2_PL2017,Sem-sent, 178,1.283997
2,778_FED_20190614b_3T2_PL2017,Perc-sent, 178,0.193095
3,291_FED_20160803c_3T1_PL2017,Sem-photo, 0,NaN
3,291_FED_20160803c_3T1_PL2017,Perc-photo, 0,NaN
3,291_FED_20160803c_3T1_PL2017,Sem-sent, 0,NaN
3,291_FED_20160803c_3T1_PL2017,Perc-sent, 0,NaN
3,400_FED_20160520a_3T1_PL2017,Sem-photo, 0,NaN
3,400_FED_20160520a_3T1_PL2017,Perc-photo, 0,NaN
3,400_FED_20160520a_3T1_PL2017,Sem-sent, 0,NaN
3,400_FED_20160520a_3T1_PL2017,Perc-sent, 0,NaN
3,419_FED_20160805a_3T1_PL2017,Sem-photo, 0,NaN
3,419_FED_20160805a_3T1_PL2017,Perc-photo, 0,NaN
3,419_FED_20160805a_3T1_PL2017,Sem-sent, 0,NaN
3,419_FED_20160805a_3T1_PL2017,Perc-sent, 0,NaN
3,773_FED_20190605c_3T2_PL2017,Sem-photo, 0,NaN
3,773_FED_20190605c_3T2_PL2017,Perc-photo, 0,NaN
3,773_FED_20190605c_3T2_PL2017,Sem-sent, 0,NaN
3,773_FED_20190605c_3T2_PL2017,Perc-sent, 0,NaN
3,774_FED_20190605b_3T2_PL2017,Sem-photo, 0,NaN
3,774_FED_20190605b_3T2_PL2017,Perc-photo, 0,NaN
3,774_FED_20190605b_3T2_PL2017,Sem-sent, 0,NaN
3,774_FED_20190605b_3T2_PL2017,Perc-sent, 0,NaN
3,775_FED_20190611a_3T2_PL2017,Sem-photo, 0,NaN
3,775_FED_20190611a_3T2_PL2017,Perc-photo, 0,NaN
3,775_FED_20190611a_3T2_PL2017,Sem-sent, 0,NaN
3,775_FED_20190611a_3T2_PL2017,Perc-sent, 0,NaN
3,778_FED_20190614b_3T2_PL2017,Sem-photo, 0,NaN
3,778_FED_20190614b_3T2_PL2017,Perc-photo, 0,NaN
3,778_FED_20190614b_3T2_PL2017,Sem-sent, 0,NaN
3,778_FED_20190614b_3T2_PL2017,Perc-sent, 0,NaN
4,291_FED_20160803c_3T1_PL2017,Sem-photo, 116,3.959688
4,291_FED_20160803c_3T1_PL2017,Perc-photo, 116,3.479267
4,291_FED_20160803c_3T1_PL2017,Sem-sent, 116,2.863272
4,291_FED_20160803c_3T1_PL2017,Perc-sent, 116,2.871954
4,400_FED_20160520a_3T1_PL2017,Sem-photo, 116,1.093063
4,400_FED_20160520a_3T1_PL2017,Perc-photo, 116,0.785801
4,400_FED_20160520a_3T1_PL2017,Sem-sent, 116,0.326483
4,400_FED_20160520a_3T1_PL2017,Perc-sent, 116,0.011055
4,419_FED_20160805a_3T1_PL2017,Sem-photo, 116,1.929340
4,419_FED_20160805a_3T1_PL2017,Perc-photo, 116,1.559735
4,419_FED_20160805a_3T1_PL2017,Sem-sent, 116,0.549916
4,419_FED_20160805a_3T1_PL2017,Perc-sent, 116,1.184562
4,773_FED_20190605c_3T2_PL2017,Sem-photo, 116,0.143648
4,773_FED_20190605c_3T2_PL2017,Perc-photo, 116,-0.264324
4,773_FED_20190605c_3T2_PL2017,Sem-sent, 116,0.046188
4,773_FED_20190605c_3T2_PL2017,Perc-sent, 116,-0.383959
4,774_FED_20190605b_3T2_PL2017,Sem-photo, 116,1.431356
4,774_FED_20190605b_3T2_PL2017,Perc-photo, 116,1.286761
4,774_FED_20190605b_3T2_PL2017,Sem-sent, 116,0.895087
4,774_FED_20190605b_3T2_PL2017,Perc-sent, 116,1.038109
4,775_FED_20190611a_3T2_PL2017,Sem-photo, 116,1.691939
4,775_FED_20190611a_3T2_PL2017,Perc-photo, 116,1.263687
4,775_FED_20190611a_3T2_PL2017,Sem-sent, 116,1.096977
4,775_FED_20190611a_3T2_PL2017,Perc-sent, 116,1.082823
4,778_FED_20190614b_3T2_PL2017,Sem-photo, 116,0.295213
4,778_FED_20190614b_3T2_PL2017,Perc-photo, 116,-0.291749
4,778_FED_20190614b_3T2_PL2017,Sem-sent, 116,-0.140019
4,778_FED_20190614b_3T2_PL2017,Perc-sent, 116,-0.630611
5,291_FED_20160803c_3T1_PL2017,Sem-photo, 0,NaN
5,291_FED_20160803c_3T1_PL2017,Perc-photo, 0,NaN
5,291_FED_20160803c_3T1_PL2017,Sem-sent, 0,NaN
5,291_FED_20160803c_3T1_PL2017,Perc-sent, 0,NaN
5,400_FED_20160520a_3T1_PL2017,Sem-photo, 0,NaN
5,400_FED_20160520a_3T1_PL2017,Perc-photo, 0,NaN
5,400_FED_20160520a_3T1_PL2017,Sem-sent, 0,NaN
5,400_FED_20160520a_3T1_PL2017,Perc-sent, 0,NaN
5,419_FED_20160805a_3T1_PL2017,Sem-photo, 0,NaN
5,419_FED_20160805a_3T1_PL2017,Perc-photo, 0,NaN
5,419_FED_20160805a_3T1_PL2017,Sem-sent, 0,NaN
5,419_FED_20160805a_3T1_PL2017,Perc-sent, 0,NaN
5,773_FED_20190605c_3T2_PL2017,Sem-photo, 0,NaN
5,773_FED_20190605c_3T2_PL2017,Perc-photo, 0,NaN
5,773_FED_20190605c_3T2_PL2017,Sem-sent, 0,NaN
