ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,Sem_photo, 0,NaN
1,040_KAN_langevents_01_PL2017,Perc_photo, 0,NaN
1,040_KAN_langevents_01_PL2017,Sem_sent, 0,NaN
1,040_KAN_langevents_01_PL2017,Perc_sent, 0,NaN
1,057_KAN_langevents_02_PL2017,Sem_photo, 0,NaN
1,057_KAN_langevents_02_PL2017,Perc_photo, 0,NaN
1,057_KAN_langevents_02_PL2017,Sem_sent, 0,NaN
1,057_KAN_langevents_02_PL2017,Perc_sent, 0,NaN
1,059_KAN_langevents_04_PL2017,Sem_photo, 0,NaN
1,059_KAN_langevents_04_PL2017,Perc_photo, 0,NaN
1,059_KAN_langevents_04_PL2017,Sem_sent, 0,NaN
1,059_KAN_langevents_04_PL2017,Perc_sent, 0,NaN
1,056_KAN_langevents_05_PL2017,Sem_photo, 0,NaN
1,056_KAN_langevents_05_PL2017,Perc_photo, 0,NaN
1,056_KAN_langevents_05_PL2017,Sem_sent, 0,NaN
1,056_KAN_langevents_05_PL2017,Perc_sent, 0,NaN
1,067_KAN_langevents_06_PL2017,Sem_photo, 0,NaN
1,067_KAN_langevents_06_PL2017,Perc_photo, 0,NaN
1,067_KAN_langevents_06_PL2017,Sem_sent, 0,NaN
1,067_KAN_langevents_06_PL2017,Perc_sent, 0,NaN
1,068_KAN_langevents_07_PL2017,Sem_photo, 0,NaN
1,068_KAN_langevents_07_PL2017,Perc_photo, 0,NaN
1,068_KAN_langevents_07_PL2017,Sem_sent, 0,NaN
1,068_KAN_langevents_07_PL2017,Perc_sent, 0,NaN
1,019_KAN_langevents_08_PL2017,Sem_photo, 0,NaN
1,019_KAN_langevents_08_PL2017,Perc_photo, 0,NaN
1,019_KAN_langevents_08_PL2017,Sem_sent, 0,NaN
1,019_KAN_langevents_08_PL2017,Perc_sent, 0,NaN
1,070_KAN_langevents_11_PL2017,Sem_photo, 0,NaN
1,070_KAN_langevents_11_PL2017,Perc_photo, 0,NaN
1,070_KAN_langevents_11_PL2017,Sem_sent, 0,NaN
1,070_KAN_langevents_11_PL2017,Perc_sent, 0,NaN
1,087_KAN_langevents_12_PL2017,Sem_photo, 0,NaN
1,087_KAN_langevents_12_PL2017,Perc_photo, 0,NaN
1,087_KAN_langevents_12_PL2017,Sem_sent, 0,NaN
1,087_KAN_langevents_12_PL2017,Perc_sent, 0,NaN
1,078_KAN_langevents_13_PL2017,Sem_photo, 0,NaN
1,078_KAN_langevents_13_PL2017,Perc_photo, 0,NaN
1,078_KAN_langevents_13_PL2017,Sem_sent, 0,NaN
1,078_KAN_langevents_13_PL2017,Perc_sent, 0,NaN
1,089_KAN_langevents_15_PL2017,Sem_photo, 0,NaN
1,089_KAN_langevents_15_PL2017,Perc_photo, 0,NaN
1,089_KAN_langevents_15_PL2017,Sem_sent, 0,NaN
1,089_KAN_langevents_15_PL2017,Perc_sent, 0,NaN
1,076_KAN_langevents_16_PL2017,Sem_photo, 0,NaN
1,076_KAN_langevents_16_PL2017,Perc_photo, 0,NaN
1,076_KAN_langevents_16_PL2017,Sem_sent, 0,NaN
1,076_KAN_langevents_16_PL2017,Perc_sent, 0,NaN
2,040_KAN_langevents_01_PL2017,Sem_photo, 178,1.782617
2,040_KAN_langevents_01_PL2017,Perc_photo, 178,1.141708
2,040_KAN_langevents_01_PL2017,Sem_sent, 178,1.908830
2,040_KAN_langevents_01_PL2017,Perc_sent, 178,0.758899
2,057_KAN_langevents_02_PL2017,Sem_photo, 178,2.504656
2,057_KAN_langevents_02_PL2017,Perc_photo, 178,0.310283
2,057_KAN_langevents_02_PL2017,Sem_sent, 178,2.901398
2,057_KAN_langevents_02_PL2017,Perc_sent, 178,0.504133
2,059_KAN_langevents_04_PL2017,Sem_photo, 178,2.352712
2,059_KAN_langevents_04_PL2017,Perc_photo, 178,0.059125
2,059_KAN_langevents_04_PL2017,Sem_sent, 178,2.113357
2,059_KAN_langevents_04_PL2017,Perc_sent, 178,0.465813
2,056_KAN_langevents_05_PL2017,Sem_photo, 178,2.487598
2,056_KAN_langevents_05_PL2017,Perc_photo, 178,0.646605
2,056_KAN_langevents_05_PL2017,Sem_sent, 178,3.036092
2,056_KAN_langevents_05_PL2017,Perc_sent, 178,0.794833
2,067_KAN_langevents_06_PL2017,Sem_photo, 178,1.568234
2,067_KAN_langevents_06_PL2017,Perc_photo, 178,0.606821
2,067_KAN_langevents_06_PL2017,Sem_sent, 178,1.942346
2,067_KAN_langevents_06_PL2017,Perc_sent, 178,0.186515
2,068_KAN_langevents_07_PL2017,Sem_photo, 178,1.879327
2,068_KAN_langevents_07_PL2017,Perc_photo, 178,2.029907
2,068_KAN_langevents_07_PL2017,Sem_sent, 178,2.804214
2,068_KAN_langevents_07_PL2017,Perc_sent, 178,1.487209
2,019_KAN_langevents_08_PL2017,Sem_photo, 178,-0.305452
2,019_KAN_langevents_08_PL2017,Perc_photo, 178,-0.078148
2,019_KAN_langevents_08_PL2017,Sem_sent, 178,-0.349322
2,019_KAN_langevents_08_PL2017,Perc_sent, 178,-0.293246
2,070_KAN_langevents_11_PL2017,Sem_photo, 178,2.783660
2,070_KAN_langevents_11_PL2017,Perc_photo, 178,0.151256
2,070_KAN_langevents_11_PL2017,Sem_sent, 178,3.056316
2,070_KAN_langevents_11_PL2017,Perc_sent, 178,-0.050074
