ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,Pic_Sem, 0,NaN
1,249_FED_20160519a_3T1_PL2017,Pic_Perc, 0,NaN
1,249_FED_20160519a_3T1_PL2017,Sent_Sem, 0,NaN
1,249_FED_20160519a_3T1_PL2017,Sent_Perc, 0,NaN
1,252_FED_20160907b_3T2_PL2017,Pic_Sem, 0,NaN
1,252_FED_20160907b_3T2_PL2017,Pic_Perc, 0,NaN
1,252_FED_20160907b_3T2_PL2017,Sent_Sem, 0,NaN
1,252_FED_20160907b_3T2_PL2017,Sent_Perc, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 0,NaN
1,301_FED_20160908b_3T1_PL2017,Pic_Sem, 0,NaN
1,301_FED_20160908b_3T1_PL2017,Pic_Perc, 0,NaN
1,301_FED_20160908b_3T1_PL2017,Sent_Sem, 0,NaN
1,301_FED_20160908b_3T1_PL2017,Sent_Perc, 0,NaN
1,376_FED_20160519b_3T1_PL2017,Pic_Sem, 0,NaN
1,376_FED_20160519b_3T1_PL2017,Pic_Perc, 0,NaN
1,376_FED_20160519b_3T1_PL2017,Sent_Sem, 0,NaN
1,376_FED_20160519b_3T1_PL2017,Sent_Perc, 0,NaN
1,399_FED_20160519d_3T1_PL2017,Pic_Sem, 0,NaN
1,399_FED_20160519d_3T1_PL2017,Pic_Perc, 0,NaN
1,399_FED_20160519d_3T1_PL2017,Sent_Sem, 0,NaN
1,399_FED_20160519d_3T1_PL2017,Sent_Perc, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 0,NaN
1,401_FED_20160520d_3T1_PL2017,Pic_Sem, 0,NaN
1,401_FED_20160520d_3T1_PL2017,Pic_Perc, 0,NaN
1,401_FED_20160520d_3T1_PL2017,Sent_Sem, 0,NaN
1,401_FED_20160520d_3T1_PL2017,Sent_Perc, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 0,NaN
1,420_FED_20160805b_3T1_PL2017,Pic_Sem, 0,NaN
1,420_FED_20160805b_3T1_PL2017,Pic_Perc, 0,NaN
1,420_FED_20160805b_3T1_PL2017,Sent_Sem, 0,NaN
1,420_FED_20160805b_3T1_PL2017,Sent_Perc, 0,NaN
1,426_FED_20160908d_3T1_PL2017,Pic_Sem, 0,NaN
1,426_FED_20160908d_3T1_PL2017,Pic_Perc, 0,NaN
1,426_FED_20160908d_3T1_PL2017,Sent_Sem, 0,NaN
1,426_FED_20160908d_3T1_PL2017,Sent_Perc, 0,NaN
1,682_FED_20190426a_3T2_PL2017,Pic_Sem, 0,NaN
1,682_FED_20190426a_3T2_PL2017,Pic_Perc, 0,NaN
1,682_FED_20190426a_3T2_PL2017,Sent_Sem, 0,NaN
1,682_FED_20190426a_3T2_PL2017,Sent_Perc, 0,NaN
1,767_FED_20190418b_3T2_PL2017,Pic_Sem, 0,NaN
1,767_FED_20190418b_3T2_PL2017,Pic_Perc, 0,NaN
1,767_FED_20190418b_3T2_PL2017,Sent_Sem, 0,NaN
1,767_FED_20190418b_3T2_PL2017,Sent_Perc, 0,NaN
1,768_FED_20190517a_3T2_PL2017,Pic_Sem, 0,NaN
1,768_FED_20190517a_3T2_PL2017,Pic_Perc, 0,NaN
1,768_FED_20190517a_3T2_PL2017,Sent_Sem, 0,NaN
1,768_FED_20190517a_3T2_PL2017,Sent_Perc, 0,NaN
1,769_FED_20190522a_3T2_PL2017,Pic_Sem, 0,NaN
1,769_FED_20190522a_3T2_PL2017,Pic_Perc, 0,NaN
1,769_FED_20190522a_3T2_PL2017,Sent_Sem, 0,NaN
1,769_FED_20190522a_3T2_PL2017,Sent_Perc, 0,NaN
1,770_FED_20190523b_3T2_PL2017,Pic_Sem, 0,NaN
1,770_FED_20190523b_3T2_PL2017,Pic_Perc, 0,NaN
1,770_FED_20190523b_3T2_PL2017,Sent_Sem, 0,NaN
1,770_FED_20190523b_3T2_PL2017,Sent_Perc, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 0,NaN
1,863_FED_20211124a_3T1_PL2017,Pic_Sem, 0,NaN
1,863_FED_20211124a_3T1_PL2017,Pic_Perc, 0,NaN
1,863_FED_20211124a_3T1_PL2017,Sent_Sem, 0,NaN
1,863_FED_20211124a_3T1_PL2017,Sent_Perc, 0,NaN
2,249_FED_20160519a_3T1_PL2017,Pic_Sem, 178,0.905311
2,249_FED_20160519a_3T1_PL2017,Pic_Perc, 178,1.167874
2,249_FED_20160519a_3T1_PL2017,Sent_Sem, 178,1.034453
2,249_FED_20160519a_3T1_PL2017,Sent_Perc, 178,1.489509
2,252_FED_20160907b_3T2_PL2017,Pic_Sem, 178,2.795233
2,252_FED_20160907b_3T2_PL2017,Pic_Perc, 178,2.070732
2,252_FED_20160907b_3T2_PL2017,Sent_Sem, 178,3.103685
2,252_FED_20160907b_3T2_PL2017,Sent_Perc, 178,1.991721
2,291_FED_20160803c_3T1_PL2017,Pic_Sem, 178,0.064749
2,291_FED_20160803c_3T1_PL2017,Pic_Perc, 178,-0.120293
2,291_FED_20160803c_3T1_PL2017,Sent_Sem, 178,0.429824
2,291_FED_20160803c_3T1_PL2017,Sent_Perc, 178,0.651567
2,301_FED_20160908b_3T1_PL2017,Pic_Sem, 178,4.646495
2,301_FED_20160908b_3T1_PL2017,Pic_Perc, 178,0.915656
2,301_FED_20160908b_3T1_PL2017,Sent_Sem, 178,4.797877
2,301_FED_20160908b_3T1_PL2017,Sent_Perc, 178,1.564679
2,376_FED_20160519b_3T1_PL2017,Pic_Sem, 178,3.429958
2,376_FED_20160519b_3T1_PL2017,Pic_Perc, 178,1.718611
2,376_FED_20160519b_3T1_PL2017,Sent_Sem, 178,3.555420
2,376_FED_20160519b_3T1_PL2017,Sent_Perc, 178,1.573271
2,399_FED_20160519d_3T1_PL2017,Pic_Sem, 178,0.457635
2,399_FED_20160519d_3T1_PL2017,Pic_Perc, 178,0.321142
2,399_FED_20160519d_3T1_PL2017,Sent_Sem, 178,0.106574
2,399_FED_20160519d_3T1_PL2017,Sent_Perc, 178,0.432865
2,400_FED_20160520a_3T1_PL2017,Pic_Sem, 178,0.325601
2,400_FED_20160520a_3T1_PL2017,Pic_Perc, 178,0.714570
2,400_FED_20160520a_3T1_PL2017,Sent_Sem, 178,0.348928
2,400_FED_20160520a_3T1_PL2017,Sent_Perc, 178,0.120992
2,401_FED_20160520d_3T1_PL2017,Pic_Sem, 178,2.605324
2,401_FED_20160520d_3T1_PL2017,Pic_Perc, 178,0.562644
2,401_FED_20160520d_3T1_PL2017,Sent_Sem, 178,3.957777
2,401_FED_20160520d_3T1_PL2017,Sent_Perc, 178,1.188496
2,419_FED_20160805a_3T1_PL2017,Pic_Sem, 178,0.407694
2,419_FED_20160805a_3T1_PL2017,Pic_Perc, 178,0.519848
2,419_FED_20160805a_3T1_PL2017,Sent_Sem, 178,-0.094460
2,419_FED_20160805a_3T1_PL2017,Sent_Perc, 178,0.255695
2,420_FED_20160805b_3T1_PL2017,Pic_Sem, 178,1.263538
2,420_FED_20160805b_3T1_PL2017,Pic_Perc, 178,1.130834
2,420_FED_20160805b_3T1_PL2017,Sent_Sem, 178,1.110240
2,420_FED_20160805b_3T1_PL2017,Sent_Perc, 178,0.810288
2,426_FED_20160908d_3T1_PL2017,Pic_Sem, 178,-0.457571
2,426_FED_20160908d_3T1_PL2017,Pic_Perc, 178,0.530233
2,426_FED_20160908d_3T1_PL2017,Sent_Sem, 178,0.030100
2,426_FED_20160908d_3T1_PL2017,Sent_Perc, 178,-2.148477
2,682_FED_20190426a_3T2_PL2017,Pic_Sem, 178,3.096868
2,682_FED_20190426a_3T2_PL2017,Pic_Perc, 178,0.274310
2,682_FED_20190426a_3T2_PL2017,Sent_Sem, 178,2.010867
2,682_FED_20190426a_3T2_PL2017,Sent_Perc, 178,1.746499
2,767_FED_20190418b_3T2_PL2017,Pic_Sem, 178,4.740283
2,767_FED_20190418b_3T2_PL2017,Pic_Perc, 178,1.232609
2,767_FED_20190418b_3T2_PL2017,Sent_Sem, 178,5.868629
2,767_FED_20190418b_3T2_PL2017,Sent_Perc, 178,1.560705
2,768_FED_20190517a_3T2_PL2017,Pic_Sem, 178,4.666648
2,768_FED_20190517a_3T2_PL2017,Pic_Perc, 178,1.179998
2,768_FED_20190517a_3T2_PL2017,Sent_Sem, 178,4.522092
2,768_FED_20190517a_3T2_PL2017,Sent_Perc, 178,1.666841
2,769_FED_20190522a_3T2_PL2017,Pic_Sem, 178,3.428584
2,769_FED_20190522a_3T2_PL2017,Pic_Perc, 178,0.456076
2,769_FED_20190522a_3T2_PL2017,Sent_Sem, 178,4.815253
2,769_FED_20190522a_3T2_PL2017,Sent_Perc, 178,1.005703
2,770_FED_20190523b_3T2_PL2017,Pic_Sem, 178,-0.861692
2,770_FED_20190523b_3T2_PL2017,Pic_Perc, 178,-0.414082
2,770_FED_20190523b_3T2_PL2017,Sent_Sem, 178,-0.309256
2,770_FED_20190523b_3T2_PL2017,Sent_Perc, 178,-0.444584
2,773_FED_20190605c_3T2_PL2017,Pic_Sem, 178,-0.004753
2,773_FED_20190605c_3T2_PL2017,Pic_Perc, 178,0.201614
2,773_FED_20190605c_3T2_PL2017,Sent_Sem, 178,-0.207957
2,773_FED_20190605c_3T2_PL2017,Sent_Perc, 178,0.649141
2,774_FED_20190605b_3T2_PL2017,Pic_Sem, 178,2.108506
2,774_FED_20190605b_3T2_PL2017,Pic_Perc, 178,0.234272
2,774_FED_20190605b_3T2_PL2017,Sent_Sem, 178,1.293811
2,774_FED_20190605b_3T2_PL2017,Sent_Perc, 178,1.380861
2,775_FED_20190611a_3T2_PL2017,Pic_Sem, 178,4.372263
2,775_FED_20190611a_3T2_PL2017,Pic_Perc, 178,3.919367
