ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,H, 0,NaN
1,249_FED_20160519a_3T1_PL2017,E, 0,NaN
1,252_FED_20160907b_3T2_PL2017,H, 0,NaN
1,252_FED_20160907b_3T2_PL2017,E, 0,NaN
1,291_FED_20160803c_3T1_PL2017,H, 0,NaN
1,291_FED_20160803c_3T1_PL2017,E, 0,NaN
1,301_FED_20160908b_3T1_PL2017,H, 0,NaN
1,301_FED_20160908b_3T1_PL2017,E, 0,NaN
1,376_FED_20160519b_3T1_PL2017,H, 0,NaN
1,376_FED_20160519b_3T1_PL2017,E, 0,NaN
1,399_FED_20160519d_3T1_PL2017,H, 0,NaN
1,399_FED_20160519d_3T1_PL2017,E, 0,NaN
1,400_FED_20160520a_3T1_PL2017,H, 0,NaN
1,400_FED_20160520a_3T1_PL2017,E, 0,NaN
1,401_FED_20160520d_3T1_PL2017,H, 0,NaN
1,401_FED_20160520d_3T1_PL2017,E, 0,NaN
1,419_FED_20160805a_3T1_PL2017,H, 0,NaN
1,419_FED_20160805a_3T1_PL2017,E, 0,NaN
1,420_FED_20160805b_3T1_PL2017,H, 0,NaN
1,420_FED_20160805b_3T1_PL2017,E, 0,NaN
1,426_FED_20160908d_3T1_PL2017,H, 0,NaN
1,426_FED_20160908d_3T1_PL2017,E, 0,NaN
1,682_FED_20190426a_3T2_PL2017,H, 0,NaN
1,682_FED_20190426a_3T2_PL2017,E, 0,NaN
1,767_FED_20190418b_3T2_PL2017,H, 0,NaN
1,767_FED_20190418b_3T2_PL2017,E, 0,NaN
1,769_FED_20190522a_3T2_PL2017,H, 0,NaN
1,769_FED_20190522a_3T2_PL2017,E, 0,NaN
1,770_FED_20190523b_3T2_PL2017,H, 0,NaN
1,770_FED_20190523b_3T2_PL2017,E, 0,NaN
1,773_FED_20190605c_3T2_PL2017,H, 0,NaN
1,773_FED_20190605c_3T2_PL2017,E, 0,NaN
1,774_FED_20190605b_3T2_PL2017,H, 0,NaN
1,774_FED_20190605b_3T2_PL2017,E, 0,NaN
1,775_FED_20190611a_3T2_PL2017,H, 0,NaN
1,775_FED_20190611a_3T2_PL2017,E, 0,NaN
1,778_FED_20190614b_3T2_PL2017,H, 0,NaN
1,778_FED_20190614b_3T2_PL2017,E, 0,NaN
1,863_FED_20211124a_3T1_PL2017,H, 0,NaN
1,863_FED_20211124a_3T1_PL2017,E, 0,NaN
2,249_FED_20160519a_3T1_PL2017,H, 178,1.264343
2,249_FED_20160519a_3T1_PL2017,E, 178,0.725298
2,252_FED_20160907b_3T2_PL2017,H, 178,1.660633
2,252_FED_20160907b_3T2_PL2017,E, 178,0.683860
2,291_FED_20160803c_3T1_PL2017,H, 178,0.587466
2,291_FED_20160803c_3T1_PL2017,E, 178,0.604688
2,301_FED_20160908b_3T1_PL2017,H, 178,1.647505
2,301_FED_20160908b_3T1_PL2017,E, 178,0.567725
2,376_FED_20160519b_3T1_PL2017,H, 178,1.457820
2,376_FED_20160519b_3T1_PL2017,E, 178,0.777488
2,399_FED_20160519d_3T1_PL2017,H, 178,-0.133934
2,399_FED_20160519d_3T1_PL2017,E, 178,-0.136483
2,400_FED_20160520a_3T1_PL2017,H, 178,0.372806
2,400_FED_20160520a_3T1_PL2017,E, 178,0.282730
2,401_FED_20160520d_3T1_PL2017,H, 178,2.133118
2,401_FED_20160520d_3T1_PL2017,E, 178,1.918002
2,419_FED_20160805a_3T1_PL2017,H, 178,1.469062
2,419_FED_20160805a_3T1_PL2017,E, 178,1.722301
2,420_FED_20160805b_3T1_PL2017,H, 178,0.932573
2,420_FED_20160805b_3T1_PL2017,E, 178,0.797228
2,426_FED_20160908d_3T1_PL2017,H, 178,0.405960
2,426_FED_20160908d_3T1_PL2017,E, 178,-0.046515
2,682_FED_20190426a_3T2_PL2017,H, 178,0.620468
2,682_FED_20190426a_3T2_PL2017,E, 178,0.373362
2,767_FED_20190418b_3T2_PL2017,H, 178,1.059193
2,767_FED_20190418b_3T2_PL2017,E, 178,0.295095
2,769_FED_20190522a_3T2_PL2017,H, 178,0.060921
2,769_FED_20190522a_3T2_PL2017,E, 178,0.504799
2,770_FED_20190523b_3T2_PL2017,H, 178,-0.664515
2,770_FED_20190523b_3T2_PL2017,E, 178,-0.444752
2,773_FED_20190605c_3T2_PL2017,H, 178,0.336265
2,773_FED_20190605c_3T2_PL2017,E, 178,0.217836
2,774_FED_20190605b_3T2_PL2017,H, 178,1.661261
2,774_FED_20190605b_3T2_PL2017,E, 178,0.742045
2,775_FED_20190611a_3T2_PL2017,H, 178,4.821778
2,775_FED_20190611a_3T2_PL2017,E, 178,3.812274
2,778_FED_20190614b_3T2_PL2017,H, 178,-0.105166
2,778_FED_20190614b_3T2_PL2017,E, 178,0.011712
2,863_FED_20211124a_3T1_PL2017,H, 178,3.103640
2,863_FED_20211124a_3T1_PL2017,E, 178,2.354592
3,249_FED_20160519a_3T1_PL2017,H, 0,NaN
3,249_FED_20160519a_3T1_PL2017,E, 0,NaN
3,252_FED_20160907b_3T2_PL2017,H, 0,NaN
3,252_FED_20160907b_3T2_PL2017,E, 0,NaN
3,291_FED_20160803c_3T1_PL2017,H, 0,NaN
3,291_FED_20160803c_3T1_PL2017,E, 0,NaN
3,301_FED_20160908b_3T1_PL2017,H, 0,NaN
3,301_FED_20160908b_3T1_PL2017,E, 0,NaN
3,376_FED_20160519b_3T1_PL2017,H, 0,NaN
3,376_FED_20160519b_3T1_PL2017,E, 0,NaN
3,399_FED_20160519d_3T1_PL2017,H, 0,NaN
3,399_FED_20160519d_3T1_PL2017,E, 0,NaN
3,400_FED_20160520a_3T1_PL2017,H, 0,NaN
3,400_FED_20160520a_3T1_PL2017,E, 0,NaN
3,401_FED_20160520d_3T1_PL2017,H, 0,NaN
3,401_FED_20160520d_3T1_PL2017,E, 0,NaN
3,419_FED_20160805a_3T1_PL2017,H, 0,NaN
3,419_FED_20160805a_3T1_PL2017,E, 0,NaN
3,420_FED_20160805b_3T1_PL2017,H, 0,NaN
3,420_FED_20160805b_3T1_PL2017,E, 0,NaN
3,426_FED_20160908d_3T1_PL2017,H, 0,NaN
3,426_FED_20160908d_3T1_PL2017,E, 0,NaN
