ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_KAN_parametric_20_PL2017,S, 0,NaN
1,199_KAN_parametric_20_PL2017,N, 0,NaN
1,261_FED_20160523c_3T2_PL2017,S, 0,NaN
1,261_FED_20160523c_3T2_PL2017,N, 0,NaN
1,407_FED_20160804a_3T1_PL2017,S, 0,NaN
1,407_FED_20160804a_3T1_PL2017,N, 0,NaN
1,408_FED_20160711a2_3T1_PL2017,S, 0,NaN
1,408_FED_20160711a2_3T1_PL2017,N, 0,NaN
1,409_FED_20160622a_3T1_PL2017,S, 0,NaN
1,409_FED_20160622a_3T1_PL2017,N, 0,NaN
1,410_FED_20160623b_3T2_PL2017,S, 0,NaN
1,410_FED_20160623b_3T2_PL2017,N, 0,NaN
1,730_FED_20190306a_3T2_PL2017,S, 0,NaN
1,730_FED_20190306a_3T2_PL2017,N, 0,NaN
1,776_FED_20190611b_3T2_PL2017,S, 0,NaN
1,776_FED_20190611b_3T2_PL2017,N, 0,NaN
1,291_FED_20160803c_3T1_PL2017,S, 0,NaN
1,291_FED_20160803c_3T1_PL2017,N, 0,NaN
1,400_FED_20160520a_3T1_PL2017,S, 0,NaN
1,400_FED_20160520a_3T1_PL2017,N, 0,NaN
1,419_FED_20160805a_3T1_PL2017,S, 0,NaN
1,419_FED_20160805a_3T1_PL2017,N, 0,NaN
1,773_FED_20190605c_3T2_PL2017,S, 0,NaN
1,773_FED_20190605c_3T2_PL2017,N, 0,NaN
1,774_FED_20190605b_3T2_PL2017,S, 0,NaN
1,774_FED_20190605b_3T2_PL2017,N, 0,NaN
1,775_FED_20190611a_3T2_PL2017,S, 0,NaN
1,775_FED_20190611a_3T2_PL2017,N, 0,NaN
1,778_FED_20190614b_3T2_PL2017,S, 0,NaN
1,778_FED_20190614b_3T2_PL2017,N, 0,NaN
2,199_KAN_parametric_20_PL2017,S, 178,2.362965
2,199_KAN_parametric_20_PL2017,N, 178,1.631039
2,261_FED_20160523c_3T2_PL2017,S, 178,0.758108
2,261_FED_20160523c_3T2_PL2017,N, 178,1.258347
2,407_FED_20160804a_3T1_PL2017,S, 178,1.377365
2,407_FED_20160804a_3T1_PL2017,N, 178,0.809723
2,408_FED_20160711a2_3T1_PL2017,S, 178,0.411806
2,408_FED_20160711a2_3T1_PL2017,N, 178,0.457546
2,409_FED_20160622a_3T1_PL2017,S, 178,-0.168383
2,409_FED_20160622a_3T1_PL2017,N, 178,-0.148106
2,410_FED_20160623b_3T2_PL2017,S, 178,1.411473
2,410_FED_20160623b_3T2_PL2017,N, 178,0.594941
2,730_FED_20190306a_3T2_PL2017,S, 178,1.378385
2,730_FED_20190306a_3T2_PL2017,N, 178,1.936363
2,776_FED_20190611b_3T2_PL2017,S, 178,1.205398
2,776_FED_20190611b_3T2_PL2017,N, 178,0.445999
2,291_FED_20160803c_3T1_PL2017,S, 178,2.201396
2,291_FED_20160803c_3T1_PL2017,N, 178,1.636825
2,400_FED_20160520a_3T1_PL2017,S, 178,3.534675
2,400_FED_20160520a_3T1_PL2017,N, 178,2.006079
2,419_FED_20160805a_3T1_PL2017,S, 178,1.267826
2,419_FED_20160805a_3T1_PL2017,N, 178,0.775079
2,773_FED_20190605c_3T2_PL2017,S, 178,0.947162
2,773_FED_20190605c_3T2_PL2017,N, 178,0.589129
2,774_FED_20190605b_3T2_PL2017,S, 178,0.709028
2,774_FED_20190605b_3T2_PL2017,N, 178,0.245311
2,775_FED_20190611a_3T2_PL2017,S, 178,0.183531
2,775_FED_20190611a_3T2_PL2017,N, 178,-0.430847
2,778_FED_20190614b_3T2_PL2017,S, 178,2.032582
2,778_FED_20190614b_3T2_PL2017,N, 178,1.382172
3,199_KAN_parametric_20_PL2017,S, 0,NaN
3,199_KAN_parametric_20_PL2017,N, 0,NaN
3,261_FED_20160523c_3T2_PL2017,S, 0,NaN
3,261_FED_20160523c_3T2_PL2017,N, 0,NaN
3,407_FED_20160804a_3T1_PL2017,S, 0,NaN
3,407_FED_20160804a_3T1_PL2017,N, 0,NaN
