ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,S, 337,0.313106
1,040_KAN_langevents_01_PL2017,W, 337,0.283951
1,040_KAN_langevents_01_PL2017,N, 337,0.332391
1,057_KAN_langevents_02_PL2017,S, 337,1.130745
1,057_KAN_langevents_02_PL2017,W, 337,1.342469
1,057_KAN_langevents_02_PL2017,N, 337,-0.197291
1,059_KAN_langevents_04_PL2017,S, 337,0.325388
1,059_KAN_langevents_04_PL2017,W, 337,0.207767
1,059_KAN_langevents_04_PL2017,N, 337,0.109619
1,056_KAN_langevents_05_PL2017,S, 337,-0.030510
1,056_KAN_langevents_05_PL2017,W, 337,-0.195225
1,056_KAN_langevents_05_PL2017,N, 337,-0.248971
1,067_KAN_langevents_06_PL2017,S, 337,-0.382735
1,067_KAN_langevents_06_PL2017,W, 337,-0.661008
1,067_KAN_langevents_06_PL2017,N, 337,-0.075156
1,068_KAN_langevents_07_PL2017,S, 337,0.014405
1,068_KAN_langevents_07_PL2017,W, 337,-0.285781
1,068_KAN_langevents_07_PL2017,N, 337,-0.431329
1,019_KAN_langevents_08_PL2017,S, 337,-0.146363
1,019_KAN_langevents_08_PL2017,W, 337,-0.160711
1,019_KAN_langevents_08_PL2017,N, 337,-0.138324
1,070_KAN_langevents_11_PL2017,S, 337,1.120170
1,070_KAN_langevents_11_PL2017,W, 337,1.074091
1,070_KAN_langevents_11_PL2017,N, 337,0.711204
1,087_KAN_langevents_12_PL2017,S, 337,0.392686
1,087_KAN_langevents_12_PL2017,W, 337,0.168884
1,087_KAN_langevents_12_PL2017,N, 337,0.092290
1,078_KAN_langevents_13_PL2017,S, 337,0.048558
1,078_KAN_langevents_13_PL2017,W, 337,0.086021
1,078_KAN_langevents_13_PL2017,N, 337,-0.025762
1,089_KAN_langevents_15_PL2017,S, 337,-0.228104
1,089_KAN_langevents_15_PL2017,W, 337,-0.197249
1,089_KAN_langevents_15_PL2017,N, 337,-0.360587
1,076_KAN_langevents_16_PL2017,S, 337,-0.363488
1,076_KAN_langevents_16_PL2017,W, 337,-0.810030
1,076_KAN_langevents_16_PL2017,N, 337,-0.662758
