ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,Sem_photo, 198,0.849834
1,040_KAN_langevents_01_PL2017,Perc_photo, 198,0.131557
1,040_KAN_langevents_01_PL2017,Sem_sent, 198,0.602487
1,040_KAN_langevents_01_PL2017,Perc_sent, 198,0.200999
1,057_KAN_langevents_02_PL2017,Sem_photo, 198,0.137765
1,057_KAN_langevents_02_PL2017,Perc_photo, 198,-0.232958
1,057_KAN_langevents_02_PL2017,Sem_sent, 198,0.057878
1,057_KAN_langevents_02_PL2017,Perc_sent, 198,-0.250078
1,059_KAN_langevents_04_PL2017,Sem_photo, 198,0.070166
1,059_KAN_langevents_04_PL2017,Perc_photo, 198,0.122076
1,059_KAN_langevents_04_PL2017,Sem_sent, 198,0.087775
1,059_KAN_langevents_04_PL2017,Perc_sent, 198,0.249806
1,056_KAN_langevents_05_PL2017,Sem_photo, 198,0.023713
1,056_KAN_langevents_05_PL2017,Perc_photo, 198,-0.173048
1,056_KAN_langevents_05_PL2017,Sem_sent, 198,-0.107266
1,056_KAN_langevents_05_PL2017,Perc_sent, 198,-0.196948
1,067_KAN_langevents_06_PL2017,Sem_photo, 198,0.179653
1,067_KAN_langevents_06_PL2017,Perc_photo, 198,0.231645
1,067_KAN_langevents_06_PL2017,Sem_sent, 198,-0.109934
1,067_KAN_langevents_06_PL2017,Perc_sent, 198,0.179498
1,068_KAN_langevents_07_PL2017,Sem_photo, 198,-0.111058
1,068_KAN_langevents_07_PL2017,Perc_photo, 198,-0.101282
1,068_KAN_langevents_07_PL2017,Sem_sent, 198,-0.197349
1,068_KAN_langevents_07_PL2017,Perc_sent, 198,-0.410535
1,019_KAN_langevents_08_PL2017,Sem_photo, 198,-0.196653
1,019_KAN_langevents_08_PL2017,Perc_photo, 198,-0.151714
1,019_KAN_langevents_08_PL2017,Sem_sent, 198,-0.147356
1,019_KAN_langevents_08_PL2017,Perc_sent, 198,-0.027176
1,070_KAN_langevents_11_PL2017,Sem_photo, 198,0.556864
1,070_KAN_langevents_11_PL2017,Perc_photo, 198,-0.096218
1,070_KAN_langevents_11_PL2017,Sem_sent, 198,0.163701
1,070_KAN_langevents_11_PL2017,Perc_sent, 198,-0.408779
1,087_KAN_langevents_12_PL2017,Sem_photo, 198,0.361813
1,087_KAN_langevents_12_PL2017,Perc_photo, 198,0.457001
1,087_KAN_langevents_12_PL2017,Sem_sent, 198,0.135747
1,087_KAN_langevents_12_PL2017,Perc_sent, 198,0.077609
1,078_KAN_langevents_13_PL2017,Sem_photo, 198,0.026654
1,078_KAN_langevents_13_PL2017,Perc_photo, 198,-0.135849
1,078_KAN_langevents_13_PL2017,Sem_sent, 198,-0.129352
1,078_KAN_langevents_13_PL2017,Perc_sent, 198,-0.243274
1,089_KAN_langevents_15_PL2017,Sem_photo, 198,-0.019280
1,089_KAN_langevents_15_PL2017,Perc_photo, 198,-0.040851
1,089_KAN_langevents_15_PL2017,Sem_sent, 198,-0.173661
1,089_KAN_langevents_15_PL2017,Perc_sent, 198,-0.068926
1,076_KAN_langevents_16_PL2017,Sem_photo, 198,-0.013710
1,076_KAN_langevents_16_PL2017,Perc_photo, 198,-0.029571
1,076_KAN_langevents_16_PL2017,Sem_sent, 198,-0.521792
1,076_KAN_langevents_16_PL2017,Perc_sent, 198,0.211340
