ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_FED_20160711c_3T1_PL2017,Sem-photo, 338,-0.065570
1,199_FED_20160711c_3T1_PL2017,Perc-photo, 338,-0.087715
1,199_FED_20160711c_3T1_PL2017,Sem-sent, 338,0.165023
1,199_FED_20160711c_3T1_PL2017,Perc-sent, 338,0.046024
1,261_FED_20160523c_3T2_PL2017,Sem-photo, 338,0.573385
1,261_FED_20160523c_3T2_PL2017,Perc-photo, 338,0.054116
1,261_FED_20160523c_3T2_PL2017,Sem-sent, 338,0.773966
1,261_FED_20160523c_3T2_PL2017,Perc-sent, 338,0.451372
1,407_FED_20160804a_3T1_PL2017,Sem-photo, 338,0.732134
1,407_FED_20160804a_3T1_PL2017,Perc-photo, 338,-0.057028
1,407_FED_20160804a_3T1_PL2017,Sem-sent, 338,0.662636
1,407_FED_20160804a_3T1_PL2017,Perc-sent, 338,-0.193197
1,408_FED_20160711a2_3T1_PL2017,Sem-photo, 338,0.028687
1,408_FED_20160711a2_3T1_PL2017,Perc-photo, 338,-1.266095
1,408_FED_20160711a2_3T1_PL2017,Sem-sent, 338,-0.063329
1,408_FED_20160711a2_3T1_PL2017,Perc-sent, 338,-0.614334
1,409_FED_20160622a_3T1_PL2017,Sem-photo, 338,0.098303
1,409_FED_20160622a_3T1_PL2017,Perc-photo, 338,0.202647
1,409_FED_20160622a_3T1_PL2017,Sem-sent, 338,-0.448427
1,409_FED_20160622a_3T1_PL2017,Perc-sent, 338,0.099957
1,410_FED_20160623b_3T2_PL2017,Sem-photo, 338,-0.208289
1,410_FED_20160623b_3T2_PL2017,Perc-photo, 338,-0.199668
1,410_FED_20160623b_3T2_PL2017,Sem-sent, 338,-0.247477
1,410_FED_20160623b_3T2_PL2017,Perc-sent, 338,-0.246507
1,730_FED_20190306a_3T2_PL2017,Sem-photo, 338,0.492618
1,730_FED_20190306a_3T2_PL2017,Perc-photo, 338,-0.018754
1,730_FED_20190306a_3T2_PL2017,Sem-sent, 338,0.555879
1,730_FED_20190306a_3T2_PL2017,Perc-sent, 338,-0.313618
1,776_FED_20190611b_3T2_PL2017,Sem-photo, 338,-0.277190
1,776_FED_20190611b_3T2_PL2017,Perc-photo, 338,0.099727
1,776_FED_20190611b_3T2_PL2017,Sem-sent, 338,-0.590424
1,776_FED_20190611b_3T2_PL2017,Perc-sent, 338,-0.088051
1,291_FED_20160803c_3T1_PL2017,Sem-photo, 338,1.001058
1,291_FED_20160803c_3T1_PL2017,Perc-photo, 338,1.068827
1,291_FED_20160803c_3T1_PL2017,Sem-sent, 338,0.591928
1,291_FED_20160803c_3T1_PL2017,Perc-sent, 338,0.544624
1,400_FED_20160520a_3T1_PL2017,Sem-photo, 338,0.190684
1,400_FED_20160520a_3T1_PL2017,Perc-photo, 338,0.094416
1,400_FED_20160520a_3T1_PL2017,Sem-sent, 338,0.046526
1,400_FED_20160520a_3T1_PL2017,Perc-sent, 338,-0.199472
1,419_FED_20160805a_3T1_PL2017,Sem-photo, 338,-0.129691
1,419_FED_20160805a_3T1_PL2017,Perc-photo, 338,-0.199447
1,419_FED_20160805a_3T1_PL2017,Sem-sent, 338,-0.570502
1,419_FED_20160805a_3T1_PL2017,Perc-sent, 338,-0.773264
1,773_FED_20190605c_3T2_PL2017,Sem-photo, 338,0.151472
1,773_FED_20190605c_3T2_PL2017,Perc-photo, 338,-0.820192
1,773_FED_20190605c_3T2_PL2017,Sem-sent, 338,0.572391
1,773_FED_20190605c_3T2_PL2017,Perc-sent, 338,-0.485768
1,774_FED_20190605b_3T2_PL2017,Sem-photo, 338,0.314372
1,774_FED_20190605b_3T2_PL2017,Perc-photo, 338,0.191113
1,774_FED_20190605b_3T2_PL2017,Sem-sent, 338,0.409435
1,774_FED_20190605b_3T2_PL2017,Perc-sent, 338,0.148843
1,775_FED_20190611a_3T2_PL2017,Sem-photo, 338,-0.167951
1,775_FED_20190611a_3T2_PL2017,Perc-photo, 338,-0.266157
1,775_FED_20190611a_3T2_PL2017,Sem-sent, 338,-0.250852
1,775_FED_20190611a_3T2_PL2017,Perc-sent, 338,-0.220781
1,778_FED_20190614b_3T2_PL2017,Sem-photo, 338,0.596327
1,778_FED_20190614b_3T2_PL2017,Perc-photo, 338,-0.166809
1,778_FED_20190614b_3T2_PL2017,Sem-sent, 338,0.278781
1,778_FED_20190614b_3T2_PL2017,Perc-sent, 338,0.009615
