ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_KAN_parametric_20_PL2017,H, 338,0.013629
1,199_KAN_parametric_20_PL2017,E, 338,-0.226215
1,261_FED_20160523c_3T2_PL2017,H, 338,-0.121755
1,261_FED_20160523c_3T2_PL2017,E, 338,0.294711
1,407_FED_20160804a_3T1_PL2017,H, 338,-0.675224
1,407_FED_20160804a_3T1_PL2017,E, 338,-0.592371
1,408_FED_20160711a2_3T1_PL2017,H, 338,-0.024161
1,408_FED_20160711a2_3T1_PL2017,E, 338,-0.063973
1,409_FED_20160622a_3T1_PL2017,H, 338,0.080385
1,409_FED_20160622a_3T1_PL2017,E, 338,0.262830
1,410_FED_20160623b_3T2_PL2017,H, 338,-0.228429
1,410_FED_20160623b_3T2_PL2017,E, 338,-0.105755
1,730_FED_20190306a_3T2_PL2017,H, 338,0.062586
1,730_FED_20190306a_3T2_PL2017,E, 338,0.069366
1,776_FED_20190611b_3T2_PL2017,H, 338,-0.583454
1,776_FED_20190611b_3T2_PL2017,E, 338,-0.460811
1,291_FED_20160803c_3T1_PL2017,H, 338,-0.806485
1,291_FED_20160803c_3T1_PL2017,E, 338,-0.617363
1,400_FED_20160520a_3T1_PL2017,H, 338,-0.460797
1,400_FED_20160520a_3T1_PL2017,E, 338,-0.217416
1,419_FED_20160805a_3T1_PL2017,H, 338,-0.655447
1,419_FED_20160805a_3T1_PL2017,E, 338,-0.375697
1,773_FED_20190605c_3T2_PL2017,H, 338,-1.380554
1,773_FED_20190605c_3T2_PL2017,E, 338,-0.470533
1,774_FED_20190605b_3T2_PL2017,H, 338,-0.920161
1,774_FED_20190605b_3T2_PL2017,E, 338,-0.763867
1,775_FED_20190611a_3T2_PL2017,H, 338,-0.139329
1,775_FED_20190611a_3T2_PL2017,E, 338,0.089259
1,778_FED_20190614b_3T2_PL2017,H, 338,-0.599284
1,778_FED_20190614b_3T2_PL2017,E, 338,-0.131134
