subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20160622a_3T1,2,2,2,18.026697158813477,Perc-photo,72,A woman is putting a candle into a piece of cake.,0,3,"[[0.4666666666666666, 0.900236545228195, -1.7859378943948763], [0.9333333333333332, 1.096549313513155, 1.672596664780194], [1.4, 0.900236545228195, -1.7859378943948763]]",1,1,1.700204849243164,1
FED_20160622a_3T1,2,2,2,20.026950120925903,Perc-photo,107,A man is dusting a bookshelf.,0,4,"[[0.35, 0.8194069593645633, 1.2564124461915047], [0.7, -1.4977885757150737, 0.08142101975172265], [1.0499999999999998, 0.8194069593645633, 1.2564124461915047], [1.4, 0.6783816163505103, -1.3378334659432274]]",0,0,1.6501309871673584,1
FED_20160622a_3T1,2,2,2,22.027136087417603,Perc-photo,78,A man is hammering a nail.,0,3,"[[0.4666666666666666, -1.8325002992748218, 0.8012132382566379], [0.9333333333333332, 0.222379131458768, -1.9875984307429013], [1.4, -1.8325002992748218, 0.8012132382566379]]",1,1,1.7168018817901611,1
FED_20160622a_3T1,2,2,2,24.02731704711914,Perc-photo,63,A woman is screwing in a light bulb.,0,3,"[[0.4666666666666666, -1.9979673865792347, 0.09014611564422884], [0.9333333333333332, 0.9209148670892279, -1.7753635705325346], [1.4, 1.0770525194900082, 1.6852174548883077]]",1,1,1.950186014175415,1
FED_20160622a_3T1,2,2,2,26.027508974075317,Perc-photo,103,A man is putting in an earplug.,0,4,"[[0.35, -1.4788874182264995, -0.25078278292450396], [0.7, 0.9566279699576288, -1.155362682059078], [1.0499999999999998, 0.5222594482688704, 1.4061454649835825], [1.4, 0.9566279699576288, -1.155362682059078]]",0,0,1.6167781352996826,1
FED_20160622a_3T1,2,2,2,28.02768898010254,Perc-photo,79,A woman is putting a slice of pizza into a microwave.,1,3,"[[0.4666666666666666, 0.2606939364151671, -1.9829368803661818], [0.9333333333333332, -1.8476206807057614, 0.7657008686349905], [1.4, 0.2606939364151671, -1.9829368803661818]]",1,1,1.73347806930542,1
FED_20160622a_3T1,2,2,2,30.02787494659424,Perc-photo,94,A woman is grooming a cat.,0,4,"[[0.35, -0.36314512183895675, 1.4553781709523368], [0.7, 1.4419670290775337, -0.41319618470323577], [1.0499999999999998, -1.0788219072385759, -1.042181986249101], [1.4, -0.36314512183895675, 1.4553781709523368]]",0,0,1.5667800903320312,1
FED_20160622a_3T1,2,2,2,34.0282461643219,Perc-sent,69,A woman is putting aspirin into a medicine cabinet.,0,4,"[[0.35, 0.741142065909014, -1.3041121263680202], [0.7, 0.7588231978635415, 1.2939039200744964], [1.0499999999999998, 0.741142065909014, -1.3041121263680202], [1.4, -1.4999652637725545, 0.010208206293522846]]",0,0,1.733442783355713,1
FED_20160622a_3T1,2,2,2,36.028435945510864,Perc-sent,85,A woman is putting a bandaid on a cut.,0,4,"[[0.35, 0.7015593213331068, 1.3258259760053845], [0.7, 0.7974193155514069, -1.270481182538933], [1.0499999999999998, 0.7015593213331068, 1.3258259760053845], [1.4, -1.4989786368845142, -0.055344793466450756]]",0,1,1.6001231670379639,0
FED_20160622a_3T1,2,2,2,38.028624057769775,Perc-sent,83,A man is putting a spoon into a kitchen drawer.,0,3,"[[0.4666666666666666, 1.6182345777941634, 1.1752943679059071], [0.9333333333333332, 0.2087174906342073, -1.9890794376050847], [1.4, 1.6182345777941634, 1.1752943679059071]]",1,1,1.7168030738830566,1
FED_20160622a_3T1,2,2,2,40.028807163238525,Perc-sent,97,A woman is spreading lotion on her hands.,1,3,"[[0.4666666666666666, 1.9968015124298948, 0.11306511379592224], [0.9333333333333332, -0.9004834953859006, -1.7858133929774385], [1.4, -1.096318017043994, 1.6727482791815167]]",1,1,1.8668239116668701,1
FED_20160622a_3T1,2,2,2,42.06232213973999,Perc-sent,105,A man is putting a piece of lime into his margarita.,1,3,"[[0.4666666666666666, -1.9120679797539732, -0.586511756744534], [0.9333333333333332, 1.4639680708359926, -1.3626435658574632], [1.4, 0.448099908917982, 1.9491553226019973]]",1,1,1.7334568500518799,1
FED_20160622a_3T1,2,2,2,44.02917003631592,Perc-sent,78,A man is solving a crossword puzzle.,1,4,"[[0.35, -0.9961035200583827, 1.1215069225498786], [0.7, 1.4693052454774933, 0.30189749189472065], [1.0499999999999998, -0.9961035200583827, 1.1215069225498786], [1.4, -0.47320172541911093, -1.4234044144446005]]",0,0,1.7001359462738037,1
FED_20160622a_3T1,2,2,2,46.029356956481934,Perc-sent,66,A man is assembling a radio.,0,4,"[[0.35, 0.5553679376510215, 1.3934010384054014], [0.7, 0.9290367280931839, -1.1776632616558569], [1.0499999999999998, 0.5553679376510215, 1.3934010384054014], [1.4, -1.4844046657442045, -0.2157377767495452]]",0,,,
FED_20160622a_3T1,2,2,2,50.02973294258118,Sem-photo,45,A woman is mixing some paint on a palette.,1,4,"[[0.35, -0.08840282365123814, -1.4973927142772159], [0.7, -1.2525787181801824, 0.8252554481868577], [1.0499999999999998, -0.08840282365123814, -1.4973927142772159], [1.4, -1.2525787181801824, 0.8252554481868577]]",1,1,1.2334520816802979,1
FED_20160622a_3T1,2,2,2,52.029911041259766,Sem-photo,38,A woman is biting into a piece of candy.,1,3,"[[0.4666666666666666, 1.1344084614880718, -1.6471543468977843], [0.9333333333333332, 0.8592732776234093, 1.806003719365584], [1.4, 1.1344084614880718, -1.6471543468977843]]",1,1,1.0000979900360107,1
FED_20160622a_3T1,2,2,2,54.030102014541626,Sem-photo,41,A woman is plugging a power cord into a power outlet.,0,3,"[[0.4666666666666666, -1.6777616780769111, -1.0886302180155332], [0.9333333333333332, -0.10390058509038791, 1.9972993437183808], [1.4, -1.6777616780769111, -1.0886302180155332]]",0,0,1.2501270771026611,1
FED_20160622a_3T1,2,2,2,56.03028702735901,Sem-photo,28,A man is screwing in a screw.,0,4,"[[0.35, -1.477462623760623, -0.25904477487564964], [0.7, 0.9630706676402454, -1.1499977778808843], [1.0499999999999998, -1.477462623760623, -0.25904477487564964], [1.4, 0.9630706676402454, -1.1499977778808843]]",0,1,1.5168371200561523,0
FED_20160622a_3T1,2,2,2,58.030462980270386,Sem-photo,19,A man is highlighting something in a book.,1,4,"[[0.35, 0.04836477894761627, 1.4992200799606934], [0.7, -1.3225450645835066, -0.7077249127632913], [1.0499999999999998, 1.2741802856358897, -0.7914951671974015], [1.4, -1.3225450645835066, -0.7077249127632913]]",1,1,1.3334829807281494,1
FED_20160622a_3T1,2,2,2,60.030657052993774,Sem-photo,55,A man is putting a cheese slice on a cracker.,0,3,"[[0.4666666666666666, -1.9506752865516703, 0.44143620879642287], [0.9333333333333332, 1.3576326142438304, 1.4686162482900231], [1.4, -1.9506752865516703, 0.44143620879642287]]",0,0,1.6167850494384766,1
FED_20160622a_3T1,2,2,2,62.03084111213684,Sem-photo,24,A woman is sweeping the floor.,0,3,"[[0.4666666666666666, 0.8749639076387612, -1.7984543809420104], [0.9333333333333332, 1.1200252276238176, 1.6569681618806729], [1.4, -1.9949891352625777, 0.1414862190613372]]",0,0,1.700124979019165,1
FED_20160622a_3T1,2,2,2,66.03120803833008,Sem-sent,13,A woman is wiping the kitchen counter with a sponge.,0,3,"[[0.4666666666666666, 1.827988673291439, -0.8114538867478575], [0.9333333333333332, -0.21125465672245455, 1.9888115722745274], [1.4, -1.616734016568984, -1.1773576855266712]]",0,1,1.6167869567871094,0
FED_20160622a_3T1,2,2,2,68.03139400482178,Sem-sent,31,A woman is taking a shower.,0,3,"[[0.4666666666666666, 1.9994237840398272, 0.048005539428884865], [0.9333333333333332, -1.0412859086877042, 1.7075490201948589], [1.4, 1.9994237840398272, 0.048005539428884865]]",0,1,1.600193977355957,0
