SubjID,List,Order,Run,TrialNumber,TrialOnset,Condition,ItemNum,Item,Motion,CorrectAnswer,Response,Accuracy,RT
FED_20160519a_3T1 ,1,1,1,1,0,FIX,0,+,-,0,0,0,0
FED_20160519a_3T1 ,1,1,1,2,24,Pic_Sem,26,26_implaus_queen_bows_to_peasant.jpg,left,2,0,0,0
FED_20160519a_3T1 ,1,1,1,3,26,Pic_Sem,14,14_implaus_bride_blesses_priest.jpg,left,2,0,0,0
FED_20160519a_3T1 ,1,1,1,4,28,Pic_Sem,10,10_implaus_king_entertain_jester.jpg,left,2,0,0,0
FED_20160519a_3T1 ,1,1,1,5,30,Pic_Sem,37,37_plaus_man_proposing_to_woman.jpg,left,1,1,1,1.59881900799519
FED_20160519a_3T1 ,1,1,1,6,32,Pic_Sem,31,31_plaus_visitor_pushes_nurse.jpg,left,1,1,1,1.36465530199348
FED_20160519a_3T1 ,1,1,1,7,34,Pic_Sem,39,39_plaus_lifeguard_saves_grandma.jpg,left,1,2,0,1.98080054098682
FED_20160519a_3T1 ,1,1,1,8,36,Pic_Sem,28,28_implaus_child_laces_shoes_of_father.jpg,right,2,2,1,0.012762334998115
FED_20160519a_3T1 ,1,1,1,9,38,Pic_Sem,4,04_implaus_grandmother_rescuse_fireman.jpg,left,2,2,1,1.45865827299713
FED_20160519a_3T1 ,1,1,1,10,40,Pic_Sem,5,05_plaus_dentist_treating_patient.jpg,right,1,1,1,1.17702014699171
FED_20160519a_3T1 ,1,1,1,11,42,Pic_Sem,11,11_plaus_lion_chases_guide.jpg,right,1,2,0,1.42710120898846
FED_20160519a_3T1 ,1,1,1,12,46,Pic_Perc,16,16_implaus_student_lectures_to_a_professor.jpg,right,2,0,0,0
FED_20160519a_3T1 ,1,1,1,13,48,Pic_Perc,15,15_plaus_shark_bites_snorkeler.jpg,left,1,0,0,0
FED_20160519a_3T1 ,1,1,1,14,50,Pic_Perc,32,32_implaus_patient_visits_relative.jpg,left,1,2,0,1.4079879209894
FED_20160519a_3T1 ,1,1,1,15,52,Pic_Perc,2,02_implaus_child_scolding_babysitter.jpg,right,2,2,1,1.45730459099286
FED_20160519a_3T1 ,1,1,1,16,54,Pic_Perc,27,27_plaus_lady_applauds_the_athlete.jpg,right,2,2,1,1.14045097598864
FED_20160519a_3T1 ,1,1,1,17,56,Pic_Perc,8,08_implaus_business_man_painting_artist.jpg,left,1,2,0,1.43982988198695
FED_20160519a_3T1 ,1,1,1,18,58,Pic_Perc,19,19_plaus_man_gives_to_beggar.jpg,left,1,2,0,1.74048887100071
FED_20160519a_3T1 ,1,1,1,19,60,Pic_Perc,33,33_plaus_boss_orders_worker.jpg,left,1,0,0,0
FED_20160519a_3T1 ,1,1,1,20,62,Pic_Perc,36,36_implaus_child_licking_dog.jpg,left,1,0,0,0
FED_20160519a_3T1 ,1,1,1,21,64,Pic_Perc,17,17_plaus_vampir_bites_woman.jpg,left,1,1,1,1.37028940199525
FED_20160519a_3T1 ,1,1,1,22,68,Sent_Sem,29,The grandma is stealing the purse from the thief.,left,2,2,1,1.86338294998859
FED_20160519a_3T1 ,1,1,1,23,70,Sent_Sem,18,The waiter is serving the customer.,right,1,2,0,0.0134853109921096
FED_20160519a_3T1 ,1,1,1,24,72,Sent_Sem,40,The chauffeur is opening the door for the lady.,right,1,1,1,1.6355720369902
FED_20160519a_3T1 ,1,1,1,25,74,Sent_Sem,9,The bride is carrying the groom.,left,2,2,1,1.31664647698926
FED_20160519a_3T1 ,1,1,1,26,76,Sent_Sem,38,The tailor is measuring the princess.,left,1,1,1,1.38220955399447
FED_20160519a_3T1 ,1,1,1,27,78,Sent_Sem,17,The woman is biting the vampire.,left,2,2,1,0.89819977300067
FED_20160519a_3T1 ,1,1,1,28,80,Sent_Sem,8,The artist is painting the businessman.,right,1,1,1,1.08041398199566
FED_20160519a_3T1 ,1,1,1,29,82,Sent_Sem,39,The grandmother is saving the lifeguard.,right,2,2,1,1.64471653199871
FED_20160519a_3T1 ,1,1,1,30,84,Sent_Sem,4,The fireman is rescuing the grandmother.,left,1,1,1,1.12908482999774
FED_20160519a_3T1 ,1,1,1,31,86,Sent_Sem,12,The photographer is taking a picture of the model.,right,1,1,1,1.97017457000038
FED_20160519a_3T1 ,1,1,1,32,90,Sent_Perc,27,The athlete is applauding the lady.,left,1,2,0,0.94429820899677
FED_20160519a_3T1 ,1,1,1,33,92,Sent_Perc,11,The Safari guide is pouncing on the lion.,right,2,2,1,1.47677036499954
FED_20160519a_3T1 ,1,1,1,34,94,Sent_Perc,28,The father is tying the son's shoes.,left,1,1,1,1.98520262699458
FED_20160519a_3T1 ,1,1,1,35,96,Sent_Perc,6,The ghost is frightening the girl.,left,1,1,1,0.00784123598714359
FED_20160519a_3T1 ,1,1,1,36,98,Sent_Perc,31,The patient is pushing the visitor.,left,1,2,0,1.52972247099387
FED_20160519a_3T1 ,1,1,1,37,100,Sent_Perc,20,The chef is cooking for the lady.,right,2,1,0,1.25954551399627
FED_20160519a_3T1 ,1,1,1,38,102,Sent_Perc,32,The relative is bringing flowers to the patient.,left,1,1,1,1.15411858899461
FED_20160519a_3T1 ,1,1,1,39,104,Sent_Perc,33,The worker is yelling at the boss.,left,1,2,0,1.47118645098817
FED_20160519a_3T1 ,1,1,1,40,106,Sent_Perc,36,The dog is licking the girl on the face.,left,1,1,1,0.87191599200014
FED_20160519a_3T1 ,1,1,1,41,108,Sent_Perc,26,The peasant is bowing to the queen.,right,2,1,0,1.5209160069935
FED_20160519a_3T1 ,1,1,1,42,110,FIX,0,+,-,0,0,0,0
FED_20160519a_3T1 ,1,1,1,43,134,Sent_Perc,27,The athlete is applauding the lady.,left,1,2,0,1.19600770898978
FED_20160519a_3T1 ,1,1,1,44,136,Sent_Perc,11,The Safari guide is pouncing on the lion.,right,2,1,0,1.27827832799812
FED_20160519a_3T1 ,1,1,1,45,138,Sent_Perc,28,The father is tying the son's shoes.,left,1,0,0,0
FED_20160519a_3T1 ,1,1,1,46,140,Sent_Perc,6,The ghost is frightening the girl.,left,1,2,0,0.108005685993703
FED_20160519a_3T1 ,1,1,1,47,142,Sent_Perc,31,The patient is pushing the visitor.,left,1,1,1,1.56386526099232
FED_20160519a_3T1 ,1,1,1,48,144,Sent_Perc,20,The chef is cooking for the lady.,right,2,2,1,0.993338062995463
FED_20160519a_3T1 ,1,1,1,49,146,Sent_Perc,32,The relative is bringing flowers to the patient.,left,1,1,1,1.22541148099117
FED_20160519a_3T1 ,1,1,1,50,148,Sent_Perc,33,The worker is yelling at the boss.,left,1,2,0,1.02546884999902
FED_20160519a_3T1 ,1,1,1,51,150,Sent_Perc,36,The dog is licking the girl on the face.,left,1,2,0,1.22509927798819
FED_20160519a_3T1 ,1,1,1,52,152,Sent_Perc,26,The peasant is bowing to the queen.,right,2,2,1,1.05763893599214
FED_20160519a_3T1 ,1,1,1,53,156,Sent_Sem,29,The grandma is stealing the purse from the thief.,left,2,2,1,1.2880354779918
FED_20160519a_3T1 ,1,1,1,54,158,Sent_Sem,18,The waiter is serving the customer.,right,1,2,0,1.42229828599375
FED_20160519a_3T1 ,1,1,1,55,160,Sent_Sem,40,The chauffeur is opening the door for the lady.,right,1,1,1,1.62015560398868
FED_20160519a_3T1 ,1,1,1,56,162,Sent_Sem,9,The bride is carrying the groom.,left,2,2,1,1.00308267198852
FED_20160519a_3T1 ,1,1,1,57,164,Sent_Sem,38,The tailor is measuring the princess.,left,1,2,0,1.28774591899128
FED_20160519a_3T1 ,1,1,1,58,166,Sent_Sem,17,The woman is biting the vampire.,left,2,0,0,0
FED_20160519a_3T1 ,1,1,1,59,168,Sent_Sem,8,The artist is painting the businessman.,right,1,1,1,1.03609305698774
FED_20160519a_3T1 ,1,1,1,60,170,Sent_Sem,39,The grandmother is saving the lifeguard.,right,2,2,1,1.41796730698843
FED_20160519a_3T1 ,1,1,1,61,172,Sent_Sem,4,The fireman is rescuing the grandmother.,left,1,1,1,1.23006378499849
FED_20160519a_3T1 ,1,1,1,62,174,Sent_Sem,12,The photographer is taking a picture of the model.,right,1,1,1,0.997215497991419
FED_20160519a_3T1 ,1,1,1,63,178,Pic_Perc,16,16_implaus_student_lectures_to_a_professor.jpg,right,2,2,1,0.981737330992473
FED_20160519a_3T1 ,1,1,1,64,180,Pic_Perc,15,15_plaus_shark_bites_snorkeler.jpg,left,1,2,0,1.23065497099014
FED_20160519a_3T1 ,1,1,1,65,182,Pic_Perc,32,32_implaus_patient_visits_relative.jpg,left,1,2,0,1.38209268699575
FED_20160519a_3T1 ,1,1,1,66,184,Pic_Perc,2,02_implaus_child_scolding_babysitter.jpg,right,2,1,0,1.22996338398661
FED_20160519a_3T1 ,1,1,1,67,186,Pic_Perc,27,27_plaus_lady_applauds_the_athlete.jpg,right,2,1,0,1.06338102699374
FED_20160519a_3T1 ,1,1,1,68,188,Pic_Perc,8,08_implaus_business_man_painting_artist.jpg,left,1,1,1,0.829522403990268
FED_20160519a_3T1 ,1,1,1,69,190,Pic_Perc,19,19_plaus_man_gives_to_beggar.jpg,left,1,2,0,1.47850993199972
FED_20160519a_3T1 ,1,1,1,70,192,Pic_Perc,33,33_plaus_boss_orders_worker.jpg,left,1,2,0,1.31258493798668
FED_20160519a_3T1 ,1,1,1,71,194,Pic_Perc,36,36_implaus_child_licking_dog.jpg,left,1,2,0,1.093277707987
FED_20160519a_3T1 ,1,1,1,72,196,Pic_Perc,17,17_plaus_vampir_bites_woman.jpg,left,1,1,1,0.944094852995477
FED_20160519a_3T1 ,1,1,1,73,200,Pic_Sem,26,26_implaus_queen_bows_to_peasant.jpg,left,2,1,0,1.25752637498954
FED_20160519a_3T1 ,1,1,1,74,202,Pic_Sem,14,14_implaus_bride_blesses_priest.jpg,left,2,1,0,0.924097989991424
FED_20160519a_3T1 ,1,1,1,75,204,Pic_Sem,10,10_implaus_king_entertain_jester.jpg,left,2,1,0,0.889654646991403
FED_20160519a_3T1 ,1,1,1,76,206,Pic_Sem,37,37_plaus_man_proposing_to_woman.jpg,left,1,1,1,0.840691513993079
FED_20160519a_3T1 ,1,1,1,77,208,Pic_Sem,31,31_plaus_visitor_pushes_nurse.jpg,left,1,2,0,0.987232619998395
FED_20160519a_3T1 ,1,1,1,78,210,Pic_Sem,39,39_plaus_lifeguard_saves_grandma.jpg,left,1,1,1,1.33759420599381
FED_20160519a_3T1 ,1,1,1,79,212,Pic_Sem,28,28_implaus_child_laces_shoes_of_father.jpg,right,2,2,1,1.23789798199141
FED_20160519a_3T1 ,1,1,1,80,214,Pic_Sem,4,04_implaus_grandmother_rescuse_fireman.jpg,left,2,2,1,1.38630337599898
FED_20160519a_3T1 ,1,1,1,81,216,Pic_Sem,5,05_plaus_dentist_treating_patient.jpg,right,1,2,0,1.32012164199841
FED_20160519a_3T1 ,1,1,1,82,218,Pic_Sem,11,11_plaus_lion_chases_guide.jpg,right,1,2,0,1.16953231299703
FED_20160519a_3T1 ,1,1,1,83,220,FIX,0,+,-,0,0,0,0
