ROI1,ROI2,NumVoxelsROI1,NumVoxelsROI2,NumVoxelsShared,Overlap
1,1,334,334,10,0.029940119760479
1,2,334,73,0,0
1,3,334,66,0,0
1,4,334,17,0,0
1,5,334,31,0,0
1,6,334,26,0,0
1,7,334,334,0,0
1,8,334,73,0,0
1,9,334,66,0,0
1,10,334,17,0,0
1,11,334,31,0,0
1,12,334,26,0,0
2,1,73,334,0,0
2,2,73,73,19,0.26027397260274
2,3,73,66,0,0
2,4,73,17,0,0
2,5,73,31,0,0
2,6,73,26,0,0
2,7,73,334,0,0
2,8,73,73,0,0
2,9,73,66,0,0
2,10,73,17,0,0
2,11,73,31,0,0
2,12,73,26,0,0
3,1,66,334,0,0
3,2,66,73,0,0
3,3,66,66,9,0.136363636363636
3,4,66,17,0,0
3,5,66,31,0,0
3,6,66,26,0,0
3,7,66,334,0,0
3,8,66,73,0,0
3,9,66,66,0,0
3,10,66,17,0,0
3,11,66,31,0,0
3,12,66,26,0,0
4,1,17,334,0,0
4,2,17,73,0,0
4,3,17,66,0,0
4,4,17,17,6,0.352941176470588
4,5,17,31,0,0
4,6,17,26,0,0
4,7,17,334,0,0
4,8,17,73,0,0
4,9,17,66,0,0
4,10,17,17,0,0
4,11,17,31,0,0
4,12,17,26,0,0
5,1,31,334,0,0
5,2,31,73,0,0
5,3,31,66,0,0
5,4,31,17,0,0
5,5,31,31,23,0.741935483870968
5,6,31,26,0,0
5,7,31,334,0,0
5,8,31,73,0,0
5,9,31,66,0,0
5,10,31,17,0,0
5,11,31,31,0,0
5,12,31,26,0,0
6,1,26,334,0,0
6,2,26,73,0,0
6,3,26,66,0,0
6,4,26,17,0,0
6,5,26,31,0,0
6,6,26,26,3,0.115384615384615
6,7,26,334,0,0
6,8,26,73,0,0
6,9,26,66,0,0
6,10,26,17,0,0
6,11,26,31,0,0
6,12,26,26,0,0
7,1,334,334,0,0
7,2,334,73,0,0
7,3,334,66,0,0
7,4,334,17,0,0
7,5,334,31,0,0
7,6,334,26,0,0
7,7,334,334,22,0.0658682634730539
7,8,334,73,0,0
7,9,334,66,0,0
7,10,334,17,0,0
7,11,334,31,0,0
7,12,334,26,0,0
8,1,73,334,0,0
8,2,73,73,0,0
8,3,73,66,0,0
8,4,73,17,0,0
8,5,73,31,0,0
8,6,73,26,0,0
8,7,73,334,0,0
8,8,73,73,15,0.205479452054795
8,9,73,66,0,0
8,10,73,17,0,0
8,11,73,31,0,0
8,12,73,26,0,0
9,1,66,334,0,0
9,2,66,73,0,0
9,3,66,66,0,0
9,4,66,17,0,0
9,5,66,31,0,0
9,6,66,26,0,0
9,7,66,334,0,0
9,8,66,73,0,0
9,9,66,66,6,0.0909090909090909
9,10,66,17,0,0
9,11,66,31,0,0
9,12,66,26,0,0
10,1,17,334,0,0
10,2,17,73,0,0
10,3,17,66,0,0
10,4,17,17,0,0
10,5,17,31,0,0
10,6,17,26,0,0
10,7,17,334,0,0
10,8,17,73,0,0
10,9,17,66,0,0
10,10,17,17,9,0.529411764705882
10,11,17,31,0,0
10,12,17,26,0,0
11,1,31,334,0,0
11,2,31,73,0,0
11,3,31,66,0,0
11,4,31,17,0,0
11,5,31,31,0,0
11,6,31,26,0,0
11,7,31,334,0,0
11,8,31,73,0,0
11,9,31,66,0,0
11,10,31,17,0,0
11,11,31,31,5,0.161290322580645
11,12,31,26,0,0
12,1,26,334,0,0
12,2,26,73,0,0
12,3,26,66,0,0
12,4,26,17,0,0
12,5,26,31,0,0
12,6,26,26,0,0
12,7,26,334,0,0
12,8,26,73,0,0
12,9,26,66,0,0
12,10,26,17,0,0
12,11,26,31,0,0
12,12,26,26,6,0.230769230769231
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
