ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,LD, 334,-0.942551
1,249_FED_20160519a_3T1_PL2017,HD, 334,-0.647137
1,376_FED_20160519b_3T1_PL2017,LD, 334,-0.407240
1,376_FED_20160519b_3T1_PL2017,HD, 334,0.127186
1,399_FED_20160519d_3T1_PL2017,LD, 334,-0.608126
1,399_FED_20160519d_3T1_PL2017,HD, 334,-0.827271
1,400_FED_20160520a_3T1_PL2017,LD, 334,-1.473516
1,400_FED_20160520a_3T1_PL2017,HD, 334,-0.780815
1,401_FED_20160520d_3T1_PL2017,LD, 334,-0.452655
1,401_FED_20160520d_3T1_PL2017,HD, 334,-1.149525
2,249_FED_20160519a_3T1_PL2017,LD, 73,-1.269722
2,249_FED_20160519a_3T1_PL2017,HD, 73,-1.115903
2,376_FED_20160519b_3T1_PL2017,LD, 73,-1.476727
2,376_FED_20160519b_3T1_PL2017,HD, 73,-1.067000
2,399_FED_20160519d_3T1_PL2017,LD, 73,-0.802226
2,399_FED_20160519d_3T1_PL2017,HD, 73,-0.901842
2,400_FED_20160520a_3T1_PL2017,LD, 73,-0.665558
2,400_FED_20160520a_3T1_PL2017,HD, 73,-0.357469
2,401_FED_20160520d_3T1_PL2017,LD, 73,-0.591656
2,401_FED_20160520d_3T1_PL2017,HD, 73,-1.001966
3,249_FED_20160519a_3T1_PL2017,LD, 66,0.005527
3,249_FED_20160519a_3T1_PL2017,HD, 66,0.110758
3,376_FED_20160519b_3T1_PL2017,LD, 66,-2.486279
3,376_FED_20160519b_3T1_PL2017,HD, 66,-1.687122
3,399_FED_20160519d_3T1_PL2017,LD, 66,-0.342868
3,399_FED_20160519d_3T1_PL2017,HD, 66,-0.865926
3,400_FED_20160520a_3T1_PL2017,LD, 66,-0.948109
3,400_FED_20160520a_3T1_PL2017,HD, 66,-0.637268
3,401_FED_20160520d_3T1_PL2017,LD, 66,-1.234504
3,401_FED_20160520d_3T1_PL2017,HD, 66,-1.925613
4,249_FED_20160519a_3T1_PL2017,LD, 17,-0.515506
4,249_FED_20160519a_3T1_PL2017,HD, 17,-0.491797
4,376_FED_20160519b_3T1_PL2017,LD, 17,-0.256553
4,376_FED_20160519b_3T1_PL2017,HD, 17,-0.250393
4,399_FED_20160519d_3T1_PL2017,LD, 17,-0.476847
4,399_FED_20160519d_3T1_PL2017,HD, 17,-0.839143
4,400_FED_20160520a_3T1_PL2017,LD, 17,-0.639220
4,400_FED_20160520a_3T1_PL2017,HD, 17,-0.786830
4,401_FED_20160520d_3T1_PL2017,LD, 17,-0.501366
4,401_FED_20160520d_3T1_PL2017,HD, 17,-1.058459
5,249_FED_20160519a_3T1_PL2017,LD, 31,-1.417304
5,249_FED_20160519a_3T1_PL2017,HD, 31,-0.792190
5,376_FED_20160519b_3T1_PL2017,LD, 31,0.002425
5,376_FED_20160519b_3T1_PL2017,HD, 31,-0.094546
5,399_FED_20160519d_3T1_PL2017,LD, 31,-0.393369
5,399_FED_20160519d_3T1_PL2017,HD, 31,-0.060915
5,400_FED_20160520a_3T1_PL2017,LD, 31,-0.220215
5,400_FED_20160520a_3T1_PL2017,HD, 31,-0.443746
5,401_FED_20160520d_3T1_PL2017,LD, 31,-0.101145
5,401_FED_20160520d_3T1_PL2017,HD, 31,-0.799736
6,249_FED_20160519a_3T1_PL2017,LD, 26,-0.743047
6,249_FED_20160519a_3T1_PL2017,HD, 26,-0.776029
6,376_FED_20160519b_3T1_PL2017,LD, 26,-0.890316
6,376_FED_20160519b_3T1_PL2017,HD, 26,-0.761522
6,399_FED_20160519d_3T1_PL2017,LD, 26,0.364007
6,399_FED_20160519d_3T1_PL2017,HD, 26,0.342391
6,400_FED_20160520a_3T1_PL2017,LD, 26,-0.416337
6,400_FED_20160520a_3T1_PL2017,HD, 26,-0.016313
6,401_FED_20160520d_3T1_PL2017,LD, 26,-0.353313
6,401_FED_20160520d_3T1_PL2017,HD, 26,-0.638752
7,249_FED_20160519a_3T1_PL2017,LD, 334,-0.254593
7,249_FED_20160519a_3T1_PL2017,HD, 334,0.095217
7,376_FED_20160519b_3T1_PL2017,LD, 334,-1.113199
7,376_FED_20160519b_3T1_PL2017,HD, 334,-0.443318
7,399_FED_20160519d_3T1_PL2017,LD, 334,-0.243643
7,399_FED_20160519d_3T1_PL2017,HD, 334,-0.355829
7,400_FED_20160520a_3T1_PL2017,LD, 334,-0.597536
7,400_FED_20160520a_3T1_PL2017,HD, 334,-0.619337
7,401_FED_20160520d_3T1_PL2017,LD, 334,-0.837805
7,401_FED_20160520d_3T1_PL2017,HD, 334,-1.618977
8,249_FED_20160519a_3T1_PL2017,LD, 73,-0.403299
8,249_FED_20160519a_3T1_PL2017,HD, 73,-0.038739
8,376_FED_20160519b_3T1_PL2017,LD, 73,-1.890017
8,376_FED_20160519b_3T1_PL2017,HD, 73,-1.649174
8,399_FED_20160519d_3T1_PL2017,LD, 73,-0.817195
8,399_FED_20160519d_3T1_PL2017,HD, 73,-0.958689
8,400_FED_20160520a_3T1_PL2017,LD, 73,-0.791055
8,400_FED_20160520a_3T1_PL2017,HD, 73,-0.721032
8,401_FED_20160520d_3T1_PL2017,LD, 73,-0.607425
8,401_FED_20160520d_3T1_PL2017,HD, 73,-1.083236
9,249_FED_20160519a_3T1_PL2017,LD, 66,-0.497234
9,249_FED_20160519a_3T1_PL2017,HD, 66,-0.176141
9,376_FED_20160519b_3T1_PL2017,LD, 66,-2.076946
9,376_FED_20160519b_3T1_PL2017,HD, 66,-1.426045
9,399_FED_20160519d_3T1_PL2017,LD, 66,-0.760147
9,399_FED_20160519d_3T1_PL2017,HD, 66,-0.847318
9,400_FED_20160520a_3T1_PL2017,LD, 66,-1.118284
9,400_FED_20160520a_3T1_PL2017,HD, 66,-1.153110
9,401_FED_20160520d_3T1_PL2017,LD, 66,-0.697303
9,401_FED_20160520d_3T1_PL2017,HD, 66,-1.259297
10,249_FED_20160519a_3T1_PL2017,LD, 17,-1.080341
10,249_FED_20160519a_3T1_PL2017,HD, 17,-1.030853
10,376_FED_20160519b_3T1_PL2017,LD, 17,-0.370239
10,376_FED_20160519b_3T1_PL2017,HD, 17,-0.392812
10,399_FED_20160519d_3T1_PL2017,LD, 17,-0.654438
10,399_FED_20160519d_3T1_PL2017,HD, 17,-0.902920
10,400_FED_20160520a_3T1_PL2017,LD, 17,-0.755119
10,400_FED_20160520a_3T1_PL2017,HD, 17,-0.965495
10,401_FED_20160520d_3T1_PL2017,LD, 17,-0.570209
10,401_FED_20160520d_3T1_PL2017,HD, 17,-1.223106
11,249_FED_20160519a_3T1_PL2017,LD, 31,-0.954318
11,249_FED_20160519a_3T1_PL2017,HD, 31,-0.812895
11,376_FED_20160519b_3T1_PL2017,LD, 31,-0.500312
11,376_FED_20160519b_3T1_PL2017,HD, 31,-0.553555
11,399_FED_20160519d_3T1_PL2017,LD, 31,-0.734356
11,399_FED_20160519d_3T1_PL2017,HD, 31,-0.392267
11,400_FED_20160520a_3T1_PL2017,LD, 31,-1.513909
11,400_FED_20160520a_3T1_PL2017,HD, 31,-1.749091
11,401_FED_20160520d_3T1_PL2017,LD, 31,-0.228266
11,401_FED_20160520d_3T1_PL2017,HD, 31,-0.947768
12,249_FED_20160519a_3T1_PL2017,LD, 26,0.020337
12,249_FED_20160519a_3T1_PL2017,HD, 26,-0.007926
12,376_FED_20160519b_3T1_PL2017,LD, 26,-0.658696
12,376_FED_20160519b_3T1_PL2017,HD, 26,-0.446491
12,399_FED_20160519d_3T1_PL2017,LD, 26,-0.011878
12,399_FED_20160519d_3T1_PL2017,HD, 26,-0.035196
12,400_FED_20160520a_3T1_PL2017,LD, 26,-0.761254
12,400_FED_20160520a_3T1_PL2017,HD, 26,-0.585797
12,401_FED_20160520d_3T1_PL2017,LD, 26,-0.061094
12,401_FED_20160520d_3T1_PL2017,HD, 26,-0.501649
