ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_FED_20160711c_3T1_PL2017,Sem-photo, 337,0.356185
1,199_FED_20160711c_3T1_PL2017,Perc-photo, 337,0.188932
1,199_FED_20160711c_3T1_PL2017,Sem-sent, 337,0.390463
1,199_FED_20160711c_3T1_PL2017,Perc-sent, 337,0.138445
1,261_FED_20160523c_3T2_PL2017,Sem-photo, 337,0.139804
1,261_FED_20160523c_3T2_PL2017,Perc-photo, 337,-0.383868
1,261_FED_20160523c_3T2_PL2017,Sem-sent, 337,0.599111
1,261_FED_20160523c_3T2_PL2017,Perc-sent, 337,-0.010233
1,407_FED_20160804a_3T1_PL2017,Sem-photo, 337,0.428376
1,407_FED_20160804a_3T1_PL2017,Perc-photo, 337,-0.321990
1,407_FED_20160804a_3T1_PL2017,Sem-sent, 337,0.609994
1,407_FED_20160804a_3T1_PL2017,Perc-sent, 337,-0.503887
1,408_FED_20160711a2_3T1_PL2017,Sem-photo, 337,0.151443
1,408_FED_20160711a2_3T1_PL2017,Perc-photo, 337,-0.530385
1,408_FED_20160711a2_3T1_PL2017,Sem-sent, 337,-0.080225
1,408_FED_20160711a2_3T1_PL2017,Perc-sent, 337,0.041475
1,409_FED_20160622a_3T1_PL2017,Sem-photo, 337,0.380959
1,409_FED_20160622a_3T1_PL2017,Perc-photo, 337,-0.081138
1,409_FED_20160622a_3T1_PL2017,Sem-sent, 337,0.170266
1,409_FED_20160622a_3T1_PL2017,Perc-sent, 337,-0.027429
1,410_FED_20160623b_3T2_PL2017,Sem-photo, 337,-0.060204
1,410_FED_20160623b_3T2_PL2017,Perc-photo, 337,-0.180904
1,410_FED_20160623b_3T2_PL2017,Sem-sent, 337,-0.012752
1,410_FED_20160623b_3T2_PL2017,Perc-sent, 337,0.060316
1,730_FED_20190306a_3T2_PL2017,Sem-photo, 337,0.613941
1,730_FED_20190306a_3T2_PL2017,Perc-photo, 337,0.054935
1,730_FED_20190306a_3T2_PL2017,Sem-sent, 337,0.690221
1,730_FED_20190306a_3T2_PL2017,Perc-sent, 337,-0.249011
1,776_FED_20190611b_3T2_PL2017,Sem-photo, 337,-0.070259
1,776_FED_20190611b_3T2_PL2017,Perc-photo, 337,0.212375
1,776_FED_20190611b_3T2_PL2017,Sem-sent, 337,-0.359772
1,776_FED_20190611b_3T2_PL2017,Perc-sent, 337,-0.052620
1,291_FED_20160803c_3T1_PL2017,Sem-photo, 337,1.198187
1,291_FED_20160803c_3T1_PL2017,Perc-photo, 337,0.492082
1,291_FED_20160803c_3T1_PL2017,Sem-sent, 337,0.999652
1,291_FED_20160803c_3T1_PL2017,Perc-sent, 337,0.366207
1,400_FED_20160520a_3T1_PL2017,Sem-photo, 337,0.102552
1,400_FED_20160520a_3T1_PL2017,Perc-photo, 337,-0.048982
1,400_FED_20160520a_3T1_PL2017,Sem-sent, 337,-0.011474
1,400_FED_20160520a_3T1_PL2017,Perc-sent, 337,0.029389
1,419_FED_20160805a_3T1_PL2017,Sem-photo, 337,0.220255
1,419_FED_20160805a_3T1_PL2017,Perc-photo, 337,-0.110742
1,419_FED_20160805a_3T1_PL2017,Sem-sent, 337,0.393925
1,419_FED_20160805a_3T1_PL2017,Perc-sent, 337,-0.356369
1,773_FED_20190605c_3T2_PL2017,Sem-photo, 337,0.156946
1,773_FED_20190605c_3T2_PL2017,Perc-photo, 337,-0.526042
1,773_FED_20190605c_3T2_PL2017,Sem-sent, 337,0.283812
1,773_FED_20190605c_3T2_PL2017,Perc-sent, 337,-0.375431
1,774_FED_20190605b_3T2_PL2017,Sem-photo, 337,0.193000
1,774_FED_20190605b_3T2_PL2017,Perc-photo, 337,-0.031155
1,774_FED_20190605b_3T2_PL2017,Sem-sent, 337,-0.086877
1,774_FED_20190605b_3T2_PL2017,Perc-sent, 337,-0.191134
1,775_FED_20190611a_3T2_PL2017,Sem-photo, 337,-0.092392
1,775_FED_20190611a_3T2_PL2017,Perc-photo, 337,-0.032228
1,775_FED_20190611a_3T2_PL2017,Sem-sent, 337,-0.072313
1,775_FED_20190611a_3T2_PL2017,Perc-sent, 337,-0.010873
1,778_FED_20190614b_3T2_PL2017,Sem-photo, 337,0.434813
1,778_FED_20190614b_3T2_PL2017,Perc-photo, 337,-0.405516
1,778_FED_20190614b_3T2_PL2017,Sem-sent, 337,0.264493
1,778_FED_20190614b_3T2_PL2017,Perc-sent, 337,-0.261379
