ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_FED_20160711c_3T1_PL2017,Sem-photo, 202,0.497126
1,199_FED_20160711c_3T1_PL2017,Perc-photo, 202,0.266073
1,199_FED_20160711c_3T1_PL2017,Sem-sent, 202,0.478418
1,199_FED_20160711c_3T1_PL2017,Perc-sent, 202,0.211362
1,261_FED_20160523c_3T2_PL2017,Sem-photo, 202,0.174351
1,261_FED_20160523c_3T2_PL2017,Perc-photo, 202,-0.394703
1,261_FED_20160523c_3T2_PL2017,Sem-sent, 202,0.473934
1,261_FED_20160523c_3T2_PL2017,Perc-sent, 202,-0.084486
1,407_FED_20160804a_3T1_PL2017,Sem-photo, 202,0.881388
1,407_FED_20160804a_3T1_PL2017,Perc-photo, 202,0.071515
1,407_FED_20160804a_3T1_PL2017,Sem-sent, 202,0.924295
1,407_FED_20160804a_3T1_PL2017,Perc-sent, 202,-0.066438
1,408_FED_20160711a2_3T1_PL2017,Sem-photo, 202,0.237770
1,408_FED_20160711a2_3T1_PL2017,Perc-photo, 202,-0.387378
1,408_FED_20160711a2_3T1_PL2017,Sem-sent, 202,0.093638
1,408_FED_20160711a2_3T1_PL2017,Perc-sent, 202,0.180039
1,409_FED_20160622a_3T1_PL2017,Sem-photo, 202,0.531911
1,409_FED_20160622a_3T1_PL2017,Perc-photo, 202,0.087546
1,409_FED_20160622a_3T1_PL2017,Sem-sent, 202,0.265671
1,409_FED_20160622a_3T1_PL2017,Perc-sent, 202,0.110972
1,410_FED_20160623b_3T2_PL2017,Sem-photo, 202,-0.022580
1,410_FED_20160623b_3T2_PL2017,Perc-photo, 202,-0.162671
1,410_FED_20160623b_3T2_PL2017,Sem-sent, 202,-0.116157
1,410_FED_20160623b_3T2_PL2017,Perc-sent, 202,0.094603
1,730_FED_20190306a_3T2_PL2017,Sem-photo, 202,0.615800
1,730_FED_20190306a_3T2_PL2017,Perc-photo, 202,0.205575
1,730_FED_20190306a_3T2_PL2017,Sem-sent, 202,0.589722
1,730_FED_20190306a_3T2_PL2017,Perc-sent, 202,-0.024594
1,776_FED_20190611b_3T2_PL2017,Sem-photo, 202,-0.087429
1,776_FED_20190611b_3T2_PL2017,Perc-photo, 202,0.308327
1,776_FED_20190611b_3T2_PL2017,Sem-sent, 202,-0.286301
1,776_FED_20190611b_3T2_PL2017,Perc-sent, 202,0.036670
1,291_FED_20160803c_3T1_PL2017,Sem-photo, 202,1.376159
1,291_FED_20160803c_3T1_PL2017,Perc-photo, 202,0.873866
1,291_FED_20160803c_3T1_PL2017,Sem-sent, 202,1.126797
1,291_FED_20160803c_3T1_PL2017,Perc-sent, 202,0.599271
1,400_FED_20160520a_3T1_PL2017,Sem-photo, 202,0.144023
1,400_FED_20160520a_3T1_PL2017,Perc-photo, 202,-0.119191
1,400_FED_20160520a_3T1_PL2017,Sem-sent, 202,-0.015152
1,400_FED_20160520a_3T1_PL2017,Perc-sent, 202,-0.008730
1,419_FED_20160805a_3T1_PL2017,Sem-photo, 202,0.536997
1,419_FED_20160805a_3T1_PL2017,Perc-photo, 202,0.131142
1,419_FED_20160805a_3T1_PL2017,Sem-sent, 202,0.290343
1,419_FED_20160805a_3T1_PL2017,Perc-sent, 202,-0.097222
1,773_FED_20190605c_3T2_PL2017,Sem-photo, 202,0.221185
1,773_FED_20190605c_3T2_PL2017,Perc-photo, 202,-0.413758
1,773_FED_20190605c_3T2_PL2017,Sem-sent, 202,0.290572
1,773_FED_20190605c_3T2_PL2017,Perc-sent, 202,-0.301290
1,774_FED_20190605b_3T2_PL2017,Sem-photo, 202,0.252040
1,774_FED_20190605b_3T2_PL2017,Perc-photo, 202,-0.021343
1,774_FED_20190605b_3T2_PL2017,Sem-sent, 202,-0.113592
1,774_FED_20190605b_3T2_PL2017,Perc-sent, 202,-0.198298
1,775_FED_20190611a_3T2_PL2017,Sem-photo, 202,0.274011
1,775_FED_20190611a_3T2_PL2017,Perc-photo, 202,0.412641
1,775_FED_20190611a_3T2_PL2017,Sem-sent, 202,0.204864
1,775_FED_20190611a_3T2_PL2017,Perc-sent, 202,0.311613
1,778_FED_20190614b_3T2_PL2017,Sem-photo, 202,0.560708
1,778_FED_20190614b_3T2_PL2017,Perc-photo, 202,-0.160890
1,778_FED_20190614b_3T2_PL2017,Sem-sent, 202,0.224218
1,778_FED_20190614b_3T2_PL2017,Perc-sent, 202,0.026897
