ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,Sem_photo, 338,0.575817
1,040_KAN_langevents_01_PL2017,Perc_photo, 338,-0.000344
1,040_KAN_langevents_01_PL2017,Sem_sent, 338,0.198892
1,040_KAN_langevents_01_PL2017,Perc_sent, 338,-0.016284
1,057_KAN_langevents_02_PL2017,Sem_photo, 338,0.292511
1,057_KAN_langevents_02_PL2017,Perc_photo, 338,-0.703845
1,057_KAN_langevents_02_PL2017,Sem_sent, 338,0.387236
1,057_KAN_langevents_02_PL2017,Perc_sent, 338,-0.410582
1,059_KAN_langevents_04_PL2017,Sem_photo, 338,0.054086
1,059_KAN_langevents_04_PL2017,Perc_photo, 338,0.068046
1,059_KAN_langevents_04_PL2017,Sem_sent, 338,0.206622
1,059_KAN_langevents_04_PL2017,Perc_sent, 338,0.329704
1,056_KAN_langevents_05_PL2017,Sem_photo, 338,0.142377
1,056_KAN_langevents_05_PL2017,Perc_photo, 338,-0.088117
1,056_KAN_langevents_05_PL2017,Sem_sent, 338,-0.028924
1,056_KAN_langevents_05_PL2017,Perc_sent, 338,-0.176908
1,067_KAN_langevents_06_PL2017,Sem_photo, 338,0.289008
1,067_KAN_langevents_06_PL2017,Perc_photo, 338,0.275587
1,067_KAN_langevents_06_PL2017,Sem_sent, 338,0.039243
1,067_KAN_langevents_06_PL2017,Perc_sent, 338,0.081451
1,068_KAN_langevents_07_PL2017,Sem_photo, 338,-0.098856
1,068_KAN_langevents_07_PL2017,Perc_photo, 338,-0.486179
1,068_KAN_langevents_07_PL2017,Sem_sent, 338,-0.204661
1,068_KAN_langevents_07_PL2017,Perc_sent, 338,-0.846915
1,019_KAN_langevents_08_PL2017,Sem_photo, 338,-0.125384
1,019_KAN_langevents_08_PL2017,Perc_photo, 338,-0.199025
1,019_KAN_langevents_08_PL2017,Sem_sent, 338,-0.046682
1,019_KAN_langevents_08_PL2017,Perc_sent, 338,-0.002383
1,070_KAN_langevents_11_PL2017,Sem_photo, 338,0.732452
1,070_KAN_langevents_11_PL2017,Perc_photo, 338,-0.126049
1,070_KAN_langevents_11_PL2017,Sem_sent, 338,0.220278
1,070_KAN_langevents_11_PL2017,Perc_sent, 338,-0.519713
1,087_KAN_langevents_12_PL2017,Sem_photo, 338,0.323387
1,087_KAN_langevents_12_PL2017,Perc_photo, 338,0.476214
1,087_KAN_langevents_12_PL2017,Sem_sent, 338,0.057922
1,087_KAN_langevents_12_PL2017,Perc_sent, 338,-0.036709
1,078_KAN_langevents_13_PL2017,Sem_photo, 338,-0.056764
1,078_KAN_langevents_13_PL2017,Perc_photo, 338,-0.158689
1,078_KAN_langevents_13_PL2017,Sem_sent, 338,-0.161939
1,078_KAN_langevents_13_PL2017,Perc_sent, 338,-0.220690
1,089_KAN_langevents_15_PL2017,Sem_photo, 338,-0.019407
1,089_KAN_langevents_15_PL2017,Perc_photo, 338,0.071634
1,089_KAN_langevents_15_PL2017,Sem_sent, 338,-0.151951
1,089_KAN_langevents_15_PL2017,Perc_sent, 338,-0.099449
1,076_KAN_langevents_16_PL2017,Sem_photo, 338,0.030134
1,076_KAN_langevents_16_PL2017,Perc_photo, 338,0.151766
1,076_KAN_langevents_16_PL2017,Sem_sent, 338,-0.515713
1,076_KAN_langevents_16_PL2017,Perc_sent, 338,0.419446
