ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,H, 338,-0.424111
1,249_FED_20160519a_3T1_PL2017,E, 338,-0.216266
1,252_FED_20160907b_3T2_PL2017,H, 338,0.254720
1,252_FED_20160907b_3T2_PL2017,E, 338,0.185298
1,291_FED_20160803c_3T1_PL2017,H, 338,-0.769738
1,291_FED_20160803c_3T1_PL2017,E, 338,-0.656108
1,301_FED_20160908b_3T1_PL2017,H, 338,-1.324880
1,301_FED_20160908b_3T1_PL2017,E, 338,-0.536373
1,376_FED_20160519b_3T1_PL2017,H, 338,-0.209259
1,376_FED_20160519b_3T1_PL2017,E, 338,0.172582
1,399_FED_20160519d_3T1_PL2017,H, 338,-0.473431
1,399_FED_20160519d_3T1_PL2017,E, 338,-0.339335
1,400_FED_20160520a_3T1_PL2017,H, 338,-0.475413
1,400_FED_20160520a_3T1_PL2017,E, 338,-0.278569
1,401_FED_20160520d_3T1_PL2017,H, 338,-0.224163
1,401_FED_20160520d_3T1_PL2017,E, 338,0.033397
1,419_FED_20160805a_3T1_PL2017,H, 338,-0.506408
1,419_FED_20160805a_3T1_PL2017,E, 338,-0.364826
1,420_FED_20160805b_3T1_PL2017,H, 338,-0.571406
1,420_FED_20160805b_3T1_PL2017,E, 338,0.078618
1,426_FED_20160908d_3T1_PL2017,H, 338,-0.439969
1,426_FED_20160908d_3T1_PL2017,E, 338,-0.078218
1,682_FED_20190426a_3T2_PL2017,H, 338,-0.460781
1,682_FED_20190426a_3T2_PL2017,E, 338,-0.409021
1,767_FED_20190418b_3T2_PL2017,H, 338,-0.847226
1,767_FED_20190418b_3T2_PL2017,E, 338,-0.636540
1,769_FED_20190522a_3T2_PL2017,H, 338,-0.892178
1,769_FED_20190522a_3T2_PL2017,E, 338,-0.161115
1,770_FED_20190523b_3T2_PL2017,H, 338,-0.135970
1,770_FED_20190523b_3T2_PL2017,E, 338,0.093161
1,773_FED_20190605c_3T2_PL2017,H, 338,-0.372165
1,773_FED_20190605c_3T2_PL2017,E, 338,-0.134748
1,774_FED_20190605b_3T2_PL2017,H, 338,-0.238973
1,774_FED_20190605b_3T2_PL2017,E, 338,-0.129297
1,775_FED_20190611a_3T2_PL2017,H, 338,-0.732148
1,775_FED_20190611a_3T2_PL2017,E, 338,0.026033
1,778_FED_20190614b_3T2_PL2017,H, 338,-0.466138
1,778_FED_20190614b_3T2_PL2017,E, 338,-0.089941
1,863_FED_20211124a_3T1_PL2017,H, 338,0.166760
1,863_FED_20211124a_3T1_PL2017,E, 338,0.133926
