ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 198,0.207283
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 198,0.477487
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 198,0.531578
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 198,0.126573
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 198,-0.069590
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 198,-0.068425
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 198,-0.181955
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 198,-0.020108
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 198,0.117981
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 198,0.172591
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 198,0.516351
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 198,0.022667
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 198,-0.009752
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 198,0.450320
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 198,-0.158078
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 198,0.308975
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 198,0.255727
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 198,0.283223
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 198,0.232994
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 198,0.369028
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 198,-0.075291
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 198,-0.035896
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 198,0.351876
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 198,-0.144451
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 198,1.714932
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 198,0.957180
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 198,1.306323
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 198,1.035493
