ROI,Subject,Effect, LocalizerSize,EffectSize
12,040_KAN_langevents_01_PL2017,Sem_photo,178,2.444488
12,040_KAN_langevents_01_PL2017,Perc_photo,178,1.8817560000000002
12,040_KAN_langevents_01_PL2017,Sem_sent,178,2.206815
12,040_KAN_langevents_01_PL2017,Perc_sent,178,1.301625
12,057_KAN_langevents_02_PL2017,Sem_photo,178,2.001254
12,057_KAN_langevents_02_PL2017,Perc_photo,178,1.2508190000000001
12,057_KAN_langevents_02_PL2017,Sem_sent,178,1.996939
12,057_KAN_langevents_02_PL2017,Perc_sent,178,1.146973
12,059_KAN_langevents_04_PL2017,Sem_photo,178,2.1139360000000003
12,059_KAN_langevents_04_PL2017,Perc_photo,178,0.929398
12,059_KAN_langevents_04_PL2017,Sem_sent,178,1.8622400000000001
12,059_KAN_langevents_04_PL2017,Perc_sent,178,1.189175
12,056_KAN_langevents_05_PL2017,Sem_photo,178,1.620487
12,056_KAN_langevents_05_PL2017,Perc_photo,178,1.247874
12,056_KAN_langevents_05_PL2017,Sem_sent,178,0.968899
12,056_KAN_langevents_05_PL2017,Perc_sent,178,1.168795
12,067_KAN_langevents_06_PL2017,Sem_photo,178,3.4638480000000005
12,067_KAN_langevents_06_PL2017,Perc_photo,178,2.694448
12,067_KAN_langevents_06_PL2017,Sem_sent,178,1.690021
12,067_KAN_langevents_06_PL2017,Perc_sent,178,0.41378100000000007
12,068_KAN_langevents_07_PL2017,Sem_photo,178,1.925654
12,068_KAN_langevents_07_PL2017,Perc_photo,178,1.772016
12,068_KAN_langevents_07_PL2017,Sem_sent,178,1.43173
12,068_KAN_langevents_07_PL2017,Perc_sent,178,0.9291780000000001
12,019_KAN_langevents_08_PL2017,Sem_photo,178,0.019134
12,019_KAN_langevents_08_PL2017,Perc_photo,178,-0.143581
12,019_KAN_langevents_08_PL2017,Sem_sent,178,0.372692
12,019_KAN_langevents_08_PL2017,Perc_sent,178,-1.113646
12,070_KAN_langevents_11_PL2017,Sem_photo,178,3.0590650000000004
12,070_KAN_langevents_11_PL2017,Perc_photo,178,1.383783
12,070_KAN_langevents_11_PL2017,Sem_sent,178,1.9428990000000002
12,070_KAN_langevents_11_PL2017,Perc_sent,178,0.497546
12,087_KAN_langevents_12_PL2017,Sem_photo,178,0.318142
12,087_KAN_langevents_12_PL2017,Perc_photo,178,0.39676999999999996
12,087_KAN_langevents_12_PL2017,Sem_sent,178,0.083415
12,087_KAN_langevents_12_PL2017,Perc_sent,178,-0.098065
12,078_KAN_langevents_13_PL2017,Sem_photo,178,0.287902
12,078_KAN_langevents_13_PL2017,Perc_photo,178,0.036007
12,078_KAN_langevents_13_PL2017,Sem_sent,178,-0.308992
12,078_KAN_langevents_13_PL2017,Perc_sent,178,0.10385499999999999
12,089_KAN_langevents_15_PL2017,Sem_photo,178,1.323753
12,089_KAN_langevents_15_PL2017,Perc_photo,178,2.09456
12,089_KAN_langevents_15_PL2017,Sem_sent,178,1.718865
12,089_KAN_langevents_15_PL2017,Perc_sent,178,1.82234
12,076_KAN_langevents_16_PL2017,Sem_photo,178,4.559768
12,076_KAN_langevents_16_PL2017,Perc_photo,178,2.3498229999999998
12,076_KAN_langevents_16_PL2017,Sem_sent,178,2.013916
12,076_KAN_langevents_16_PL2017,Perc_sent,178,1.597607
13,040_KAN_langevents_01_PL2017,Sem_photo,116,1.9579490000000002
13,040_KAN_langevents_01_PL2017,Perc_photo,116,0.371489
13,040_KAN_langevents_01_PL2017,Sem_sent,116,0.91205
13,040_KAN_langevents_01_PL2017,Perc_sent,116,-0.252504
13,057_KAN_langevents_02_PL2017,Sem_photo,116,1.1871610000000001
13,057_KAN_langevents_02_PL2017,Perc_photo,116,-0.40176
13,057_KAN_langevents_02_PL2017,Sem_sent,116,1.435936
13,057_KAN_langevents_02_PL2017,Perc_sent,116,0.038726
13,059_KAN_langevents_04_PL2017,Sem_photo,116,0.8725120000000001
13,059_KAN_langevents_04_PL2017,Perc_photo,116,0.331978
13,059_KAN_langevents_04_PL2017,Sem_sent,116,0.512891
13,059_KAN_langevents_04_PL2017,Perc_sent,116,0.768961
