ROI,Subject,Effect, LocalizerSize,EffectSize
12,040_KAN_langevents_01_PL2017,S,178,1.7822189999999998
12,040_KAN_langevents_01_PL2017,W,178,1.943961
12,040_KAN_langevents_01_PL2017,N,178,2.390461
12,057_KAN_langevents_02_PL2017,S,178,2.557183
12,057_KAN_langevents_02_PL2017,W,178,4.807716
12,057_KAN_langevents_02_PL2017,N,178,2.6133349999999997
12,059_KAN_langevents_04_PL2017,S,178,1.3551600000000001
12,059_KAN_langevents_04_PL2017,W,178,1.2933700000000001
12,059_KAN_langevents_04_PL2017,N,178,1.140449
12,056_KAN_langevents_05_PL2017,S,178,0.10479100000000001
12,056_KAN_langevents_05_PL2017,W,178,0.34729899999999997
12,056_KAN_langevents_05_PL2017,N,178,0.32719699999999996
12,067_KAN_langevents_06_PL2017,S,178,0.289136
12,067_KAN_langevents_06_PL2017,W,178,-0.8643040000000001
12,067_KAN_langevents_06_PL2017,N,178,-0.056076999999999995
12,068_KAN_langevents_07_PL2017,S,178,0.44038
12,068_KAN_langevents_07_PL2017,W,178,0.777146
12,068_KAN_langevents_07_PL2017,N,178,1.039013
12,019_KAN_langevents_08_PL2017,S,178,0.172995
12,019_KAN_langevents_08_PL2017,W,178,0.309795
12,019_KAN_langevents_08_PL2017,N,178,1.117212
12,070_KAN_langevents_11_PL2017,S,178,1.2412729999999998
12,070_KAN_langevents_11_PL2017,W,178,1.251659
12,070_KAN_langevents_11_PL2017,N,178,1.465562
12,087_KAN_langevents_12_PL2017,S,178,0.129388
12,087_KAN_langevents_12_PL2017,W,178,0.024315
12,087_KAN_langevents_12_PL2017,N,178,0.262997
12,078_KAN_langevents_13_PL2017,S,178,0.076423
12,078_KAN_langevents_13_PL2017,W,178,0.18729500000000002
12,078_KAN_langevents_13_PL2017,N,178,0.065361
12,089_KAN_langevents_15_PL2017,S,178,-0.11576600000000001
12,089_KAN_langevents_15_PL2017,W,178,-0.118122
12,089_KAN_langevents_15_PL2017,N,178,-0.055808
12,076_KAN_langevents_16_PL2017,S,178,1.524514
12,076_KAN_langevents_16_PL2017,W,178,1.650019
12,076_KAN_langevents_16_PL2017,N,178,2.349061
13,040_KAN_langevents_01_PL2017,S,116,0.748271
13,040_KAN_langevents_01_PL2017,W,116,0.875717
13,040_KAN_langevents_01_PL2017,N,116,0.894834
13,057_KAN_langevents_02_PL2017,S,116,2.6488389999999997
13,057_KAN_langevents_02_PL2017,W,116,4.519156
13,057_KAN_langevents_02_PL2017,N,116,2.0466729999999997
13,059_KAN_langevents_04_PL2017,S,116,0.5677449999999999
13,059_KAN_langevents_04_PL2017,W,116,0.638575
13,059_KAN_langevents_04_PL2017,N,116,0.449376
13,056_KAN_langevents_05_PL2017,S,116,-0.051166
13,056_KAN_langevents_05_PL2017,W,116,-0.109227
13,056_KAN_langevents_05_PL2017,N,116,0.29927800000000004
13,067_KAN_langevents_06_PL2017,S,116,-0.406702
13,067_KAN_langevents_06_PL2017,W,116,-1.0439379999999998
13,067_KAN_langevents_06_PL2017,N,116,0.072524
